bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,40a14f66-f3dc-4de7-a591-d37ac53bf29f,1633333491090,13.4052994,52.4797339,3.9600172,-1.3418888,-0.8148258,0.056783676,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,eb8bbe30-f169-455a-96fa-b209429cc31b,1633333491140,13.4052994,52.4797339,3.9600172,3.1136694,0.32665873,1.884798,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,edb41b55-b4ec-4dca-aa92-09fb4fb3709b,1633333491190,13.4052433,52.4797387,3.8208945,-3.3581505,-1.6203991,-0.8034544,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,f75363d7-d65d-409b-8e39-df2c2805230c,1633333491240,13.4052433,52.4797387,3.8208945,1.8106227,1.4856372,-0.5747509,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,048d11c5-369a-457c-9b93-37b470be9a4b,1633333491290,13.4052433,52.4797387,3.8208945,1.4327523,1.2474492,0.73171425,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,7ad446a1-7491-430b-b30d-0c3f9aba7bd4,1633333491340,13.4052433,52.4797387,3.8208945,1.1600859,-3.8062358,-4.9742565,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,814decd3-c031-49dd-a1aa-d5d616d6ef21,1633333491390,13.4052433,52.4797387,3.8208945,-1.5509005,0.09568167,-1.9349933,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,ae4e4502-8133-4660-9747-19fe76a244e4,1633333491441,13.4052433,52.4797387,3.8208945,0.46010885,-2.6784267,-0.5864668,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,59847bc4-c3c8-4ab2-967b-9ca88f59c9ed,1633333491492,13.4052433,52.4797387,3.8208945,0.6283858,0.67809486,-4.081583,on bike mount,cyclo cross,True,concrete plates,good
5966d2ff-5036-4940-984e-f3b75b101184,a66041ca-2a5b-423c-872b-83c18c0596d3,f405faaf-ad83-48b5-a79a-cce996581fa1,1633333491558,13.4052433,52.4797387,3.8208945,-0.7756103,-0.456208,0.1840086,on bike mount,cyclo cross,True,concrete plates,good
