bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,943257d7-f807-49a4-a1a9-84d933e99486,1632204837351,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,68867036-846b-4ce2-a206-7932ed91b155,1632204837412,13.4054734,52.4798073,5.489136,0.47515035,1.6884203,-2.4122896,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,342d6b1f-982b-4897-9edf-86832b888a56,1632204837463,13.4054734,52.4798073,5.489136,-1.7166874,-3.6259263,3.7972383,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,e657f13c-664b-45cf-94f2-6df7279aa6b4,1632204837512,13.4054734,52.4798073,5.489136,0.2565869,-2.5869288,3.8251266,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,9b98cf63-0416-4214-8db1-df086cfaafa5,1632204837562,13.4054734,52.4798073,5.489136,-0.13281293,-3.6840434,3.429574,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,0cc56aa9-b6bb-481a-9016-fbd62b442677,1632204837612,13.4054734,52.4798073,5.489136,-0.054983273,1.5484962,-1.7141371,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,92193f1a-f0a0-4652-a7a7-cb1d2b6be456,1632204837662,13.4054734,52.4798073,5.489136,-0.3829472,0.28279257,-0.44712687,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,e3114ca8-73d5-4c46-9246-10f3f580fb13,1632204837712,13.4054734,52.4798073,5.489136,-0.63737506,-2.1310887,0.3301983,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,368fc222-a7cd-4bd8-8176-156268432bb0,1632204837763,13.4054734,52.4798073,5.489136,0.05916506,0.72398615,-1.6855392,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,228c7578-e2aa-463e-a3d3-3d619f5b2756,1632204837814,13.4054734,52.4798073,5.489136,-0.11563192,-2.1476007,0.9653902,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,1b8863f5-d28c-4827-be95-d9a514335f09,6fcf3d9c-6fa1-4b50-bbe7-8954ec925407,1632204837865,13.4054734,52.4798073,5.489136,2.3293395,1.0665379,-1.2905478,on bike mount,cyclo cross,True,concrete plates,good
