bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,3586bed8-b31c-43ab-a342-731773406e6e,1644073457999,0.0,0.0,0.0,-0.3671887,1.5447764,-4.9498615,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,7086b22b-021c-461a-a33e-11df900b1129,1644073458057,13.437742,52.4933957,1.423705,-1.457264,-2.6105728,5.5598383,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,90d86394-5301-44f2-9d43-b9a54c6708cc,1644073458112,13.437742,52.4933957,1.423705,-0.72466844,-4.684849,2.957551,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,7f86e91a-f79d-4e6e-9eb9-5bb1219ad7a3,1644073458167,13.437742,52.4933957,1.423705,2.6032386,2.9931726,0.3874483,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,c3699fed-af41-4392-8067-722271760771,1644073458224,13.437742,52.4933957,1.423705,-0.10419637,-1.0132437,1.7467394,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,011b196e-36fb-4d2b-9fe9-c54a12024967,1644073458281,13.437742,52.4933957,1.423705,0.6910518,3.7610369,-3.5169091,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,d59c7a27-3286-4802-8141-8654ea16b115,1644073458335,13.437742,52.4933957,1.423705,-0.94771075,-3.952609,2.083785,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,b68cd29a-634f-4c00-93cc-6393c7547119,1644073458391,13.437742,52.4933957,1.423705,0.89597714,-3.3839016,9.6454525,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,73ab328e-669d-4492-900a-298e78f5b556,1644073458447,13.437742,52.4933957,1.423705,3.2024724,-0.14786124,3.7205563,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,5d1e8ed0-7db0-4f84-bf27-ea9eb526aae1,1644073458500,13.4377166,52.4934102,2.4943717,0.9857658,1.1906867,-0.64087296,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,43e50f32-c708-408f-b60b-3af2adf82215,1644073458556,13.4377166,52.4934102,2.4943717,-0.63899636,0.03384161,-0.6770234,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,1a319551-fc0e-4934-b4ee-97d1fb7a1f56,1644073458611,13.4377166,52.4934102,2.4943717,1.0883014,1.4919391,-0.21316528,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,0eb1f580-bfef-4169-9b6f-33c4d9527f95,1644073458669,13.4377166,52.4934102,2.4943717,-0.6453755,-5.8161697,6.9624453,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,1e45e25e-8d5f-491c-8846-4d064592e68c,1644073458723,13.4377166,52.4934102,2.4943717,-3.3336148,-0.39537382,8.207882,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,31a4a652-6b5e-4d3d-8ff2-e9371f07236f,1644073458779,13.4377166,52.4934102,2.4943717,-0.23179704,-5.3087664,14.76354,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,21aad6e5-fe2f-4ebb-b46f-647054b4d331,1644073458834,13.4377166,52.4934102,2.4943717,0.38046533,2.1979065,-6.7658443,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,25041e2b-e0c0-4d82-9c80-89b9e07f29f8,1644073458889,13.4377166,52.4934102,2.4943717,-0.83604115,1.836206,-3.8970828,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,f7534e50-b734-4c4d-bc05-14a6ec575ed9,1644073458944,13.4377166,52.4934102,2.4943717,3.845143,-2.3104503,4.484357,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,6ac3b291-08d0-4880-861a-d9a7c86044e1,1644073459002,13.4377166,52.4934102,2.4943717,-1.0418863,0.033524036,-4.141618,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,2eabc1a3-a7e2-4d51-bfdd-bb9e78f4844f,1644073459057,13.4377166,52.4934102,2.4943717,-1.6500136,4.8111506,-7.140602,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,093161c7-7275-4a02-a55d-5bb7b8664630,1644073459112,13.4377166,52.4934102,2.4943717,0.14377838,3.4725246,-7.17984,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,ebb2135a-3c35-4c04-8a98-1203ca0912b2,1644073459168,13.4377166,52.4934102,2.4943717,2.1156814,3.89395,-4.841668,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,ecbb1e0c-5fcb-4a18-aef1-b75e0a89e7b9,1644073459223,13.4377166,52.4934102,2.4943717,-0.72011036,1.9114652,-6.583145,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,506c20e9-11b4-48bf-9ec8-6a73ebd7499d,1644073459279,13.4377166,52.4934102,2.4943717,-2.4004302,-0.16060019,-1.1247501,on bike mount,cyclo cross,True,sett,intermediate
52186f7f-67ea-4c39-84be-6d0bab489a4e,8e611f00-3b18-4683-b8a1-6ea5762fd827,ccfec1a2-1c46-4c8e-9c20-17aac372adff,1644073459335,13.4377166,52.4934102,2.4943717,1.2678372,-1.1794765,-4.766608,on bike mount,cyclo cross,True,sett,intermediate
