bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,a686fa0d-cfec-4dab-bd21-51762a55bc41,1634467924227,13.4934666,52.4845529,5.481135,1.5239098,-1.867984,1.6082172,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,ed5c9233-5a08-41c1-810d-615b930911c3,1634467924278,13.4934666,52.4845529,5.481135,-1.2830248,1.0313513,2.5788336,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,b3ee7b65-9625-4ef4-a954-ef8ac5cba1a8,1634467924343,13.4934666,52.4845529,5.481135,1.2068046,1.9985504,-1.0717931,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,96385ca2-26f2-4004-b9d8-fa726e9a6dd4,1634467924393,13.4934666,52.4845529,5.481135,0.9151991,-2.5740373,2.5887299,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,86e46e4a-40ae-457e-87ee-e31b528fd8c1,1634467924443,13.4934666,52.4845529,5.481135,0.6062602,2.816318,1.2926645,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,e74dcd4d-5eae-4d89-b13e-d9eb7550a9b8,1634467924493,13.4934666,52.4845529,5.481135,-1.7043846,0.27290034,-0.12306976,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,ac25bc19-9a1d-42f1-b2a6-6accab05552b,1634467924544,13.4934666,52.4845529,5.481135,1.3801725,1.0019193,2.2782974,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,d30a5b94-28b3-40fa-b009-f49b37d62719,1634467924595,13.4934666,52.4845529,5.481135,2.5706046,-4.4976134,2.9377518,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,6937cd67-bbe8-4b7a-ab29-398b7439a620,1634467924645,13.4934666,52.4845529,5.481135,0.55977654,-2.36795,-0.09796524,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,37b570f9-46b9-4ee9-8ff3-826c75b05e61,1634467924695,13.4934666,52.4845529,5.481135,1.2549961,2.687899,1.2502298,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,11e5c682-0376-4c10-8edd-122459de386b,1634467924746,13.4934968,52.4845073,5.8987627,0.16295409,-0.15834117,3.1950674,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,d28de678-457f-4a95-b1db-4e24725cf028,1634467924811,13.4934968,52.4845073,5.8987627,0.003540635,-0.17258644,-2.7628436,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,a30f1eef-15f3-49fd-90d5-ab041c5f455a,1634467924862,13.4934968,52.4845073,5.8987627,0.19229996,-2.5392952,2.3738184,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,bda083b5-c0e1-42bd-9b47-c1e55dd37bea,1634467924912,13.4934968,52.4845073,5.8987627,0.61982757,0.42078686,-1.7224092,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,a98588d2-f920-49f4-8f01-4a65172fa432,1634467924979,13.4934968,52.4845073,5.8987627,-1.044909,-3.7790122,3.8701982,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,d2e7e9d9-bcb7-4369-9700-5d00c570dd8e,1634467925029,13.4934968,52.4845073,5.8987627,1.4456589,0.5520494,-2.1484747,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,03bc04f6-3866-4cfc-ab93-ca86e32369cd,1634467925079,13.4934968,52.4845073,5.8987627,2.4671602,-0.09255648,5.0312634,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,9c49bd14-d95c-4768-aabd-893000984c57,1634467925130,13.4934968,52.4845073,5.8987627,0.49796835,-0.10611391,-0.74227047,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,89dc8913-0dc0-422f-901e-b22bcf0d4d44,1634467925195,13.4934968,52.4845073,5.8987627,-0.8275314,1.4838903,1.584856,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,840486e8-0539-4fff-af36-c5657b8b5087,1634467925246,13.4934968,52.4845073,5.8987627,0.6281233,0.80420995,-0.88740444,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,76c17229-402a-460b-b597-5504ffd52ce4,1634467925296,13.4934968,52.4845073,5.8987627,-0.6696947,0.68984747,0.74755096,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,fc93d6c0-d949-41a4-b227-e05cc9203607,1634467925345,13.4934968,52.4845073,5.8987627,2.2059317,3.2555776,-7.2998447,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,880dcd5e-b4b3-48af-b71d-32e8889da90b,1634467925395,13.4934968,52.4845073,5.8987627,-0.6750058,-0.14957738,5.308633,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,a30cabed-c0ab-4fb9-9390-580309b71351,1634467925447,13.4934968,52.4845073,5.8987627,-1.0343481,5.3990273,-9.135645,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,1be53e58-b2c7-4ef2-bebd-dff38f317cbe,1634467925498,13.4934968,52.4845073,5.8987627,0.9821642,-5.062457,2.4077492,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,7da147ef-88ee-4d31-85ae-757e4f11e7d6,1634467925547,13.4934968,52.4845073,5.8987627,1.5788027,-4.5285697,1.3807583,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,86055292-299d-45ad-9730-5ac1edd87a45,1634467925598,13.4934968,52.4845073,5.8987627,-0.5867208,3.3729782,4.233139,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,e433711f-a1d3-4c4d-8d20-fed88ce0762f,1634467925647,13.4934968,52.4845073,5.8987627,-1.6911439,-1.5112996,5.0237417,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,fa86cafa-9d14-4577-ab1b-519ea5e2792b,1634467925697,13.4934968,52.4845073,5.8987627,-0.2662113,1.1138868,-8.95192,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,b5bc7902-fea9-40b7-8b11-6cbd4f8fed72,1634467925748,13.4935114,52.4844521,6.401053,-0.8591794,3.8832617,-2.0850854,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,573a6bf6-9f88-4162-874d-126c6f349e5f,1634467925798,13.4935114,52.4844521,6.401053,-0.70413685,5.257128,-1.6410937,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,c1860dd0-bb9c-45bc-b2ef-487ad5cd0eb1,1634467925848,13.4935114,52.4844521,6.401053,-0.7450588,-1.026284,2.3211975,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,078aca30-c715-419b-b5b0-2fe09f519543,1634467925898,13.4935114,52.4844521,6.401053,-0.30911446,1.599751,4.2483883,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,a4c0340b-0bd1-4f5f-b38e-8237119060a5,1634467925948,13.4935114,52.4844521,6.401053,-1.9830083,-1.9448574,5.445154,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,269055fb-e13b-4a75-be5c-40e83c294b60,1634467925999,13.4935114,52.4844521,6.401053,-0.6538153,-1.8194876,-3.7221737,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,fb163683-dc65-41a9-b04a-97aa04a8d453,1634467926049,13.4935114,52.4844521,6.401053,-1.9691062,-2.5089781,2.7574816,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,bd80f1c3-44dc-41a8-a07d-96d3c3699057,1634467926099,13.4935114,52.4844521,6.401053,-4.920618,2.7688947,-1.4228625,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,add5fd4d-8b93-41d1-a2d0-f0e9727d19a3,1634467926149,13.4935114,52.4844521,6.401053,-0.8956789,-8.152221,4.375902,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,bf574f89-dc6c-4d71-a760-380f026101af,1634467926199,13.4935114,52.4844521,6.401053,1.4245851,0.3969574,-3.6647596,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,433f828c-ca0f-499e-828a-191db430d3f1,1634467926267,13.4935114,52.4844521,6.401053,1.4234788,-1.6851275,1.7716646,on bike mount,cyclo cross,True,fine gravel,good
7ce222c2-4444-48e1-a926-af47030a2ab1,de3bd449-1586-49a6-bad7-77db4715e59e,68426de8-da1b-4f05-94ff-c5731b632d07,1634467926317,13.4935114,52.4844521,6.401053,-0.12509008,2.6914754,-4.337861,on bike mount,cyclo cross,True,fine gravel,good
