bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,f3ab4ec7-22f6-4918-9d28-49795b0dfef5,1627404347272,13.3890614,52.4727824,2.709767,0.2981707,-0.026334763,-0.1920929,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,7c322173-3d9c-4ca5-aad8-3e352d24be63,1627404347353,13.3890614,52.4727824,2.709767,0.2911164,0.23702693,-0.18549347,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,b24241f0-1f03-48f5-b99c-52afa5780dd2,1627404347403,13.3890614,52.4727824,2.709767,-0.0147949755,0.44218946,-0.053339005,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,e18c4a27-62af-4d5b-93a7-ca1c52b34be7,1627404347454,13.3890614,52.4727824,2.709767,0.053183883,-0.73915267,-0.46067333,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,772a481a-aceb-449a-b2e9-6f505b9345a2,1627404347504,13.3890614,52.4727824,2.709767,0.13778767,-0.18247461,0.24871254,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,567de7e1-ca10-4853-8cce-bd873179e239,1627404347555,13.3890614,52.4727824,2.709767,-0.39994395,0.7638538,-0.45994186,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,485aec22-296e-4c72-ae9d-52e60690d877,1627404347605,13.3890614,52.4727824,2.709767,0.073195994,-0.46698356,-0.80536556,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,92f44253-255b-47d9-b7db-06930fdfbf3d,1627404347655,13.3890614,52.4727824,2.709767,0.66040397,0.60346794,0.17014313,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,8d89a3b3-3c33-4fcf-8318-031864689068,1627404347705,13.3890614,52.4727824,2.709767,-0.41358328,-0.7102637,-0.26538944,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,c72778d0-6de4-41bc-b99d-672990b6fedd,1627404347754,13.3890614,52.4727824,2.709767,-0.07545704,0.17921901,-0.0446043,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,881d6cee-2030-4c82-bab7-41f6c2f59c84,1627404347804,13.3890614,52.4727824,2.709767,0.11745626,-0.43758774,0.88396835,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,3cb1f944-6fe0-4fee-b38a-074a64b4c5bc,1627404347855,13.3890614,52.4727824,2.709767,-0.8257625,-0.014928341,0.19285488,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,ef488987-8104-47f8-958d-56ae50d801f8,1627404347905,13.3890614,52.4727824,2.709767,0.87776005,0.3701539,3.0312643,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,f950755c-a706-4faf-9e09-f0b3baeaf61c,1627404347955,13.3890614,52.4727824,2.709767,0.0015671849,0.97432494,-0.45435715,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,2cab6308-9a47-4cc0-a472-96fa4d95255a,1627404348006,13.3890614,52.4727824,2.709767,-1.4752895,0.90205574,-1.08215,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,e579077a-56ce-48ad-adc9-d7b21023d466,1627404348056,13.3890614,52.4727824,2.709767,0.47464377,0.44059396,0.99183846,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,d36b7da2-596c-475e-9e50-72acd2ded74a,1627404348105,13.3890876,52.4727646,2.0190532,-0.75143397,1.0059102,0.41957664,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,aeeaa36b-8648-4e96-b4dd-6742e0fd001d,1627404348155,13.3890876,52.4727646,2.0190532,-0.5024501,-0.16873431,0.65141773,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,ebe5b996-1763-4f78-90a1-b8703b29aca9,1627404348205,13.3890876,52.4727646,2.0190532,0.60248965,-0.6598816,0.12149429,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,59674dda-4571-40e5-93cb-5c39461ed83b,1627404348256,13.3890876,52.4727646,2.0190532,-0.8072902,1.4297197,-0.72062016,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,1e8cedf1-c738-41cb-94ee-6c364572fbb8,1627404348305,13.3890876,52.4727646,2.0190532,-0.45300394,1.3446054,-0.52931976,on bike mount,cyclo cross,False,asphalt,good
ad3458d1-db37-4824-b289-62ce33f43b93,7fb06581-d849-4b33-a1bf-0dc8ad4c35ba,618724fe-2358-4e56-abfc-e842724ad369,1627404348355,13.3890876,52.4727646,2.0190532,0.23510072,-0.34195018,-0.27432346,on bike mount,cyclo cross,False,asphalt,good
