bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,7910e474-67b0-4e70-80a0-6fc9c098b155,1634143642977,13.3907433,52.4728342,5.4349537,1.4557714,-7.12264,5.577592,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,257a8164-9a17-4448-a7b8-b3cb767aea5e,1634143643028,13.3907433,52.4728342,5.4349537,4.68433,0.062086344,-2.332387,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,cac55966-2283-44ad-a7bf-e4337e2f1cc0,1634143643093,13.3907433,52.4728342,5.4349537,-1.4096404,-3.093153,-1.7743025,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,dd2d9eca-cd91-4db6-a2da-5296907d006a,1634143643143,13.3907433,52.4728342,5.4349537,-1.595031,-3.6813145,-2.5964112,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,09e3079c-fb1a-4fba-b905-2aa924f8db15,1634143643194,13.3907433,52.4728342,5.4349537,-0.50470114,0.12897706,7.3266554,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,997ef17c-cfb1-40dc-80aa-9145b5b6c29d,1634143643244,13.3907433,52.4728342,5.4349537,-0.48320347,0.57696295,-0.14422703,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,258f283d-3c80-4d19-a894-dde1d13c94b1,1634143643295,13.3907433,52.4728342,5.4349537,-2.4664645,4.525289,-1.1789289,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,0a107102-4c1f-4cff-8766-5d97da01ee69,1634143643345,13.3907433,52.4728342,5.4349537,1.4075093,-3.6138034,-2.2139869,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,b28e67b2-6673-41f8-89e0-ed702474c1cf,1634143643395,13.3907433,52.4728342,5.4349537,1.9078088,-1.472281,-1.1270933,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,1b34c080-653c-413a-8850-e07bcfa9e664,1634143643445,13.3907433,52.4728342,5.4349537,-2.2768745,-1.9090464,2.0870562,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,efdd64ff-1f5a-4328-b2d6-a00f13bfa233,1634143643495,13.390821,52.4728357,5.37037,-0.19850391,2.5122175,-1.4994149,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,f8c37200-8ae3-40ff-8074-3073676dc698,1634143643546,13.390821,52.4728357,5.37037,-0.16577977,-0.4354787,-2.9033718,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,1d65565e-48c8-47f7-a89e-4b3670c838e3,1634143643597,13.390821,52.4728357,5.37037,-0.7695079,1.2857413,2.447627,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,57fe9511-c62e-4074-8b04-999cac127e83,1634143643662,13.390821,52.4728357,5.37037,1.3136748,0.4179182,0.9217739,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,f4b503e3-2c1b-4cb0-902c-ddac3675d36c,1634143643711,13.390821,52.4728357,5.37037,0.6748471,2.5512283,0.3961544,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,25478c61-f3a8-4039-bd7a-f33683a71d8c,1634143643762,13.390821,52.4728357,5.37037,-0.17077994,0.22227192,-0.08726978,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,99055e2e-970f-443f-ba4e-979ed46562e9,1634143643812,13.390821,52.4728357,5.37037,-2.7528415,-11.55241,13.121176,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,40fb38e0-e919-4018-acb0-9b2e476ca23e,1634143643863,13.390821,52.4728357,5.37037,0.8678061,0.7652426,-1.462698,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,e9fe0938-7ae1-4dd4-b0a9-efc3b733fa39,1634143643913,13.390821,52.4728357,5.37037,-1.0616829,1.8353705,5.2720604,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,86989bb7-5923-4015-9ce2-00d56f888a37,1634143643964,13.390821,52.4728357,5.37037,-0.18678945,-1.7427846,1.8144264,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,08f414a9-f713-4226-8ea6-8eda12d337d6,1634143644015,13.390821,52.4728357,5.37037,0.44391587,-1.7764138,-2.0382113,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,c9efb3bb-cdb9-4f1e-a0bd-66c392848358,1634143644064,13.390821,52.4728357,5.37037,0.47962397,-1.2082334,4.162794,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,de730e80-2a59-41ff-940d-9f1dc366f6f9,1634143644115,13.390821,52.4728357,5.37037,1.314461,-0.13861775,-0.18364239,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,15e29e05-7299-4ef2-89e1-6585cd09018b,1634143644164,13.390821,52.4728357,5.37037,0.5052058,0.6884301,3.420929,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,c35f38a6-eab5-4268-8b5a-4a34b14c7b9a,1634143644231,13.390821,52.4728357,5.37037,-0.556385,4.814482,-1.9726081,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,da8713de-a880-4f4d-aab7-527870c2cd64,1634143644282,13.390821,52.4728357,5.37037,-0.56887907,0.88800955,0.46539593,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,7eaf8fdb-57ee-49fb-9586-bda31c9d5fcd,1634143644330,13.390821,52.4728357,5.37037,-1.5212014,-4.670946,1.6798735,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,acdaeb71-2c0b-4032-821d-464628aefa7f,1634143644380,13.390821,52.4728357,5.37037,-0.18038912,0.5876813,-2.4407496,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,6648511f-437b-4f4f-b5c1-82c1037d20d6,1634143644431,13.390821,52.4728357,5.37037,-2.5491138,7.928144,-4.758997,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,79e3c50f-f593-4f46-afbe-824969a109da,1634143644482,13.3909001,52.472835,5.893764,0.46224585,2.2380595,0.054805756,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,b7678af2-4672-43cd-9ddb-1b690d9fcd2a,1634143644547,13.3909001,52.472835,5.893764,0.89302754,3.0223594,-2.877594,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,40b243f7-d930-4f7b-a798-4c82ba9697e9,1634143644597,13.3909001,52.472835,5.893764,-1.9289389,2.8002243,2.5072002,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,7f5aa539-9a81-41db-a2d7-99873d96d257,1634143644648,13.3909001,52.472835,5.893764,0.8345946,1.549207,6.179592,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,9b19fa46-e286-4d34-a3a3-6a527aa292f1,1634143644699,13.3909001,52.472835,5.893764,-5.5505266,4.1295013,-4.819051,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,d9626631-b6b9-41b4-9862-542586eeaf7d,1634143644750,13.3909001,52.472835,5.893764,0.12074041,0.26619768,0.08314991,on bike mount,cyclo cross,True,paving stones,good
a72f240d-2229-4904-86f9-05b556d17921,4fd3592b-373b-4956-ac47-69c05b805706,e0f6be5e-9024-41dc-bc2f-736da4b1c4a3,1634143644817,13.3909001,52.472835,5.893764,-2.8598871,6.072192,-1.8795719,on bike mount,cyclo cross,True,paving stones,good
