bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,da816aad-3e5b-457e-bca2-ef5be635e10c,1633587969612,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,22797a37-74ec-4fa3-b0c7-9faaacc387fe,1633587969663,13.4130156,52.472843,5.32204,1.0362896,-4.092303,0.96799374,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,8da6a34c-cc84-4cd1-98ca-6a97ba51ec5e,1633587969729,13.4130156,52.472843,5.32204,3.13397,6.128378,-4.222077,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,89f1868b-e1b0-4b72-95cd-5333a3c4b451,1633587969795,13.4130156,52.472843,5.32204,-7.191791,-9.118596,8.625696,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,56a5fed0-6558-44c1-8247-2544c0833296,1633587969860,13.4130156,52.472843,5.32204,0.86178076,-2.7483163,5.342798,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,2eef9793-bd34-4c3b-af2c-3022ab48bbe2,1633587969912,13.4130156,52.472843,5.32204,-1.2581986,-1.609028,-0.27174187,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,d626d2eb-ae68-4b1e-b324-9a6706b991f7,1633587969963,13.4130156,52.472843,5.32204,4.2827997,4.455534,1.0551357,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,ed096078-2001-43d4-88ca-c1c90bba5277,1633587970028,13.4130156,52.472843,5.32204,-1.9000313,-6.2208905,4.477557,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,28edf483-c217-4fbd-a752-51d3532f5278,1633587970079,13.4130156,52.472843,5.32204,6.625506,-7.016268,2.1543455,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,c70fc2ae-8123-461c-9a00-388668ddc4f7,1633587970128,13.4130156,52.472843,5.32204,-0.9242065,4.0515466,-3.045156,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,c904dd06-2166-43ac-abed-283f9bdecb3b,1633587970178,13.4130156,52.472843,5.32204,-3.69143,2.672718,-8.018818,on bike mount,cyclo cross,True,paving stones,intermediate
5fa074a3-56c4-4502-95f5-710fe5f1ec06,90aeeb65-260e-48a6-ae07-ef0aab12e5be,6dabbeb3-b944-4f42-9df7-471aa1847043,1633587970228,13.4130156,52.472843,5.32204,0.15055081,-3.2856438,0.46319962,on bike mount,cyclo cross,True,paving stones,intermediate
