bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,8ad00f6f-4338-4cf4-9997-3d833bcfcb68,1625048661448,-16.8283909,32.6448048,1.1680212,0.18678904,-0.09152222,0.2712432,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,1f24cbd3-615c-4949-aab2-3f8d08ed3eb4,1625048661499,-16.8283909,32.6448048,1.1680212,0.07899094,-0.033735275,0.22133398,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,ed6c3575-1bed-43e7-abe4-14e74ac0e6d9,1625048661550,-16.8283909,32.6448048,1.1680212,-0.044397593,0.022206306,0.07592654,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,4c9c3b88-92f5-4962-bb23-b5b139fcbcfb,1625048661600,-16.8283909,32.6448048,1.1680212,-0.15097892,0.045001984,-0.03240049,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,bfc9a413-9c07-4102-8365-237c60fbfa47,1625048661650,-16.8283909,32.6448048,1.1680212,-0.23173827,-0.065561295,-0.22215497,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,3e8ef980-c309-464d-823f-086c54f9520d,1625048661700,-16.8283881,32.6448039,0.9377193,-0.306414,-0.096666336,-0.39662945,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,cb0ec51a-d62c-4432-84a4-b95377c289e6,1625048661749,-16.8283881,32.6448039,0.9377193,-0.25432867,-0.052559853,-0.5232811,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,65a70965-f308-42c5-9869-d831c1da571f,1625048661799,-16.8283881,32.6448039,0.9377193,-0.27200425,-0.047932625,-0.46748614,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,064b361d-5ac3-49b6-b972-6694718f625a,1625048661850,-16.8283881,32.6448039,0.9377193,-0.19733256,-0.018406868,-0.24563038,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,0a15d0f8-da57-46dd-b698-b84441402870,1625048661900,-16.8283881,32.6448039,0.9377193,-0.11248779,-0.02075386,-0.059482694,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,0ac34409-47c0-46ca-8590-ea36b083700c,1625048661951,-16.8283881,32.6448039,0.9377193,-0.085143685,-0.060730934,0.107364655,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,3451ac0a-5993-4dc8-8e41-26ac0c5660f1,1625048662001,-16.8283881,32.6448039,0.9377193,0.0093714,-9.250641e-05,0.10392439,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,d1ccec65-d46e-45ed-9ff4-435c0fb3f4c0,1625048662052,-16.8283881,32.6448039,0.9377193,-0.010197997,-0.033787727,0.090949535,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,827825e8-e0d3-4731-9161-4dcc38d2bd7f,1625048662102,-16.8283881,32.6448039,0.9377193,0.09043002,-0.06722832,0.10389805,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,2c806992-8c02-4880-b36b-68b5c7bfa376,1625048662152,-16.8283881,32.6448039,0.9377193,0.0033979416,-0.039811134,0.06939459,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,2a1495ba-c24a-4278-bfff-917740c2b2f2,1625048662204,-16.8283881,32.6448039,0.9377193,-0.062167287,-0.07371616,-0.05657637,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,49875b77-a940-43ed-8751-dc349d41a246,1625048662253,-16.8283881,32.6448039,0.9377193,-0.21633351,0.040406227,-0.035223246,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,338e4b75-668e-4813-ae4f-6032bc04e3cd,1625048662305,-16.8283881,32.6448039,0.9377193,-0.13632268,0.027186394,-0.07755256,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,6517f540-123d-4c38-837c-78f3f35d174d,1625048662356,-16.8283881,32.6448039,0.9377193,-0.22635937,-0.09621525,-0.1793927,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,99612139-355c-4319-822a-e947eef7f992,1625048662407,-16.8283881,32.6448039,0.9377193,-0.18198991,-0.09378433,-0.21717596,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,35d4537d-2a71-42ac-9579-1fb01d98bb50,1625048662456,-16.8283881,32.6448039,0.9377193,-0.37864178,-0.051312447,-0.20944965,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,72ca56e1-12a5-428a-b7b0-888630459270,1625048662508,-16.8283881,32.6448039,0.9377193,-0.52466583,-0.18621922,-0.25068808,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,5408694b-47d5-4de2-8aae-da7370519575,1625048662558,-16.8283881,32.6448039,0.9377193,-0.6535806,-0.14669895,-0.15893602,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,fe29435d-f03e-4c0a-ad6a-58a3254f72d8,1625048662608,-16.8283881,32.6448039,0.9377193,-0.56596386,-0.07951641,-0.05477321,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,2758df05-753e-4581-8ef3-de4bf431cd97,1625048662658,-16.8283881,32.6448039,0.9377193,-0.6760497,-0.09566593,-0.0007042885,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,d5810212-c216-4d18-9369-f8d8d14de818,1625048662710,-16.828387,32.6448028,0.7984298,-0.7994909,0.021431923,-0.1057328,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,6cdad4df-5423-4a9d-9cce-44e847b83294,1625048662760,-16.828387,32.6448028,0.7984298,-0.5641855,-0.04082966,-0.15254247,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,24fea4ec-8717-4c6a-81fd-02c01167b2a3,1625048662809,-16.828387,32.6448028,0.7984298,-0.44879216,0.000289917,-0.2977947,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,4125c698-f533-4ba6-a7c8-b011dd9698c5,1625048662859,-16.828387,32.6448028,0.7984298,-0.24259919,0.24146461,-0.49034047,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,235ff5c2-f949-44b7-b9df-21031ec29962,1625048662910,-16.828387,32.6448028,0.7984298,-0.2987684,0.05556202,-0.48938966,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,c0ad4b8e-9a05-4428-906e-13d1e1c0c6a7,1625048662961,-16.828387,32.6448028,0.7984298,-0.16954792,-0.072449684,-0.4655789,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,1904225a-7800-4c24-8f83-576fea6a424d,1625048663011,-16.828387,32.6448028,0.7984298,-0.093719065,0.1764822,-0.232391,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,ac2163bf-43f7-49b2-83bc-c0b4979c1f10,1625048663060,-16.828387,32.6448028,0.7984298,-0.25636506,0.07380009,0.25053012,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,06f2b7a7-bb88-4f33-8822-5cbd5e736ad9,1625048663110,-16.828387,32.6448028,0.7984298,0.102297485,-0.21727467,0.17566681,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,fdd769fc-8f66-4083-b492-2d93089a957d,1625048663160,-16.828387,32.6448028,0.7984298,0.42578554,0.36513996,0.7305654,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,ab1c223a-3206-4bd2-9367-0effba859735,1625048663211,-16.828387,32.6448028,0.7984298,0.11999321,0.11393833,0.28877285,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,48431f10-8cf4-465b-8f5b-dbc510e816fd,1625048663261,-16.828387,32.6448028,0.7984298,0.15815341,-0.5720873,-0.40458232,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,9a1e4b3c-8b2e-46b6-89fc-dd891f9dae2d,1625048663311,-16.828387,32.6448028,0.7984298,-0.23947984,-0.3668537,0.23279445,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,0d523cfc-ca77-452e-a0c2-d65966889660,1625048663364,-16.828387,32.6448028,0.7984298,-0.37176687,0.0066804886,-0.007979423,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,fe2539e3-1491-45bb-a1c6-ee8ccefb5b24,1625048663413,-16.828387,32.6448028,0.7984298,-0.23930812,0.37482643,0.71422124,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,1a9ad129-03f4-42b0-805b-da7a08e9f11b,1625048663464,-16.828387,32.6448028,0.7984298,-0.12425792,-0.5054817,0.2958247,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,da2e3da0-0a47-48f7-96e9-e6d0dcc429b5,1625048663513,-16.828387,32.6448028,0.7984298,0.033160567,-0.45219707,0.41799262,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,de98fbd6-e14d-4a77-a2e5-db0c0606796e,1625048663563,-16.828387,32.6448028,0.7984298,0.04197204,-0.18728256,0.598063,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,de62cf40-dc3e-4ed0-a192-e6afaead3f05,1625048663665,-16.828387,32.6448028,0.7984298,0.011365294,-0.26002884,0.5132247,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,fa0ac8dc-a8ff-4288-8fae-84ced66fc974,1625048663716,-16.828387,32.6448028,0.7984298,-0.0093489885,-0.097566605,0.5777364,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,dc938e86-4ec2-4026-843b-eec2818084a1,1625048663766,-16.828387,32.6447978,0.5877685,0.11720061,0.05120182,0.6691793,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,d13809e0-7c67-4ccf-964d-cc1b45df3126,1625048663816,-16.828387,32.6447978,0.5877685,-0.14508796,0.08735752,0.59558165,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,07cb7bc8-f629-4bb5-89cb-9f58e8fe3eed,1625048663867,-16.828387,32.6447978,0.5877685,0.040214777,-0.05980873,0.67990446,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,fef760f1-2348-45e0-b1c5-78d594145b4b,1625048663916,-16.828387,32.6447978,0.5877685,0.071691155,-0.21090603,0.91123587,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,a00cf402-bff1-4fd6-b02a-9365ebf638fe,1625048663966,-16.828387,32.6447978,0.5877685,-0.023683906,-0.09961891,0.9419351,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,e3263134-f541-456b-882e-2d88cccfc81d,1625048664017,-16.828387,32.6447978,0.5877685,-0.18843645,0.26042938,0.8821862,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,5a77f874-cce3-4616-9dc1-970968b16373,1625048664067,-16.828387,32.6447978,0.5877685,-0.35247266,-0.35378265,0.7411675,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,4df0e880-6410-42e5-93bf-02698afa9a39,1625048664117,-16.828387,32.6447978,0.5877685,-0.31272578,-0.6936321,0.6036805,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,9260fe9c-c122-4f92-a55e-7b8801778f97,1625048664168,-16.828387,32.6447978,0.5877685,-0.2923587,1.0217524,0.7426781,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,17b11b69-6f67-4d23-ae7a-b3e308ce213e,1625048664218,-16.828387,32.6447978,0.5877685,-0.100061506,-0.22989368,0.30791616,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,4160f543-2ca4-4484-8d58-3b86918ada5f,1625048664268,-16.828387,32.6447978,0.5877685,0.62533504,-0.4786911,-0.42087042,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,dafe459f-402b-43c4-bf34-c758af482204,1625048664318,-16.828387,32.6447978,0.5877685,-0.3920946,0.041597366,-3.6646962,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,b58c61aa-e9ef-4007-9810-97021c3cd9a8,1625048664368,-16.828387,32.6447978,0.5877685,-0.80991495,0.0043029785,-2.2643232,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,e320c6ca-7cd4-4def-a43c-787312978a96,1625048664419,-16.828387,32.6447978,0.5877685,-0.37778434,-0.34525204,-2.0883534,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,19b687c0-f7d1-4e05-b2b6-cc48d772bdd1,1625048664469,-16.828387,32.6447978,0.5877685,0.11273433,-0.07282543,-1.877811,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,5e9baff2-ccc2-4124-8b42-5f656af1a9e8,1625048664519,-16.828387,32.6447978,0.5877685,-0.31245673,0.16676998,-1.2637541,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,c4814e98-664d-4471-a5b6-256df5f4a4de,1625048664571,-16.828387,32.6447978,0.5877685,-0.28546506,0.4184084,-0.05636239,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,ad4f95ed-b34d-4c36-b635-e08ece0d3ad8,1625048664619,-16.828387,32.6447978,0.5877685,-0.34129936,0.10820484,0.39174306,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,440a39f7-79a3-4ab5-943f-5490e4245dcb,1625048664669,-16.828387,32.6447978,0.5877685,-1.0051457,0.23764133,0.8170682,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,e3284091-2ab7-4460-8d56-5d25541c4aef,1625048664719,-16.8283879,32.6447966,0.53765965,-0.9088209,0.553339,1.5661203,other,other,False,mixed,mixed
51160a61-7eb1-47ee-be8a-865b42d2fded,56abea6a-d8ea-47f5-86d5-44ff4a510f6a,6c23daa6-1678-4bdc-bf5c-fc7c3d156a00,1625048664770,-16.8283879,32.6447966,0.53765965,-1.03461,0.65718174,1.18884,other,other,False,mixed,mixed
