bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,f13e038a-81cb-4ca0-b268-47e48257b79c,1632421824282,0.0,0.0,0.0,4.1323733,59.772808,5.181135,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,6ea8356c-119e-4045-a0b6-1e36b9bece61,1632421824333,13.423291,52.4957279,3.931028,-0.78457296,8.480127,-16.623705,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,2aebff5c-a447-40c3-97c0-47a541f42f84,1632421824384,13.423291,52.4957279,3.931028,-5.1668224,-35.550007,23.126286,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,8a2866ce-c5dd-4f61-b552-3aa9d4a6ac5d,1632421824434,13.423291,52.4957279,3.931028,-3.2238016,11.4604645,1.8216269,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,c36d3e15-569f-49ed-bc9c-49ffd8f4f164,1632421824484,13.423291,52.4957279,3.931028,3.1301303,-0.69403934,-11.507912,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,0ad09da3-f291-497b-8b36-2e92ee4b8a7d,1632421824533,13.423291,52.4957279,3.931028,0.32526934,1.5324144,-11.565847,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,22603555-eb3c-448b-b6d2-66c56bc56985,1632421824584,13.4233163,52.4957251,3.6779356,-0.9427047,-38.21615,22.442455,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,85622cae-7af6-46e2-9c21-778fbe1345a5,1632421824651,13.4233163,52.4957251,3.6779356,-0.4580996,-3.3446708,-12.591581,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,b00d409b-023d-44ba-968e-617ef6810930,1632421824717,13.4233163,52.4957251,3.6779356,-23.71733,29.630495,16.17778,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,d9cb7761-0a0b-43f3-a10e-c1bd7e0ffbed,1632421824767,13.4233163,52.4957251,3.6779356,1.2801826,17.618172,-25.330233,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,9c05641f-76ce-4302-ac4a-bf6f01def83e,1632421824818,13.4233163,52.4957251,3.6779356,-2.3014865,14.831026,5.274904,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,778165af-141a-480c-a4ea-0a501c481eb5,1632421824885,13.4233163,52.4957251,3.6779356,-0.61730814,5.981757,-9.28748,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,9fa455d9-1048-4bf4-9d84-cfc6d211f0ff,1632421824951,13.4233163,52.4957251,3.6779356,-0.7874422,-44.89123,19.79795,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,763c027d-fdc3-4a94-a382-60acde2c559b,1632421825018,13.4234019,52.4957166,3.6459885,-0.2969067,-5.220784,2.3774545,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,a8442a5d-5ee8-4793-be59-831947466265,1632421825085,13.4234019,52.4957166,3.6459885,0.71201825,20.555038,-7.5535774,on bike mount,cyclo cross,True,sett,intermediate
0cbef7ff-c055-4330-b11d-7108f5d00f4d,ed4079c1-b4eb-47b5-a046-2f0450aab6cb,13ca0fdb-0c56-4a1e-9eef-55ae293fcbef,1632421825151,13.4234019,52.4957166,3.6459885,-4.388523,-36.113636,5.126975,on bike mount,cyclo cross,True,sett,intermediate
