bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,aa1888c4-eb51-47b2-81ff-9de4549f1182,1632420854036,13.3906764,52.4727994,3.6328375,1.4926808,-2.7075152,1.1218853,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,2e60547a-847e-4aaf-86e8-6f39b7c0f198,1632420854086,13.3906764,52.4727994,3.6328375,-0.5597756,-1.490107,-0.9391737,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,501817ab-f9e9-4c73-94a0-c22a1feed43b,1632420854137,13.3906764,52.4727994,3.6328375,0.75634027,-8.168232,4.0769005,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,55910d22-2ed7-4226-9250-7d47d5d99624,1632420854187,13.3906764,52.4727994,3.6328375,2.595795,2.9064512,-0.055461884,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,d2963b62-6ac7-4b9f-a687-485f960aeded,1632420854238,13.3906764,52.4727994,3.6328375,-0.8109577,-4.0198355,-0.22669744,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,9700f3b3-2ef3-44ff-bba6-7f9e25b996c4,1632420854289,13.3906764,52.4727994,3.6328375,2.3189332,-4.70965,5.129854,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,d6265113-6edd-4c2d-a942-e96e319ff732,1632420854340,13.3906764,52.4727994,3.6328375,-0.44826448,2.5947132,0.23836708,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,3f242eb4-23f7-4c9d-a53b-d1f2f70a8e4e,1632420854390,13.3906764,52.4727994,3.6328375,0.9458945,-5.9446297,0.76909065,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,95e56852-b707-4835-8f98-9bb51386e6f5,1632420854440,13.3906764,52.4727994,3.6328375,2.327664,-2.6404986,1.8480492,on bike mount,cyclo cross,True,paving stones,intermediate
cf6a6df9-cd2b-453d-b8d5-bf8073c6b044,bccf18fa-9423-4239-8a97-87a310357148,b2417fb8-ef76-47db-a603-dd7cb67c765e,1632420854491,13.3906277,52.4728345,3.5522623,-0.006871581,-1.1582317,1.2609081,on bike mount,cyclo cross,True,paving stones,intermediate
