bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,ec68afae-9211-4a4a-a792-e07518cd3352,1626708713397,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,57f9fb74-2d29-4a3d-b26f-d0f7569d6986,1626708713460,13.5747881,52.4136049,0.0,0.02873969,-0.41157624,0.19918442,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,305ef15f-e337-49b1-86c6-85f79e2b59a7,1626708713526,13.5747881,52.4136049,0.0,0.092362165,-0.23832566,0.055336952,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,8263357c-4701-4620-88f6-ae3ec5355cd9,1626708713593,13.5747881,52.4136049,0.0,0.52007794,-0.31928012,0.04740715,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,08a1d309-89ca-40e5-b0f1-3cea93385c79,1626708713660,13.5747881,52.4136049,0.0,0.70138395,-0.23364803,0.20960808,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,3e381d6f-931f-4b45-8da8-02ad92acc1e1,1626708713726,13.5747881,52.4136049,0.0,0.85194016,-0.18041211,0.19578362,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,578525b4-e832-424e-82e6-b21a6212f8f9,1626708713793,13.5747881,52.4136049,0.0,0.2826897,0.017424792,0.15781593,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,459ca20b-28dc-4c41-9fb4-00faec944cef,1626708713859,13.5743771,52.413665,0.0,0.052807808,0.0040824115,0.12038803,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,2b2192d6-e021-496c-89e1-0d61200e9cb1,1626708713926,13.5743771,52.413665,0.0,-1.1644621,0.42433327,0.7356281,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,bedd7535-d75d-4c1c-81ed-ee4b685a85e1,1626708713993,13.5743771,52.413665,0.0,-0.4727471,0.3150887,0.29486942,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,9ac51f47-66a4-4871-aa17-0c96365f5f6c,1626708714060,13.5743771,52.413665,0.0,0.9673493,0.01257959,-0.5056095,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,2830ba9d-9ba0-47d8-9dec-370e4ef5d0cb,1626708714125,13.5743771,52.413665,0.0,0.98652536,0.51381373,-0.06935024,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,bf692f98-1c5e-4dd9-a38f-361a1e8dfa49,1626708714193,13.5743771,52.413665,0.0,1.5285466,0.2936026,-0.11549759,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,fd21c736-5af0-4f97-af53-7fa19fa9bd07,1626708714259,13.5743771,52.413665,0.0,0.2571138,0.45251507,-0.6501074,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,40d457cd-8bd1-4b6c-a85f-179713a6efcc,1626708714327,13.5743771,52.413665,0.0,0.1627121,0.42911106,0.6576319,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,3cfc49ec-bd36-48e4-a339-b15a57c80b03,1626708714393,13.5743771,52.413665,0.0,0.762668,0.37624615,0.5532627,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,d001087e-798b-4d29-b55d-b45f8c451c2a,1626708714460,13.5743771,52.413665,0.0,0.6597965,0.43153083,-0.6345959,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,9db2e661-cd3b-478e-afc9-66e058ea57b2,1626708714526,13.5743771,52.413665,0.0,0.24548835,1.0332909,0.12497139,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,dfb4d7a1-e06b-45e5-8889-39c2113d5024,1626708714596,13.5743771,52.413665,0.0,-0.6075547,1.6189306,0.24067783,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,e071effb-89d0-4cb4-ab54-a8d74c86e7ea,1626708714658,13.5743771,52.413665,0.0,0.5112974,-0.23145443,-0.4587469,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,8d011992-7b1c-49d1-9be2-30bd05f57871,1626708714725,13.5743771,52.413665,0.0,-1.3004589,0.5744058,-0.67738056,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,be520ce6-77f2-4320-bc35-8ac41a6547ea,1626708714793,13.5743771,52.413665,0.0,-0.8990357,1.8793054,0.35964966,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,72d0a02b-733e-49a4-8c8f-8bff0997959c,1626708714859,13.5743771,52.413665,0.0,1.1524369,1.6740154,-0.9099312,on bike mount,road bicycle,False,ground,intermediate
7959d0c7-6908-4a19-84f7-7bd0285a594f,2597ac46-21ee-4eb7-850d-882e4b6ef1ed,f0aeab94-18b9-41cc-a29a-fb36c2a3246c,1626708714925,13.5743771,52.413665,0.0,2.452986,2.155017,-1.082572,on bike mount,road bicycle,False,ground,intermediate
