bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,4af2a0ab-12b6-445c-a10c-db89d0dd9405,1634143789996,0.0,0.0,0.0,-2.290465,-3.6072216,5.4299746,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,7b530172-671b-4b78-a2b7-bcfcbceef981,1634143790060,13.4049569,52.4725165,3.9562998,-0.5767172,-2.917849,-5.009298,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,85c6eaf1-4a38-437b-a084-1bcc45425383,1634143790111,13.4050032,52.4725118,4.3650928,-0.91861993,0.0867455,3.3080206,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,c53439a4-f416-437a-ab3f-1f80fca978b4,1634143790161,13.4050032,52.4725118,4.3650928,-2.9250364,-0.027727127,1.5267849,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,07614be8-6d93-41ee-b3dc-a45da8453f07,1634143790211,13.4050032,52.4725118,4.3650928,-2.1626894,0.30279946,6.672529,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,a5cab228-be6b-414d-ab4a-47896ece91a4,1634143790261,13.4050032,52.4725118,4.3650928,2.703939,1.6400456,0.77017593,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0a5f2b61-d584-46f3-8c34-26f3f8c8c944,1634143790312,13.4050032,52.4725118,4.3650928,4.0516706,1.5488858,-4.375552,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,dcaf3273-2d10-4110-906c-d2df12b2c10a,1634143790362,13.4050032,52.4725118,4.3650928,-0.4352018,-0.37904215,0.8000097,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,79ee0d4c-b176-4a5f-b1b4-27b639747f44,1634143790428,13.4050032,52.4725118,4.3650928,-1.2062271,2.075654,-2.4749112,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,386f4cd2-bec8-497f-8c19-e85464f3eb67,1634143790478,13.4050032,52.4725118,4.3650928,-0.95982426,0.037387133,-0.5707507,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,6ad2015e-12ad-498e-b504-75b7ff2adfb6,1634143790528,13.4050032,52.4725118,4.3650928,-0.365611,0.77658653,-0.3382473,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,405523e2-5d2c-43ee-8201-ab69426b74eb,1634143790578,13.4050032,52.4725118,4.3650928,0.8509712,1.7021532,-1.4331312,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,8d2e6e01-c836-4460-914a-d427e0300f9a,1634143790629,13.4050032,52.4725118,4.3650928,-1.7305771,-2.846242,0.6891537,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,962e2616-3f04-4fef-9d3a-ce5c0474928f,1634143790680,13.4050032,52.4725118,4.3650928,0.51059246,-0.5861089,0.26258755,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,b1131951-6736-4fcf-a03c-8a41bdd54ace,1634143790730,13.4050032,52.4725118,4.3650928,-0.0109966695,2.7599897,-2.2936134,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,6cbbf2ff-62d5-4bd2-a297-446ce031becb,1634143790780,13.4050032,52.4725118,4.3650928,0.5333808,-0.9915321,1.6660414,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,7e801469-fe7c-4b50-99dd-006a8f7c13f7,1634143790829,13.4050032,52.4725118,4.3650928,0.2182135,-0.55195785,-0.81615734,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,9cbe5be0-ad52-419b-9c6a-81744187fcab,1634143790879,13.4050032,52.4725118,4.3650928,-1.3086457,0.96847486,0.5969305,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,b1a0fbce-c507-4e05-a22e-f941b21df063,1634143790930,13.4050032,52.4725118,4.3650928,-0.9964296,-0.15239525,-1.6249971,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,c8f88147-5346-49ac-8210-045479b5dc00,1634143790979,13.4050032,52.4725118,4.3650928,-1.0383409,-1.2762669,0.33992195,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,6f498fcc-60e2-4c22-9c50-c74d3e7e17ff,1634143791029,13.4050032,52.4725118,4.3650928,-0.54682225,2.1233635,2.360712,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,f7098297-7405-437f-9f00-8a0bfb64696f,1634143791080,13.4050032,52.4725118,4.3650928,2.644014,0.07120347,-3.7400596,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,e506bf94-c154-49e7-b74b-4b61ff24a3f6,1634143791130,13.4050032,52.4725118,4.3650928,-0.9716432,-1.5942864,-0.10126209,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,83f764b0-0d03-4719-8fd9-a9080ffb0829,1634143791181,13.4050032,52.4725118,4.3650928,-2.5797112,-1.4458503,0.84403133,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,17466f4c-0a07-4697-83ca-b8118907c8e2,1634143791247,13.4050032,52.4725118,4.3650928,1.9537177,0.035134792,0.3743086,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,d3db7d66-28d4-444f-9ac4-ee397809de34,1634143791298,13.4050032,52.4725118,4.3650928,0.4186324,-6.624254,2.9061909,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,16b9662c-683e-4519-a1fb-3c6d5b41d92e,1634143791348,13.4050032,52.4725118,4.3650928,-0.010910124,-3.464473,3.8519735,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,67e8f749-fcb2-4091-b84f-d8c8f41f60e7,1634143791399,13.4050032,52.4725118,4.3650928,-0.9779527,4.200194,-0.49211407,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,f111c5c5-b94f-4f29-b9e7-32bf934596f0,1634143791450,13.4050032,52.4725118,4.3650928,1.8513255,-0.023743153,1.4257174,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,97190cc3-8f24-475b-a2c7-72cfc2a9099a,1634143791499,13.4051144,52.4725115,4.522782,-1.3946258,-0.14306164,-1.2336731,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,c8000e39-8f56-495e-8280-cba27edd2ab2,1634143791549,13.4051144,52.4725115,4.522782,0.055176675,-1.6763775,-0.045942307,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,ffd40cdb-0708-4876-a6f1-62b7a9f38b35,1634143791598,13.4051144,52.4725115,4.522782,1.6444522,3.5286088,1.8287363,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0c6ae9c0-0fd2-495b-8ad1-14e5066f4721,1634143791650,13.4051144,52.4725115,4.522782,-0.62259525,3.793827,0.35226822,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0ecfa358-56fa-44c4-ba38-6789dc9d5467,1634143791700,13.4051144,52.4725115,4.522782,-1.329709,-2.9580655,-1.4485183,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,fe6a202f-7505-4500-8b18-356194c856b4,1634143791749,13.4051144,52.4725115,4.522782,1.0170718,-1.1952257,-1.332602,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,3788bfaa-744e-472a-9270-6b2a1313ca57,1634143791800,13.4051144,52.4725115,4.522782,1.6252743,0.6848662,-0.877759,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,91148e90-071c-4d75-91f1-eb0413d33645,1634143791851,13.4051144,52.4725115,4.522782,0.24637735,3.082018,-0.6145992,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0587be8a-ea55-4e09-8c55-15b1e870da1c,1634143791916,13.4051144,52.4725115,4.522782,0.81641597,-3.9056265,1.2790508,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,b031eb3d-4470-4437-a1d8-1823e5e7b098,1634143791967,13.4051144,52.4725115,4.522782,1.0608106,-4.038444,1.7223034,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,7c5d9c7e-e2c3-4ecb-8c08-d199198c2e4b,1634143792017,13.4051144,52.4725115,4.522782,-1.0742244,-0.63133955,0.6965103,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,a8ea13de-a059-4f89-a2f9-499486916ecc,1634143792068,13.4051144,52.4725115,4.522782,-0.36709636,0.21061397,2.01966,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,9860ea56-8391-4545-bc7d-47d8d1728dff,1634143792133,13.4051144,52.4725115,4.522782,-0.7386495,-1.5161905,0.8911066,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,74504cbb-033b-4da0-bb09-081a6f44224e,1634143792183,13.405178,52.472509,4.8103757,-0.91158056,3.8535986,-1.404016,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,f2f7cb3e-e383-4d51-bda1-4cd26d4c4fb8,1634143792235,13.405178,52.472509,4.8103757,0.20823467,2.4142427,-1.6747017,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,4b205584-688a-4f7c-882a-ee2cf894a6b8,1634143792285,13.405178,52.472509,4.8103757,0.67235446,-0.09594798,3.4680872,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,54a6e2fb-d0a2-4513-9b0d-0327f57a5c14,1634143792335,13.405178,52.472509,4.8103757,-1.8950977,0.53671217,1.1042061,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,95489716-688b-41e6-8bbb-70bbc3fa6f15,1634143792385,13.405178,52.472509,4.8103757,0.0990649,-0.5136123,-7.3385506,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,3836b7bb-ba14-4f32-808c-fa371a81c6de,1634143792436,13.405178,52.472509,4.8103757,1.2490468,-1.853913,3.1018066,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,f5210d98-72d7-4358-ba47-c0beacd8f4cf,1634143792486,13.405178,52.472509,4.8103757,-0.06730161,1.3179138,-1.74856,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0ca6d704-99e4-4f1e-9400-60134c463a56,1634143792551,13.405178,52.472509,4.8103757,1.5747141,2.0408583,-8.213888,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,9faa9f1b-8107-403f-a668-471b3ea58387,1634143792601,13.405178,52.472509,4.8103757,0.9373331,-0.47323775,-1.2961259,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,7cc35708-0db1-44e5-8a47-01df5c95418b,1634143792651,13.405178,52.472509,4.8103757,1.5869734,-2.1847675,0.6202841,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,cd42e02b-ab93-428a-b181-f3793786b01e,1634143792703,13.405178,52.472509,4.8103757,0.59324867,-1.1207032,3.6013994,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,2b3ad736-a0ea-4462-8b0d-bc18561e032a,1634143792753,13.405178,52.472509,4.8103757,1.4042875,-4.134589,1.0928593,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,5ace61f6-b0e3-4c7e-ba67-1be851d51e9c,1634143792820,13.405178,52.472509,4.8103757,0.676919,1.7157373,0.9392252,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,b02379c4-c987-476a-8fd1-9f78cabc0493,1634143792870,13.405178,52.472509,4.8103757,0.4995769,0.57680607,-0.71671486,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,782e7e55-5d94-4e69-b400-f2572ed10316,1634143792935,13.405178,52.472509,4.8103757,1.1781998,-1.1281521,-2.040986,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,fa027101-473f-4355-a3c1-ff49d6b9938c,1634143792986,13.405178,52.472509,4.8103757,-0.39139616,0.21912265,0.06880665,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,0c16c7f7-e0e1-416f-a1a8-1e62384ae4f1,1634143793037,13.405178,52.472509,4.8103757,-0.75693846,-0.9451444,1.9436798,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,166ef295-05ef-4191-9655-1b3a1a85eb9f,1634143793087,13.405178,52.472509,4.8103757,0.80057883,3.2754679,3.386076,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,63668517-849c-4873-a74c-1ab9bf41151f,1634143793137,13.405178,52.472509,4.8103757,1.4073399,2.6969981,-5.699971,on bike mount,cyclo cross,True,paving stones,good
270e607e-b339-4f9f-b0b1-fd63d5e7197c,ddc82f64-2245-4bcf-9bfe-86701d1e2b96,f8aba0bd-3c96-4f69-94a1-618608e82485,1634143793188,13.405178,52.472509,4.8103757,-1.6974185,2.5816054,1.1027136,on bike mount,cyclo cross,True,paving stones,good
