bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,5b0f503c-7392-4166-b593-426f693940a3,1644075703776,13.4242059,52.4953798,5.033759,4.6904798,-6.992958,1.2376223,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,81643a75-a8a6-4ae8-a70f-7e8be17cf623,1644075703831,13.4242059,52.4953798,5.033759,-2.1084988,2.7080655,-3.2043855,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c2c31d3b-c0de-47a9-bf6e-8a2a4c36decf,1644075703888,13.4242059,52.4953798,5.033759,-1.4588931,10.124706,-13.769428,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,525c1143-925e-48b1-ab98-c3e5b32e1a63,1644075703944,13.4242059,52.4953798,5.033759,-0.027823599,-4.9263353,3.5270195,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,bae67d23-b728-4ce9-9403-1eaf8dd6e02c,1644075703999,13.4242059,52.4953798,5.033759,1.3461813,-6.049494,-1.3322029,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c250a64e-5977-4a66-a3a7-4d2e98296108,1644075704054,13.4242059,52.4953798,5.033759,-2.7753105,17.527727,5.648596,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,feebc5fc-3cdb-4679-af8c-d74f6b37d3d2,1644075704109,13.4242059,52.4953798,5.033759,0.26259682,9.040566,-2.615872,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,be3e10fc-b186-40d3-a0f3-6099d49ab649,1644075704164,13.4242059,52.4953798,5.033759,2.339538,3.8227224,4.5454884,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,5be7d988-d99a-4673-9749-e1dd6bef9a10,1644075704220,13.4242059,52.4953798,5.033759,1.2499729,12.585127,-8.599832,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,cadee465-802a-4157-9d82-afbaa800683f,1644075704277,13.4242059,52.4953798,5.033759,1.235264,-3.0925999,-8.291557,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,a140561f-ae61-49d0-829c-28094670cb3e,1644075704332,13.4242059,52.4953798,5.033759,0.20699415,-1.6588732,14.445412,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,fbcc2419-8540-4a70-bbf0-22e3f52199df,1644075704388,13.4242059,52.4953798,5.033759,-3.756421,-0.3236642,-2.3281488,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,158ea0dd-502a-43d4-aff0-5084bf9ba22a,1644075704443,13.4242059,52.4953798,5.033759,0.30863154,6.37059,1.5455551,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,f99fc9b9-e047-42c6-b941-cf23752d2328,1644075704499,13.4242059,52.4953798,5.033759,-1.2641244,0.42160583,-1.6515856,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,211afd51-219f-4b2d-8e52-b0d285308ae1,1644075704553,13.4242774,52.4953552,5.1608624,-1.6787441,-8.769431,4.2911434,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,1ca73df8-0093-489a-b79a-aa642e89a176,1644075704609,13.4242774,52.4953552,5.1608624,1.5898278,2.0971785,-2.0135612,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,67219a5d-4ade-44ad-9182-660747166f0b,1644075704665,13.4242774,52.4953552,5.1608624,-1.231132,-8.946247,34.243137,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,1a4bdd12-3b04-498e-8af5-011c8604d20d,1644075704720,13.4242774,52.4953552,5.1608624,-2.5783136,-22.656933,18.323551,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,575e5362-eab4-48cd-a3de-5f71f5a305c0,1644075704776,13.4242774,52.4953552,5.1608624,2.3348348,1.1506634,6.6698885,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,d3bda7f1-e80a-442f-b2a9-6a6b86d9c7b2,1644075704832,13.4242774,52.4953552,5.1608624,-6.1217613,-1.1363308,0.68594456,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,d71dd80d-6a46-49c6-944f-d6b717011cc4,1644075704889,13.4242774,52.4953552,5.1608624,-0.6821307,-16.80348,-12.125176,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,e047a593-7746-4840-9179-9eef8c006868,1644075704942,13.4242774,52.4953552,5.1608624,1.7540185,6.453967,-5.1663733,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,15b2f125-8c1f-43c5-aa0b-f5ded30a89db,1644075704998,13.4242774,52.4953552,5.1608624,1.6782645,4.6155305,-4.583953,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,0a11c794-d273-4576-bb65-96055430ad82,1644075705056,13.4242774,52.4953552,5.1608624,-0.7601205,8.496441,-16.553251,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,0e339815-1279-4e4a-abf7-48ab6909a742,1644075705110,13.4242774,52.4953552,5.1608624,6.2821727,-2.3183668,-4.22789,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,dec4d866-ad72-4631-9e5b-e6ef5f8d1737,1644075705165,13.4242774,52.4953552,5.1608624,1.6067824,-7.6391525,-15.469914,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,b3907c55-bab7-49a4-9e2f-b10b9e6efd5e,1644075705220,13.4242774,52.4953552,5.1608624,-3.2163324,7.2252836,5.87527,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,7f3bb909-08c3-4ea3-b434-66a89c4175a2,1644075705276,13.4242774,52.4953552,5.1608624,2.819954,-3.3093572,-2.439886,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c2c06f23-acd5-4f2b-99b1-a7ad17b498a0,1644075705333,13.4242774,52.4953552,5.1608624,-1.4043064,9.998404,-5.6858387,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,0f8a60ea-f067-4fb6-9c1d-a31252d6aeb2,1644075705387,13.4242774,52.4953552,5.1608624,-2.0484478,12.188356,-14.023852,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,1f47855e-2196-42b1-931b-8519cf84430a,1644075705442,13.4242774,52.4953552,5.1608624,1.6488365,-1.0475166,2.7666178,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,091990e3-4f86-49f3-84f1-82167cd800e7,1644075705499,13.4242774,52.4953552,5.1608624,1.3399334,6.587942,-15.314534,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,cbc122e1-1523-4183-9023-3b77f36d912d,1644075705553,13.4243538,52.4953306,5.190992,-3.3372865,17.495777,-13.957668,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,5a646ff0-4631-4ffe-a53f-50506b63c813,1644075705610,13.4243538,52.4953306,5.190992,2.9848037,-8.956234,-17.137989,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,9574bd5e-b615-4838-9d5e-ae1acdb1054b,1644075705665,13.4243538,52.4953306,5.190992,0.805303,-20.785967,9.846077,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,cf431d44-35bf-4852-9a7e-0c8f8e2707a4,1644075705720,13.4243538,52.4953306,5.190992,-0.29580277,-2.9975088,11.309377,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,dd77e644-3918-4014-88b0-1103c596da47,1644075705775,13.4243538,52.4953306,5.190992,6.1511827,1.1349082,-8.44596,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,be75217e-0c08-41c9-bfcc-95ced72c5a6a,1644075705831,13.4243538,52.4953306,5.190992,0.011248529,-5.742526,5.122018,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,e1029a49-4f70-40a4-b3a6-3401160f50b7,1644075705887,13.4243538,52.4953306,5.190992,-2.1630723,-9.119961,-14.381607,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,6714fd74-b177-43cb-8c74-69075e198ee8,1644075705943,13.4243538,52.4953306,5.190992,2.728405,-2.5577455,5.051344,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,2605fd8b-9040-4f47-a26f-bcaa9de7313d,1644075705999,13.4243538,52.4953306,5.190992,2.0708346,-0.045205116,8.178608,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,b827275f-e820-45bb-8448-a4de02e541a3,1644075706054,13.4243538,52.4953306,5.190992,0.9294709,4.6117716,2.1757908,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,f0006457-bc87-4b50-a5ff-7966458cd80b,1644075706109,13.4243538,52.4953306,5.190992,-1.3525306,1.165719,-1.5464458,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,729daf08-3624-4441-a2f0-03c70931c987,1644075706164,13.4243538,52.4953306,5.190992,-0.37027562,-1.2040241,-5.7712197,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,6c1b9f63-c742-45f7-9a65-c8f79d60db07,1644075706220,13.4243538,52.4953306,5.190992,1.1031551,-3.1773884,-5.6396527,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c941fc5f-00f3-4eb6-8e69-7d73803e7212,1644075706277,13.4243538,52.4953306,5.190992,0.352091,2.731471,0.4588852,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,fd85678f-0a31-4a9c-9307-1129a26629ad,1644075706332,13.4243538,52.4953306,5.190992,0.14885344,-10.098488,-0.38966465,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,ccd651ad-4d0b-4ae2-aab9-2aca88cf6e0e,1644075706389,13.4243538,52.4953306,5.190992,4.081311,-6.8380823,1.8093395,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c8724786-4ddc-4bdb-8e27-a1b6137f417a,1644075706443,13.4243538,52.4953306,5.190992,0.65788937,-4.5895047,12.950992,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,b70d15aa-0949-4186-89cd-5e04ce23623c,1644075706498,13.4243538,52.4953306,5.190992,0.83584297,-14.245323,22.82981,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,becefc30-9ef0-42a6-afad-5d4dfbfecf77,1644075706554,13.4244197,52.4953059,5.0146813,-2.3872623,5.118207,-3.6371999,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,56573ea1-623d-44ed-81b1-766a59717078,1644075706608,13.4244197,52.4953059,5.0146813,-5.300265,-17.385704,23.81935,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,c30dd2b0-b59b-4f1a-bedd-aaa0592118a0,1644075706664,13.4244197,52.4953059,5.0146813,0.5764226,-12.510351,3.6055927,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,31a4304f-9f47-4dec-88a6-9001cf51571c,1644075706720,13.4244197,52.4953059,5.0146813,-0.85379964,4.610152,-4.240187,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,2982ead2-e4d2-4787-80bc-93c481fc9fc5,1644075706774,13.4244197,52.4953059,5.0146813,-11.688476,2.2533588,3.4574022,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,1c0246fd-d459-4f01-9951-2e900053cc90,1644075706831,13.4244197,52.4953059,5.0146813,4.065168,1.6489072,-1.4556985,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,7d29cf93-40c8-4057-8ebc-bb599e4da050,1644075706887,13.4244197,52.4953059,5.0146813,-1.1811527,-1.9729998,5.1975155,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,fcded3a4-ea49-424c-81eb-a66d34a4c274,1644075706942,13.4244197,52.4953059,5.0146813,0.8099977,14.619886,2.5468664,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,66a3b8e9-0d00-4b43-9662-fdd97449f187,1644075706997,13.4244197,52.4953059,5.0146813,2.452854,7.1779766,-7.0538583,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,36261ca4-b5db-46c0-9723-4a5e62f4dc69,1644075707052,13.4244197,52.4953059,5.0146813,2.1146007,-3.6912653,1.773746,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,877ef52d-8ed5-4a4b-be92-34e7b1784263,b83b5773-e716-4585-a921-02b9ddb3edc6,1644075707108,13.4244197,52.4953059,5.0146813,-0.25033462,-3.1000028,1.2395134,on bike mount,cyclo cross,True,sett,intermediate
