bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,acbad02b-6e38-4421-9300-462f806b7a28,1635690476057,0.0,0.0,0.0,-0.12169061,-0.7709093,-0.4087267,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,3ab8c771-2c9f-43a5-a6b3-cc819fa32cae,1635690476116,13.4172581,52.4759002,3.3675876,0.3115924,-0.4576757,-0.35662556,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,8d53bad0-df4a-4e0f-836e-663cd6b42a5a,1635690476166,13.4172581,52.4759002,3.3675876,-2.1648693,-2.1082253,-0.80166817,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,fccc2e64-dad8-4160-bc3c-fab5bdcc0113,1635690476216,13.4172581,52.4759002,3.3675876,2.0848553,3.2996411,0.17706013,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,b89d1524-643a-49dd-92d8-4f80b20b687d,1635690476267,13.4172581,52.4759002,3.3675876,-1.3232751,-0.90376925,-3.6231833,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,b0c33493-536d-493f-86aa-9e0c06374b9a,1635690476318,13.4172581,52.4759002,3.3675876,-1.8464296,1.8864446,4.65973,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,efdd004f-e2cc-4458-b38b-b90e2382eb19,1635690476383,13.4172581,52.4759002,3.3675876,-0.60119367,0.52601886,2.2596636,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,4f417965-b310-4638-9cbd-b5c52fbbd88d,1635690476433,13.4172581,52.4759002,3.3675876,-1.4851626,0.0036275387,-0.6038971,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,42c8bd62-85ee-4cb8-b03e-d6171acc4faf,1635690476483,13.4172581,52.4759002,3.3675876,-1.1499437,0.32128763,1.242486,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,3c01a264-db5f-445d-aa2d-8b819328ace5,1635690476534,13.4172581,52.4759002,3.3675876,-0.02161324,2.02003,-0.17978954,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,c7f52ede-9326-4421-9b92-6f2e787a5efa,1635690476584,13.4172581,52.4759002,3.3675876,0.31493104,-0.2856586,-1.1757035,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,edecd8b5-dfc6-4f8a-bc88-c066f661010c,1635690476634,13.4172581,52.4759002,3.3675876,2.353798,3.6023479,0.5455551,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,c7a543c8-7925-4ac1-aba0-c3d9d41f262e,1635690476684,13.4172658,52.475938,3.5867083,-0.719024,0.38303423,1.3882885,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,01ff8e6f-d7c2-4fb0-a34b-e47665769282,1635690476734,13.4172658,52.475938,3.5867083,-2.5530076,1.2185338,1.7293358,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,763178d9-9dbe-4670-b9ca-79c18b286eac,1635690476783,13.4172658,52.475938,3.5867083,-0.28826478,0.19834518,2.4545803,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,d4a697ab-e4ce-430b-b9f6-6793959ed4c2,1635690476834,13.4172658,52.475938,3.5867083,1.9103992,0.7446809,-1.7996988,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,087d54e2-62dd-442e-a388-4a99ebf92dc7,1635690476886,13.4172658,52.475938,3.5867083,-0.058870494,1.1028647,-2.1448913,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,67cc4be7-a873-4491-ae31-8666c92be705,1635690476935,13.4172658,52.475938,3.5867083,-1.0153831,1.5748382,-1.1351147,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,dbc434b4-c8ee-4302-b8eb-9a7a3b9489f3,1635690476985,13.4172658,52.475938,3.5867083,2.31236,-1.6086462,1.1548481,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,d8ef4f42-b1c9-4848-9cd1-a8d3b2a4d46a,1635690477051,13.4172658,52.475938,3.5867083,-0.34757993,-0.32362032,-2.2744198,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,9022d2e0-9b41-4417-9d0d-5408599b8bcd,1635690477102,13.4172658,52.475938,3.5867083,0.8017726,-2.579054,-0.09174442,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,dc0730a7-f5d9-4205-b4ed-9793dda54dbf,1635690477151,13.4172658,52.475938,3.5867083,-0.1984186,-0.7268257,-2.2082582,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,c0233b7b-2e31-450e-b614-33a202ef7163,1635690477201,13.4172658,52.475938,3.5867083,0.30139714,-1.6589906,-0.40049267,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,6d0de664-3646-44af-8441-52bfd89ef4e2,1635690477252,13.4172658,52.475938,3.5867083,1.3642352,3.6922398,-1.599473,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,05c6739c-17af-4e21-a004-71b02c764426,1635690477302,13.4172658,52.475938,3.5867083,-0.3053645,-0.08510041,-1.3706207,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,a159718e-92b6-4ac5-944c-63c2b5f446b4,1635690477351,13.4172658,52.475938,3.5867083,0.03671789,2.185583,0.4125681,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,0178b3ca-40f7-41ae-954d-cfd2e9890106,1635690477401,13.4172658,52.475938,3.5867083,0.055741906,1.6827102,-1.7479501,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,af626aab-1efa-4e6b-a44e-895e80f015e1,1635690477452,13.4172658,52.475938,3.5867083,-0.4720508,0.3342514,-0.1577959,on bike mount,cyclo cross,True,concrete plates,good
7acf96cb-a7cd-4435-850a-014bb55cd114,d6564f5a-407c-4853-a550-cac0d2477986,dd54dd15-52d0-4a9b-8666-5931b798db20,1635690477503,13.4172658,52.475938,3.5867083,-1.1699936,-1.8236701,0.085105896,on bike mount,cyclo cross,True,concrete plates,good
