bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,9f17f12c-028c-4b3d-ad5f-c2b6cd5b1ead,1644073815359,0.0,0.0,0.0,2.1187994,-1.4697316,-3.9676619,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,364e4875-6242-47be-b4e2-a12b3aa295cd,1644073815419,13.4235065,52.4958723,3.3854625,-0.1908335,-0.16159797,-8.628997,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,c09cd7ac-148d-4e48-afad-e286ce6e3216,1644073815481,13.4235065,52.4958723,3.3854625,-0.36519763,0.46178818,-7.5714,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,3ebcb319-964a-4017-8cde-33b4f5b68e10,1644073815531,13.4235065,52.4958723,3.3854625,-1.518645,-5.096469,-4.0811243,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,fb445522-579d-48ce-8cf8-f4652dce872d,1644073815588,13.4235065,52.4958723,3.3854625,1.0594246,-0.27075815,-9.006325,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,244ef2fe-7184-497c-ae34-eb9aa56a7f19,1644073815644,13.4235065,52.4958723,3.3854625,-2.427788,-5.2024183,7.2402706,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,7e8ecafa-b699-4675-b2a0-c11745a2388c,1644073815697,13.4234874,52.4958572,2.8493197,3.9707935,9.001588,-15.676857,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,560a984f-14bc-4a03-8cfa-17ecdef35fce,1644073815754,13.4234874,52.4958572,2.8493197,-0.65565586,-0.5649624,7.543458,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,cae33181-3324-46cd-b869-bf556e89583a,1644073815809,13.4234874,52.4958572,2.8493197,-0.07281031,7.87543,-27.476587,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,3074dedc-f49c-4a75-82d7-3b856796b217,1644073815864,13.4234874,52.4958572,2.8493197,-1.0981593,1.7935696,-15.646663,on bike mount,cyclo cross,True,sett,intermediate
88cdc9f2-03a5-4213-afe0-fcc4661d974d,0a87ad05-83b9-4879-b63b-b56bf06b9037,652160cc-fa64-4906-aeb8-057b6a677b9a,1644073815921,13.4234874,52.4958572,2.8493197,-5.1890554,2.0280466,13.881041,on bike mount,cyclo cross,True,sett,intermediate
