bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,f4193e9d-26d1-47cc-ab8a-3689ae4b77e1,1634556826584,13.4836571,52.4799392,6.743308,3.9828916,-3.3200026,-1.1679058,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,01992cf1-e6d4-4277-bb28-f38012a734e9,1634556826634,13.4836571,52.4799392,6.743308,-0.7872431,-3.998314,6.925247,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,a61cca83-6f71-4d6d-a45b-ecff25cabddb,1634556826684,13.4836571,52.4799392,6.743308,6.290488,-6.2426586,-0.4567232,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,ee76b662-c3ec-445f-9020-026f44ea2630,1634556826736,13.4836571,52.4799392,6.743308,2.5597515,6.380765,0.07224941,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,0a3e36a6-0d7b-42bf-ac8c-9eca0eefe591,1634556826786,13.4836571,52.4799392,6.743308,-2.34494,-4.6991396,10.060312,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,726e8880-edf3-4c40-afb6-edd9e0f2756a,1634556826836,13.4836571,52.4799392,6.743308,-2.354681,-4.332344,-1.3026295,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,883b800f-0b63-40ec-a3cc-1a766fb3b17a,1634556826886,13.4836571,52.4799392,6.743308,0.0066605806,-0.42930102,-6.281946,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,ad6c5570-0f7f-4c86-87b1-74f3e859dcf5,1634556826937,13.4836571,52.4799392,6.743308,-2.2683482,-6.5577374,7.098671,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,a0fa3cf2-e5f7-42bd-852e-386aa01c8abb,1634556826987,13.4836571,52.4799392,6.743308,1.7463677,-2.8334332,0.44501686,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,775a20c6-4901-4b39-a27d-1f61d5fb0971,1634556827036,13.4836571,52.4799392,6.743308,0.677396,7.1121035,-3.8318496,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,0e7a5196-11bc-4abf-8f06-79aaccc453af,1634556827086,13.4836571,52.4799392,6.743308,-1.7688637,-2.0005193,6.447673,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,bc634142-478b-457e-be71-5ba178b2ea7d,1634556827136,13.4836571,52.4799392,6.743308,-1.3216741,-7.8324165,2.1035337,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,37b5e533-94f6-45f2-8faf-d5647b5aa2cb,1634556827186,13.4836571,52.4799392,6.743308,1.2573174,1.2491088,2.0214233,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,6492a5f4-3fca-410c-9dbe-b28cf8a9e57f,1634556827237,13.483363,52.4803076,6.4658184,3.2556252,0.12877607,-0.7299738,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,9fc9a8d4-ec65-451a-b886-0fed6fe9dd1a,1634556827288,13.483363,52.4803076,6.4658184,-3.6355445,-0.86561704,-8.655271,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,349db92d-dc4e-483c-a1f1-6cc7459b0b79,1634556827338,13.483363,52.4803076,6.4658184,-0.13739824,-3.9220252,9.283573,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,6e87f4dd-15c0-43e6-a9c5-9d613729e826,1634556827388,13.483363,52.4803076,6.4658184,1.5169663,-0.11904955,0.9341974,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,ec042df2-eb14-4011-9c97-78c85684b206,1634556827438,13.483363,52.4803076,6.4658184,0.7445008,1.0489626,-3.3661392,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,4643eeed-346e-4da0-9e59-cacab7c53474,1634556827487,13.483363,52.4803076,6.4658184,4.123352,11.154104,-3.9620728,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,6fb67960-e1f9-489d-84ba-998357b35e11,1634556827537,13.483363,52.4803076,6.4658184,-1.4122145,-3.3569298,6.86644,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,5d862458-162b-4787-b7e5-b6dec51d696a,1634556827587,13.483363,52.4803076,6.4658184,1.1566842,-6.6984115,-2.126349,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,197bb669-0192-4115-8dc1-b8f8a8e774f7,1634556827637,13.483363,52.4803076,6.4658184,1.938782,5.0391026,2.4097853,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,2e878f55-a214-4571-8972-6bff792e292b,1634556827686,13.483363,52.4803076,6.4658184,-0.16749418,-3.983708,-0.70890236,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,e3754069-bee4-453d-ad9f-e6a72f8790e0,1634556827737,13.483363,52.4803076,6.4658184,2.3593392,1.3186836,-0.25811768,on bike mount,cyclo cross,False,mixed,mixed
dd411448-f3a8-418d-8ede-fc56405011ef,d5026661-4cd3-477b-9161-ab201a8bd447,2a290d3f-e753-4f7e-9ed0-5d0c295da185,1634556827788,13.483363,52.4803076,6.4658184,1.2556572,0.78264713,4.5767536,on bike mount,cyclo cross,False,mixed,mixed
