bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,0f9e86aa-84d2-49bc-bb73-1fe6a4f6e2b7,1633165839506,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,56b1e990-04fa-404c-8ae2-9ebdaf0858bf,1633165839563,14.1482171,52.3521569,6.2523093,-0.10922176,0.30122542,2.0690994,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,fce8eb31-c1e0-4c39-9196-75bda812379c,1633165839614,14.1482738,52.3521299,6.188666,3.2614615,-0.110958815,-1.092032,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,5de1ea89-f19f-433c-8a60-1ac8a892317e,1633165839664,14.1482738,52.3521299,6.188666,-0.07332897,0.3265078,-0.8638587,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,c4f9181e-4cc6-4b47-a8fa-0999b6abe523,1633165839714,14.1482738,52.3521299,6.188666,1.9643378,1.2531323,-0.011458397,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,440103cd-8087-43cb-b7cc-cf1fa7e9fc6c,1633165839764,14.1482738,52.3521299,6.188666,1.3883126,0.17328978,-0.9130688,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,2ec0ff97-f208-4f98-b9b2-e1fbb6fdebd1,1633165839814,14.1482738,52.3521299,6.188666,0.5830384,-2.0429673,0.16497898,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,4a0e1e57-9aca-449c-81a9-745a17d9cd1f,1633165839864,14.1482738,52.3521299,6.188666,0.18784231,-5.1906223,0.7286663,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,b732542b-cc52-4893-bf2b-bb8f42f71294,1633165839913,14.1482738,52.3521299,6.188666,-0.66804564,-4.0347934,2.561038,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,5139fc46-5cbc-49b3-b450-cb5d7a4fa5da,1633165839964,14.1482738,52.3521299,6.188666,-0.352046,3.6545973,2.658348,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,6bca23e9-1497-41ab-859c-5704c08e9c05,1633165840014,14.1482738,52.3521299,6.188666,-0.14080942,-0.49886703,2.1723423,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,2fe0343c-b4df-4e19-ada2-198a97c4223f,1633165840064,14.1482738,52.3521299,6.188666,2.0814023,-2.688333,1.1675301,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,c145f15a-5142-41ef-a6a6-f473c19c2773,1633165840114,14.1482738,52.3521299,6.188666,0.17862123,0.6752641,0.03400421,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,31260b2a-ee15-4ea9-afe1-ccebdf127751,1633165840164,14.1482738,52.3521299,6.188666,2.592999,0.26735306,-1.3637805,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,ca4657fe-638a-40e1-84c1-c4045cd5686d,1633165840213,14.1482738,52.3521299,6.188666,-2.259346,-0.42070007,0.2812786,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,76c56da2-dddf-4346-9558-7d80bc2abc83,1633165840264,14.1482738,52.3521299,6.188666,-0.13979769,0.7482679,-0.6491728,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,cfd2a571-7755-4bd6-b907-3c60d98c8f7d,1633165840314,14.1482738,52.3521299,6.188666,0.79136455,0.5662317,-1.5889983,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,e5a96fe5-d527-431a-aa05-f6f671a71a6b,1633165840365,14.1482738,52.3521299,6.188666,-0.39456558,-3.2229452,-0.4271164,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,91691ab1-71b9-409a-81fd-beab5a7f57a4,1633165840415,14.1482738,52.3521299,6.188666,1.8319116,1.1733327,-2.0066013,on bike mount,cyclo cross,False,asphalt,excellent
7c5c7670-85f0-4c34-9240-f6932a28d788,e1e4d2c0-aa35-4f3b-9292-5aecf4a94fbc,765738be-5736-4b0b-a380-66b557790761,1633165840464,14.1482738,52.3521299,6.188666,1.4771886,-1.3130579,-0.9219079,on bike mount,cyclo cross,False,asphalt,excellent
