bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,f1cded6f-0386-46b1-b77c-02b26367adfa,1636131019703,13.414289,52.4872202,4.9479656,-0.123368934,-0.34166932,0.9983387,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,8fbd1402-8f16-48e6-ae61-a8d2fc1d58f5,1636131019753,13.414289,52.4872202,4.9479656,-0.13878524,-0.49548388,-1.1446133,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,4026d936-89c6-4206-8106-e404e526aa9f,1636131019804,13.414289,52.4872202,4.9479656,-0.09874752,-0.31206846,-0.61901283,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,74fe5be1-7684-46a3-a2c8-35ebb7712163,1636131019854,13.414289,52.4872202,4.9479656,-0.18520823,-0.8171705,0.35019302,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,90a151f2-16ce-41bc-af18-170003fe250b,1636131019904,13.414289,52.4872202,4.9479656,-0.43388587,-0.9746239,0.722456,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,0e9334ff-3bae-4f63-bd52-4ff476acc79a,1636131019954,13.414289,52.4872202,4.9479656,-0.06947681,-1.9382424,1.027791,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,0594f833-a3d7-4cab-8da1-9db8f8d284a5,1636131020006,13.414289,52.4872202,4.9479656,-0.3107124,-0.5632459,-0.313447,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,8ec18684-832b-4538-9b89-6b3117927d51,1636131020070,13.414289,52.4872202,4.9479656,0.22363889,0.43492174,1.3438721,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,b2df889d-538d-49c4-9c24-1f00a8efc60c,1636131020120,13.414289,52.4872202,4.9479656,-0.22731796,-0.29298806,-0.35973644,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,511f774b-b5e9-4f0f-b33c-fe89f25db81f,1636131020171,13.414289,52.4872202,4.9479656,-0.34189597,-1.0911087,-0.08985615,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,c0c85e62-3d0f-4e38-a2f6-c948cb0f83d6,1636131020220,13.414289,52.4872202,4.9479656,0.25988895,-0.1673801,-1.6981821,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,d815b221-31d8-45e2-9498-0cba0d7dcd1d,1636131020271,13.414289,52.4872202,4.9479656,-0.31243744,1.0323861,-0.5967989,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,ecb28d56-7e59-4b36-824c-2f00d350c9d5,1636131020322,13.414289,52.4872202,4.9479656,-0.368859,1.8973863,0.8066673,on bike mount,cyclo cross,False,mixed,mixed
d9114489-29fa-4677-a225-b74f9b14aa61,008af8f8-5b9c-4251-a402-5f0d7cf15afd,483b2852-bcdc-4111-bfa2-8cc05f099da4,1636131020373,13.414289,52.4872202,4.9479656,-0.09875526,-2.0785418,1.241807,on bike mount,cyclo cross,False,mixed,mixed
