bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,34001a45-afc1-4b09-a89d-24035dfd2b9e,1644074100328,0.0,0.0,0.0,-0.38954294,15.446349,-3.2821546,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,30a9a707-3b86-49ca-8164-66bcd9cb175d,1644074100384,13.435719,52.4916249,3.9486887,2.0024734,-0.97529054,-7.5260487,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,c5de8ef1-575e-4680-8669-c1bc0b3a94e2,1644074100437,13.435719,52.4916249,3.9486887,6.390479,0.7607019,-12.708389,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,f4411073-66a6-4b33-8876-019415bbf869,1644074100493,13.4357943,52.4916046,3.8373735,-3.5341578,-8.842029,10.573923,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,5e7e6582-6a13-4891-9899-cfa7fc3a58c4,1644074100556,13.4357943,52.4916046,3.8373735,8.689572,11.7534,-10.229202,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,a886dc02-be9a-4fae-8142-2cbcac1cb3a6,1644074100615,13.4357943,52.4916046,3.8373735,-3.8424463,5.9775763,6.507723,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,8c3b88b8-4ae9-4bd7-b850-0c3af01c24e2,1644074100672,13.4357943,52.4916046,3.8373735,1.5108359,-3.9641633,-11.013358,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,e327b703-c7ef-4db5-8b01-4c6a580129bf,1644074100727,13.4357943,52.4916046,3.8373735,-8.6255,-0.28210306,19.27735,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,7d1fabff-52d4-47a9-8c5b-519725c28cb6,1644074100782,13.4357943,52.4916046,3.8373735,6.236697,12.519226,-14.562817,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,c6324fcb-09a3-4aa7-844a-ec5a93e44414,1644074100837,13.4357943,52.4916046,3.8373735,2.7422626,-1.4938862,-9.965279,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,732541be-f54a-4d84-9852-d6e6c8ff0655,1644074100894,13.4357943,52.4916046,3.8373735,-8.1303215,-7.4395175,29.087097,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,24a42cba-8142-4633-b3c1-7db5eab1b3eb,1644074100950,13.4357943,52.4916046,3.8373735,-5.28699,3.2320461,-25.502888,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,35d1e08a-35b9-40a5-9189-34fae548a66d,1644074101012,13.4357943,52.4916046,3.8373735,-4.834834,-20.066452,-11.185573,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,7916e98e-bd6a-454e-9f63-dc63128e1c50,1644074101071,13.4358287,52.4915955,3.8509712,-5.4081125,9.023043,-18.121487,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,ceba1528-61e6-47ff-a15f-df63be70984c,1644074101127,13.4358287,52.4915955,3.8509712,-1.7150451,-7.7417674,4.356492,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,b1d9c332-a167-4d8d-b2f9-126092df30d0,1644074101182,13.4358287,52.4915955,3.8509712,-1.2559171,-12.956397,12.567695,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,e7dbe052-6cad-4f9c-9bad-0555f032ddba,1644074101238,13.4358287,52.4915955,3.8509712,1.9535218,4.171941,10.674872,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,37286439-f949-4198-bcc6-755b43fc915c,1644074101293,13.4358287,52.4915955,3.8509712,-4.7471304,-8.157489,14.026817,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,6c703365-9ac1-4cc4-8917-c89ca70c2be3,1644074101348,13.4358287,52.4915955,3.8509712,-2.6264267,10.713396,-5.7294564,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,bf8d1230-9199-4b9b-84cc-ad147a0cc42b,1644074101404,13.4358287,52.4915955,3.8509712,-2.2486165,4.726316,-12.826087,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,b6f290a9-1171-4cf5-b277-335749bc94be,1644074101460,13.4358287,52.4915955,3.8509712,-4.109248,-5.2637043,10.536707,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,05254cd5-27ca-4cf3-8ba9-f4bac371570d,1644074101515,13.4358287,52.4915955,3.8509712,0.98592854,2.4403439,-4.3451796,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,4cafb8ff-f367-410b-9ad8-9f312062d20c,1644074101572,13.4358287,52.4915955,3.8509712,0.27938813,2.9562678,4.5544987,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,949ba5ae-efc8-47f7-bc3b-0edbe8be5ace,1644074101626,13.4358287,52.4915955,3.8509712,-6.1652718,1.1964164,-0.63160324,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,942019c5-0a6d-4f90-b096-ef31dbcd5d6b,1644074101682,13.4358287,52.4915955,3.8509712,2.3397498,6.4018164,13.353013,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,419a7c3f-ac8e-439b-9de4-829548232891,1644074101737,13.4358287,52.4915955,3.8509712,-5.1621103,-10.377711,4.3515024,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,2988463d-c8a5-4dfc-8100-25750613c3a4,1644074101794,13.4358287,52.4915955,3.8509712,1.3455902,9.997681,-5.4161577,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,becd57cd-4f04-45b7-9597-b6eb4747c345,1644074101848,13.4358287,52.4915955,3.8509712,1.5902038,-10.533501,5.0168524,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,a6e8f62e-fdd5-4d6a-b118-ef8ed700a98b,1644074101905,13.4358287,52.4915955,3.8509712,-1.7796012,11.951617,-8.219116,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,be299c70-cc76-425a-8433-20bef03b269f,1644074101960,13.4358287,52.4915955,3.8509712,-9.995607,-4.976692,16.00943,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,85eeea84-1091-494f-9e5c-b20979cd5d46,1644074102015,13.4358287,52.4915955,3.8509712,2.8586698,-12.901386,21.48349,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,91848d7b-b84b-40c4-9c08-079b9845e0f5,1644074102071,13.4358287,52.4915955,3.8509712,0.8860731,6.3940806,-4.182566,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,ebedc64b-d271-4dd7-bafe-be2c6bac2957,1644074102126,13.4358287,52.4915955,3.8509712,-2.2253683,6.5784225,-10.817986,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,005a6f93-7527-44a3-a389-1059d13c9bb7,1644074102181,13.4358841,52.4915797,3.6532784,-4.2680907,8.959589,-14.3713665,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,dad1a42c-9bb6-4275-b4ac-b9ec1e9a7014,1644074102238,13.4358841,52.4915797,3.6532784,2.8577805,-3.4904888,12.369465,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,1e2f1378-d9c3-4711-9793-7b9eafbcfce9,1644074102294,13.4358841,52.4915797,3.6532784,-3.4247842,9.211482,0.2991562,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,c693168c-a19f-4892-8d44-63aa1958beb1,1644074102349,13.4358841,52.4915797,3.6532784,1.622042,-0.24586439,-5.5014834,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,ce0670e1-e635-430c-99e6-29738739acc9,1644074102404,13.4358841,52.4915797,3.6532784,5.809183,-2.5843518,-18.76337,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,172b31bd-93c0-48b4-81ad-f2b31224c115,1644074102460,13.4358841,52.4915797,3.6532784,-1.732755,1.4095416,-15.236871,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,a191e381-f435-46b5-a63f-709b38167558,1644074102517,13.4358841,52.4915797,3.6532784,2.5277176,-5.151115,-19.3098,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,f7abec5d-3366-4baf-86b1-e55a486421ff,1644074102570,13.4358841,52.4915797,3.6532784,-2.5398288,-8.192812,-14.879826,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,3ac0a406-16b2-4740-b51c-a21f95f4279f,1644074102627,13.4358841,52.4915797,3.6532784,0.5938542,9.013457,-2.7676,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,dd3f0306-b66c-4966-967d-e0a1ab45d351,1644074102683,13.4358841,52.4915797,3.6532784,-1.4778868,6.6676145,5.272687,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,0c24615f-ba2f-4c7b-8bc3-98b78a307987,1644074102738,13.4358841,52.4915797,3.6532784,0.37080863,7.422767,-3.061102,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,7dd3321d-00c9-47e9-a58e-2a716014169e,1644074102793,13.4358841,52.4915797,3.6532784,0.47230884,-2.0261097,-6.4390535,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,8923cd50-27e8-4fd3-9495-d1301f48ab71,1644074102848,13.4358841,52.4915797,3.6532784,-0.7465254,15.572919,9.583666,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,68831e85-fe31-421e-b36c-23a7dbf222c0,1644074102904,13.4359184,52.4915674,3.6479568,2.702805,-14.549068,11.633987,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,74360502-cc84-478d-a100-eb706343bcee,1644074102959,13.4359184,52.4915674,3.6479568,4.6763153,2.9410338,-2.4894586,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,0ac5aa90-b106-4746-bda3-4b7cbc5a8738,1644074103016,13.4359184,52.4915674,3.6479568,3.3027215,-4.868871,-5.936107,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,32b3cd37-2e35-4ffc-b528-bc8d0b149602,1644074103071,13.4359184,52.4915674,3.6479568,-4.064985,1.1186862,-6.1601696,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,878b9b7b-afc3-4fa6-a765-9ebdff1db2c9,1644074103127,13.4359184,52.4915674,3.6479568,2.6980407,-1.8681195,8.444874,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,71476bd5-016b-473a-afda-ba173707a944,1644074103183,13.4359184,52.4915674,3.6479568,6.3571825,-11.609489,10.082968,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,20856f08-278d-4ace-a03e-ebde77531a32,1644074103238,13.4359184,52.4915674,3.6479568,-1.0954745,3.7342596,7.2848997,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,81c02d4b-766d-4f58-8872-bc6a83aa9bdd,1644074103293,13.4359184,52.4915674,3.6479568,-0.5714153,-11.975805,22.754711,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,877235d4-d066-45b7-b732-034ba32e1dd2,1644074103348,13.4359184,52.4915674,3.6479568,-0.7669475,-2.713337,-16.442648,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,ed5b06f9-68af-4467-8c4a-213b0a49732a,1644074103405,13.4359184,52.4915674,3.6479568,-4.0807533,-22.180964,23.191786,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,5941c4b4-9fee-4aa4-bb9e-7945a03ef130,1644074103460,13.4359184,52.4915674,3.6479568,-0.13163182,-3.7395258,15.132168,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,49f0b743-b673-4128-ae40-591ab7fe978e,1644074103516,13.4359445,52.4915592,3.6938446,0.67335117,7.603635,-5.4291286,on bike mount,cyclo cross,True,sett,intermediate
66691eed-5d7c-461a-aa3e-e36681782016,aadd65a8-1035-41d7-86a2-0583749598c6,3096a033-aa38-44a1-8388-ad683bd03047,1644074103571,13.4359445,52.4915592,3.6938446,-4.5308146,-9.122432,11.4878235,on bike mount,cyclo cross,True,sett,intermediate
