bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,54c91b98-e080-4689-ad73-a1fa94d8f1e0,1633711335251,0.0,0.0,0.0,0.011019202,5.1474047,7.319145,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,5e85e567-33ef-4200-a850-e157259e3679,1633711335308,13.3906975,52.4728233,3.457061,-0.8076467,-2.0674992,2.742384,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,f23252d4-fc3e-4edb-8a3d-87138631161e,1633711335359,13.3906975,52.4728233,3.457061,-0.85360897,-0.22423315,1.4523926,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,c35ed30f-2fa8-4bf4-b447-3d0baa0c8be4,1633711335410,13.3906975,52.4728233,3.457061,0.07312775,-3.2043002,-0.31297588,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,246d0cfb-84b7-4c40-a442-c2afd6fb1ad2,1633711335461,13.3906975,52.4728233,3.457061,-0.6678785,-1.7496557,3.211913,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,292728b8-7989-4d08-955c-82a2799b6d4a,1633711335510,13.3906975,52.4728233,3.457061,-0.7001258,3.1407661,-4.5361595,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,e9cb771f-ac3f-4adb-9a22-8276cfc7dae1,1633711335560,13.3906975,52.4728233,3.457061,0.18427831,0.9342587,-0.48335552,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,dcf9649f-3f97-4df8-858a-4a10cc594ec9,1633711335610,13.3906975,52.4728233,3.457061,-1.0262167,-1.3448739,2.0526714,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,c5ed0bec-d59d-405b-829a-b271c9dc46bb,1633711335676,13.3907572,52.47282,3.7878578,3.4449496,-0.5850196,3.9667492,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,c7d13c3b-fd14-442d-a350-0f4e0805d846,1633711335727,13.3907572,52.47282,3.7878578,1.87476,0.9185333,-4.182787,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,518f5438-180a-409a-b941-4b836dbd8a1c,1633711335778,13.3907572,52.47282,3.7878578,-0.44634712,2.9468179,-6.283133,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,7a947d51-0ac9-49d1-927d-e37c395275d4,1633711335843,13.3907572,52.47282,3.7878578,1.7327714,0.2145567,-1.0639267,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,94ff67c7-e57c-4314-86c5-25d607665962,1633711335893,13.3907572,52.47282,3.7878578,-1.4667804,4.8668942,-2.9194627,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,496173bd-96c5-471c-bf02-cbabdd81be18,1633711335944,13.3907572,52.47282,3.7878578,-1.8130457,-0.086663246,3.5428686,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,1180a72b-06ce-4a60-87fc-2732e81485cf,1633711335994,13.3907572,52.47282,3.7878578,-0.9502776,1.6013465,2.213996,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,e10ac2bc-2bfd-4f50-b253-4b958b7a0ef8,1633711336061,13.3907572,52.47282,3.7878578,1.0335956,-1.7335293,-0.9642477,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,705dfe33-88c3-4463-95f0-933675a7cf45,1633711336111,13.3907572,52.47282,3.7878578,1.8919241,3.6398392,-0.6814966,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,42622b5c-be1d-4e48-b539-b517afc9adc4,1633711336161,13.3907572,52.47282,3.7878578,-0.76236284,-1.7958891,1.1517258,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,073f3785-ba65-4302-b60f-61a3bda2e447,1633711336210,13.3907572,52.47282,3.7878578,-1.3716787,0.57036495,2.1923876,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,d075812e-8931-4d45-b909-919f9e43328e,1633711336261,13.3907572,52.47282,3.7878578,-3.3793292,3.4893947,-5.6457787,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,d1b42158-5c84-47a6-9189-df278966e0f8,1633711336312,13.3907572,52.47282,3.7878578,1.7101598,-2.0868242,5.051244,on bike mount,cyclo cross,True,paving stones,good
1bf461f4-6309-4fb7-80f5-4bb0d4ebf1d2,88c85a98-1ed1-4b92-90cc-f9e9b5ee2242,b36e3dd7-f690-4c4c-aca4-09e40eca953b,1633711336362,13.3907572,52.47282,3.7878578,-0.07528931,-0.023100376,-1.4710951,on bike mount,cyclo cross,True,paving stones,good
