bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,72c667ea-8186-4b93-b55e-49e924cd81d6,1633712072631,0.0,0.0,0.0,-2.5763028,-2.1423807,18.110434,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,f66310de-c5dc-4c21-bf0d-89a8ffe07c00,1633712072686,13.4162164,52.4910853,2.6760237,7.14073,-0.6362817,7.749632,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,9f437c21-ac06-4edd-8af1-ffc423e8e344,1633712072751,13.4162164,52.4910853,2.6760237,14.650804,4.956805,26.2181,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,e6be408c-52fb-4024-8504-ca864823f526,1633712072818,13.4162164,52.4910853,2.6760237,-2.1304348,3.4258232,-7.0945725,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,120f1f38-ce99-40f2-bbe6-e560c4488bf0,1633712072883,13.4162164,52.4910853,2.6760237,-15.681859,-21.974403,-5.0139866,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,9003fd1e-5ddd-473c-b90f-21173b9bdd19,1633712072933,13.4162164,52.4910853,2.6760237,-6.2621574,-1.9132025,-8.527892,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,83976e14-fd1d-4938-8243-9483d987a5d1,1633712072984,13.4162164,52.4910853,2.6760237,5.8123736,9.238236,14.981199,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,242db40c-ad7d-4e09-a7a6-8b995a3f119c,1633712073050,13.4162164,52.4910853,2.6760237,-10.50711,-33.376854,5.649929,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,9bbe6f97-e534-4953-83b8-965978c6a401,1633712073100,13.4162164,52.4910853,2.6760237,2.2167888,1.7855842,-17.898308,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,5992b784-4b8a-4cde-9097-e0a725356c76,1633712073151,13.4162164,52.4910853,2.6760237,-7.5442314,6.7840424,0.7853279,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,6cd51abe-8669-40e7-85df-14d0fa175d4f,1633712073201,13.4162164,52.4910853,2.6760237,-2.4376864,10.3988905,11.259916,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,0a32faa8-f1c4-4762-90c0-9e20c5c9cdc7,1633712073251,13.4162164,52.4910853,2.6760237,-6.711684,-11.134712,40.82115,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,ee4a76e7-d258-4d4f-8ed1-4071a497c56e,1633712073301,13.4162164,52.4910853,2.6760237,-16.676388,-22.332245,17.01241,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,97a6b7a0-9d82-466d-968a-002a11f6e659,1633712073352,13.4162164,52.4910853,2.6760237,-0.84396875,27.182518,19.90083,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,8bb74677-bb11-40a6-a90d-9605bf3dca61,1633712073401,13.4162427,52.4910808,2.130089,3.2810836,21.699907,1.6023359,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,74c0928f-672c-43b4-9160-3b752cbe14c8,1633712073452,13.4162427,52.4910808,2.130089,-0.8179767,18.537441,-14.343714,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,b036fd90-9ceb-4e08-b0ca-28f04126f5ba,1633712073501,13.4162427,52.4910808,2.130089,9.215646,5.0843906,-12.816251,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,218c8bc3-b8bb-4df3-b97c-99457e8670aa,1633712073552,13.4162427,52.4910808,2.130089,4.4033384,-3.7471583,1.8482876,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,43b39556-5428-4d77-94c5-a73895387e39,1633712073601,13.4162427,52.4910808,2.130089,1.8463936,0.25998187,-10.719332,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,102095ae-738b-4e02-9eee-779f2aa1867e,1633712073653,13.4162427,52.4910808,2.130089,4.3329134,7.74987,2.121973,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,cab1fa34-4997-4c0d-ae17-c7b8eeda2880,1633712073718,13.4162427,52.4910808,2.130089,1.999289,0.28005576,2.3957186,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,651ba3e1-fd41-4bea-8c9d-e210009c8bd2,1633712073769,13.4162427,52.4910808,2.130089,1.7188468,-1.644597,9.448664,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,aa554ab2-a3f2-43d0-b002-653230043bbb,1633712073820,13.4162427,52.4910808,2.130089,-0.47001016,-5.258336,12.554016,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,fb358573-f8a0-437c-946e-c6e80396e09c,1633712073870,13.4162427,52.4910808,2.130089,0.25554252,-10.459432,23.504078,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,a7118ed7-a2cb-4d8d-a24d-f195fe51f4ae,1633712073920,13.4162427,52.4910808,2.130089,-3.6170952,6.363653,-0.107438564,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,89a97d36-b522-461c-a8df-518bcb9e0de0,1633712073971,13.4162427,52.4910808,2.130089,0.048550427,14.268652,-0.060634613,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,1a3236be-c9bf-40ed-a9ef-3beaba4406cf,1633712074038,13.4162427,52.4910808,2.130089,-8.5676775,17.939074,-7.435482,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,64853af0-63c4-421f-9ba7-8ec49905436d,1633712074088,13.4162427,52.4910808,2.130089,6.52392,-18.95307,6.215559,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,9f49280a-3054-40e6-b43a-289644ad78c8,1633712074138,13.4162427,52.4910808,2.130089,11.374084,-3.8014348,9.53475,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,402deb00-fb1d-4d46-8ae8-ee771b3d8f5c,1633712074188,13.4162427,52.4910808,2.130089,6.5432124,-17.884836,7.87753,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,be807a66-72d8-459a-b97f-ef6c736f28b4,1633712074239,13.4162427,52.4910808,2.130089,4.7259984,19.67717,-10.978067,on bike mount,cyclo cross,True,sett,intermediate
1c7293f3-3e39-4805-9091-2896dc5e323b,445b53b2-e854-439a-90d9-774e107a464d,33cccaa1-b289-43a6-8d98-018006e86ddc,1633712074305,13.4162427,52.4910808,2.130089,-2.0970378,13.397204,-7.6987443,on bike mount,cyclo cross,True,sett,intermediate
