bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,c2c4884c-bad5-4637-ac72-c90e8aa7c511,1633162129402,0.0,0.0,0.0,0.0,0.0,0.0,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,028288c8-eae6-439b-b0a4-474750c3cc46,1633162129459,13.8889387,52.403416,0.18233329,0.3605163,-1.9229351,1.3310823,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,eba8d1ec-e9b6-41b0-8b34-08fad498d812,1633162129510,13.8889387,52.403416,0.18233329,0.9466246,-2.5657935,-0.4089327,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,f14826c4-b732-48d6-8f6a-b70440358f7f,1633162129560,13.8889741,52.4034117,0.17614174,0.06525537,-1.996079,1.2322264,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,b5a2d774-6e87-480c-ac75-c834bb844489,1633162129610,13.8889741,52.4034117,0.17614174,-0.7375741,-0.71700525,1.9700518,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,ad4d0d85-4766-48bb-a6a6-295ae20ccbfd,1633162129660,13.8889741,52.4034117,0.17614174,0.46986642,1.148798,1.4000502,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,ab0d7629-ed30-4bc2-b15b-9c49e288aeaa,1633162129710,13.8889741,52.4034117,0.17614174,-2.4681447,-1.7530403,-0.011333466,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,a47a2148-b7c6-4170-b48d-644239e04d8e,1633162129760,13.8889741,52.4034117,0.17614174,-1.8984559,-0.79187393,1.6831264,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,bd803983-fefd-4433-9f4d-0ebc05fd92e1,1633162129811,13.8889741,52.4034117,0.17614174,0.5288819,-2.117393,0.96016884,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,11b057b2-abda-4d56-9d70-c5cd8c666db4,1633162129861,13.8889741,52.4034117,0.17614174,-0.17942777,-3.0385313,3.5737133,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,694b34a9-77bc-4284-afb9-c118356eb642,1633162129911,13.8889741,52.4034117,0.17614174,1.0269489,-0.7720444,1.3374281,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,6313faf0-d628-48e0-8374-9aef88276768,1633162129961,13.8889741,52.4034117,0.17614174,-0.2526202,-0.51507545,-0.49586868,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,2e096887-d813-44aa-b972-2e82c9f2353e,1633162130012,13.8889741,52.4034117,0.17614174,-1.055337,-1.6401625,-0.9061966,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,0ef07411-17c9-4136-bb0c-3848a6a48b4a,1633162130062,13.8889741,52.4034117,0.17614174,-0.50760376,-1.1714408,-0.8345475,on bike mount,cyclo cross,True,asphalt,excellent
5a1ed829-341d-4128-a6a8-d4dde8f503b2,7dd09285-6697-412a-8966-23425e2f3080,97cc2654-9d8d-4bde-b788-9e7c31ed5cba,1633162130112,13.8889741,52.4034117,0.17614174,-1.0329162,-1.0771399,0.5869131,on bike mount,cyclo cross,True,asphalt,excellent
