bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,fed05e49-cc7d-47ac-90ae-4b6d8efce0c7,1632205041574,13.3896151,52.4736696,6.8642864,0.12440142,-0.28539157,-1.3278193,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,941db4b6-7d01-42ff-9cd1-629f41dd8eac,1632205041624,13.3896151,52.4736696,6.8642864,-1.3813076,0.6057801,4.5888805,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,0b43453f-8e41-4563-be51-08ea50742f3f,1632205041674,13.3896151,52.4736696,6.8642864,0.525289,-0.7706542,1.3148108,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,8c57a476-9517-4b54-ad09-60f5eee75e53,1632205041724,13.3896151,52.4736696,6.8642864,0.30950323,-0.8499217,-1.9401903,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,dfacedd6-ee28-4f91-97ac-f15d23b8d491,1632205041775,13.3896151,52.4736696,6.8642864,-1.2722272,0.74531794,-1.0674777,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,bdde7ea6-d257-47a1-9f98-73f5fa6dbca6,1632205041824,13.3895869,52.4736123,6.8542147,-1.2280748,2.3669906,0.8366375,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,22eb87f7-2231-456c-b7d3-79206b177379,1632205041875,13.3895869,52.4736123,6.8542147,-0.92232436,0.7689204,4.6242247,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,96f6eef4-e7b3-43b2-894c-638228dc9a8a,1632205041925,13.3895869,52.4736123,6.8542147,-1.0644306,0.16198921,-1.2444949,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,95166f23-9168-4e70-98d5-37756c6327aa,1632205041976,13.3895869,52.4736123,6.8542147,0.7631391,0.5368767,3.5844412,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,9fcc9ea5-c669-4be6-bbaf-2d820a53374e,1632205042026,13.3895869,52.4736123,6.8542147,-0.5588864,-1.0653795,1.2213793,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,f7529097-31b4-4838-8d4f-b64e77795e63,1632205042075,13.3895869,52.4736123,6.8542147,-0.861592,-3.1565835,0.5552225,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,52967593-5495-4ecc-9f7f-c559f1133820,1632205042125,13.3895869,52.4736123,6.8542147,0.09000985,1.5674484,-2.498591,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,19b880ad-b4b6-4f82-b5f3-5f4ebc5f5f8b,1632205042175,13.3895869,52.4736123,6.8542147,-1.0972948,0.21798253,0.31863213,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,3467b83c-dcab-406a-81a7-7a9446d06644,1632205042241,13.3895869,52.4736123,6.8542147,-1.3863027,-3.535603,3.2392502,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,b59eb94e-3fee-43b2-8c8e-beb66ef1cd1c,1632205042292,13.3895869,52.4736123,6.8542147,0.36640775,2.2698174,-1.4133034,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,7221c7b7-72db-40ea-b4e0-825bdc739270,1632205042343,13.3895869,52.4736123,6.8542147,2.061623,1.2952023,0.5410776,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,3bf9c9a3-e59b-482a-8035-f02cca1e6896,1632205042393,13.3895869,52.4736123,6.8542147,1.2524189,-1.9946995,1.428256,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,2622dd91-d30d-4b50-9066-3849fad12623,1632205042467,13.3895869,52.4736123,6.8542147,-1.842665,6.54764,1.9910097,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,30650a1f-5885-4acc-b47d-09b4918aa5ba,1632205042518,13.3895869,52.4736123,6.8542147,-0.6266396,-0.87406206,3.1595564,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,991ee4b0-52ee-4781-996c-4d1ffa574119,1632205042568,13.3895869,52.4736123,6.8542147,-0.13536562,-2.8958936,2.3297758,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,8c10c703-72b5-46ed-90dc-ea6bda36057d,1632205042634,13.3895869,52.4736123,6.8542147,0.5773005,-3.5026417,3.441393,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,070a1e46-d7fc-4b12-a20b-f23f84844ca2,1632205042684,13.3895869,52.4736123,6.8542147,1.2374951,-2.0888548,3.9041977,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,ded0b252-207f-4d3e-a75d-4d353b5e5cd5,1632205042735,13.3895869,52.4736123,6.8542147,-0.85367215,3.1966677,5.305484,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,2d9d7d0a-ea36-4ef4-80ea-f3933b075440,1632205042803,13.3895869,52.4736123,6.8542147,-2.1942997,-11.053436,6.370863,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,73eb0db7-9488-4a1f-8cbf-82f284c2939e,1632205042853,13.3895468,52.4735572,6.8429556,0.21423268,8.157599,0.7252407,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,8ebdfa80-3736-418c-9835-c4cc71162837,1632205042904,13.3895468,52.4735572,6.8429556,-1.0086247,4.9553323,0.64837646,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,5c6dedc5-941c-412a-9912-aaec1ed47ff2,1632205042984,13.3895468,52.4735572,6.8429556,1.4580799,-0.43285942,-0.05607128,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,ac9021f4-0c05-4d8d-9dd0-6b16d9bfcef5,1632205043033,13.3895468,52.4735572,6.8429556,-0.13626188,2.2202868,-1.531343,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,65b03131-2ca3-43fa-bacb-d1750e09bef0,1632205043084,13.3895468,52.4735572,6.8429556,-1.0037079,-0.57215476,3.1561012,on bike mount,cyclo cross,True,concrete plates,good
cc44daa8-360c-4b54-954c-3a4442362c0c,9a64b8b7-5708-452d-898d-338c7ae94874,d9672760-fa53-47bf-a3db-792e67736540,1632205043134,13.3895468,52.4735572,6.8429556,1.6003454,-5.6202145,-0.69769,on bike mount,cyclo cross,True,concrete plates,good
