bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,818c1167-fe13-469e-b227-2ffaea6dee33,1633936892787,13.4929125,52.4851281,5.814493,-0.15744612,1.112128,-4.2406816,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,0e448073-7988-431e-903c-975660c6c866,1633936892852,13.4929125,52.4851281,5.814493,0.44139916,-2.3003535,-4.3842974,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,11cf01fc-e6c4-46ee-af0b-c898610442fb,1633936892902,13.4929125,52.4851281,5.814493,-0.7794372,2.5619943,2.8099165,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,2a382445-4e61-46e0-8476-b2fff3c0774d,1633936892954,13.4929125,52.4851281,5.814493,-0.8262106,-1.1896739,3.2433634,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,43f048aa-1911-40c0-b3a9-2f2bd61bd4aa,1633936893020,13.4929125,52.4851281,5.814493,-1.5570806,1.0811386,0.96322346,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,ed880465-447c-4306-9095-8faf254ac142,1633936893078,13.4929125,52.4851281,5.814493,3.9475422,3.0013933,4.950035,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,8e88e4c8-f078-494c-9566-84044711c266,1633936893136,13.4928749,52.4851779,5.7356243,-2.3359609,-2.2963517,-0.037623405,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,27dcf400-7fe4-4389-9657-5fcf0fff3c55,1633936893188,13.4928749,52.4851779,5.7356243,1.2830418,1.7142973,3.4807281,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,411a5434-b4dc-46f3-babe-dbe375b6911e,1633936893239,13.4928749,52.4851779,5.7356243,1.7967811,-3.078972,5.0364103,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,b3d0ade2-88fd-48c4-96a6-f8911ea03a99,1633936893288,13.4928749,52.4851779,5.7356243,-0.37535107,1.0432394,1.2041273,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,86ed7ac9-b8c6-4725-82ad-ba82e52fde52,1633936893338,13.4928749,52.4851779,5.7356243,-0.7438307,1.016114,1.66607,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,2b0ee75e-87e5-4700-ae19-cf7e70702852,1633936893388,13.4928749,52.4851779,5.7356243,-0.02365607,-2.7640169,0.51629066,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,349fb8ff-35e4-4865-98f0-1a536f8e547a,1633936893439,13.4928749,52.4851779,5.7356243,-0.31067348,-5.505645,1.6442451,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,abb24683-7689-40d4-80f8-22452ece0483,1633936893489,13.4928749,52.4851779,5.7356243,0.9284921,-1.2905755,-1.6503363,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,8d46ed0b-97d0-4581-9d38-adead3fe6daa,1633936893539,13.4928749,52.4851779,5.7356243,0.36987284,-0.9355874,8.290077,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,899ccbeb-d8e3-4645-99cd-e26b9122e567,1633936893604,13.4928749,52.4851779,5.7356243,0.8378548,1.3281827,-0.56828785,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,1e0fd42d-eade-4a6b-9102-739651b8c573,1633936893654,13.4928749,52.4851779,5.7356243,-0.26719967,-5.246208,-3.7028756,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,e0341d04-3404-4029-a947-453af2938373,1633936893706,13.4928749,52.4851779,5.7356243,0.108111985,7.311577,4.256399,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,e29cf617-27ea-429c-86c8-9bf3563c5637,1633936893756,13.4928749,52.4851779,5.7356243,1.0871634,-1.5831157,0.90934277,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,e2c26ebc-c3a5-4c4c-b45b-2fcca83fadf8,1633936893806,13.4928749,52.4851779,5.7356243,-2.207416,2.7618256,-5.916296,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,f17c5316-a080-48db-97d6-9e8332d3cbc0,1633936893873,13.4928749,52.4851779,5.7356243,1.4732852,-0.2453847,-6.0315685,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,43269a36-9b42-47e7-bddb-eeca83569541,1633936893923,13.4928749,52.4851779,5.7356243,-2.8642411,5.1964355,-3.5212345,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,a011de51-1085-49c6-8c11-91b4b2f3bd25,1633936893989,13.4928749,52.4851779,5.7356243,-0.4945982,1.367239,-3.0267296,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,5c93ce02-06fa-4095-be30-b9dc6acc9431,1633936894040,13.4928749,52.4851779,5.7356243,0.8816662,-3.6721888,3.1737223,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,3d47ade4-95b8-4bfe-bd16-e123de821600,1633936894091,13.4928445,52.4852306,5.73418,1.4108341,-6.8394938,2.5586653,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,0d3958cc-8c23-4067-a729-28ad850bcdb3,1633936894156,13.4928445,52.4852306,5.73418,-1.8910022,-8.96727,5.8289843,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,a111e511-b92a-4b44-b93d-e583dc6f42b1,1633936894207,13.4928445,52.4852306,5.73418,-0.34112263,1.6773508,-0.7297392,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,f3368b08-edba-41c0-b743-3d7472ba9bfa,1633936894258,13.4928445,52.4852306,5.73418,-1.0862861,1.1441431,4.5600443,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,afd0b31e-6a9e-46bf-a6cc-80f744cc1b41,1633936894323,13.4928445,52.4852306,5.73418,-0.23739274,1.1479414,-0.7670026,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,61cf01d2-0311-4eaa-9ff0-323881964513,1633936894373,13.4928445,52.4852306,5.73418,0.87080884,-2.980295,1.1490612,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,fc67ca2e-4cf2-4949-81dc-02270cd8ab70,1633936894424,13.4928445,52.4852306,5.73418,0.098967195,-3.0685544,0.74298954,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,816f2fc2-0be5-4f22-a31b-f3267bdccc18,1633936894474,13.4928445,52.4852306,5.73418,-0.9949024,0.57993126,-0.5775099,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,ad86967a-d156-4f45-90be-13c69fd2aa22,1633936894524,13.4928445,52.4852306,5.73418,-0.0036028624,1.6972094,0.8947401,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,1b1018e0-23c3-4086-9361-405e8b6a100f,1633936894574,13.4928445,52.4852306,5.73418,-1.4016774,6.1025705,2.089838,on bike mount,cyclo cross,True,fine gravel,good
39a181ce-cfdd-45dc-843b-ff515a46224b,013a8345-bed5-4bd6-b726-c8d6c8edb4bc,748b72b9-862d-4e56-a28a-0a45da286648,1633936894625,13.4928445,52.4852306,5.73418,-3.271063,6.3131137,2.4564962,on bike mount,cyclo cross,True,fine gravel,good
