bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,934db39b-8b58-46dd-86b0-e92b4da53966,1644076557207,0.0,0.0,0.0,2.5459878,-0.7841637,-4.6235247,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,5060cb2c-6b0a-4b8a-97cb-e44f3cb2daf5,1644076557258,13.4357244,52.4916695,2.8737485,-2.9796443,4.8334265,-1.458313,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,0325ce7d-0e85-4de6-b350-8e6dcf472172,1644076557314,13.4357244,52.4916695,2.8737485,-3.4383144,-3.447491,2.1249342,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,89aecb6e-7660-4752-8601-7625451461ea,1644076557367,13.4357244,52.4916695,2.8737485,-1.8474007,-3.6406114,-2.4689078,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,30210b91-d3e6-4653-baa9-567c300c2fd7,1644076557422,13.4357244,52.4916695,2.8737485,-0.71671885,-2.8832173,0.48513126,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,cb046cd1-1088-425e-b578-e4eb17d3bd83,1644076557480,13.4357244,52.4916695,2.8737485,-3.8019938,3.0035968,1.937911,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,e0a8288a-7215-416f-8a1d-8a60019d5cf7,1644076557535,13.4357244,52.4916695,2.8737485,1.3314724,-5.5988283,-1.9693775,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,be2f2ea7-62a6-4c0d-b0f5-f5cc1f3d08ed,1644076557590,13.4357511,52.4916576,2.8531392,1.0017045,-3.8680084,1.7837706,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,1ffc08c1-80af-4c60-8e54-bf10d546fbb3,1644076557646,13.4357511,52.4916576,2.8531392,-5.4432535,-5.9423676,10.626617,on bike mount,cyclo cross,True,sett,intermediate
48527a41-ea23-453d-b582-55d4aa974fcc,0ef55950-d926-4284-86ee-8054fead70cc,e089235e-58ad-495f-8f65-e6d85022776d,1644076557700,13.4357511,52.4916576,2.8531392,2.405281,-0.9944587,-9.561443,on bike mount,cyclo cross,True,sett,intermediate
