bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,331ad08f-9dd1-4b53-961e-0ee31e3802c7,1633166406937,0.0,0.0,0.0,0.3553657,0.7228396,1.206244,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,aeffa6a1-1750-4a6a-b41d-48b963d07007,1633166406996,14.1897605,52.3397949,3.8255436,0.4159524,-0.8704319,0.9965086,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,6c523087-5576-494d-8d9b-70d3a96bdab0,1633166407046,14.1897605,52.3397949,3.8255436,-0.110169694,-0.6016424,-0.25822258,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,039eb452-9568-48da-ad92-ef2c5d8d7329,1633166407097,14.1897605,52.3397949,3.8255436,0.839599,-0.10738993,0.3095789,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,5ac6dee0-461b-4200-9a19-56ca1e23e2c9,1633166407147,14.1897605,52.3397949,3.8255436,0.16108981,-0.4969418,-0.23368835,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,93e0297f-1829-4110-84c0-b443ecbf0886,1633166407196,14.1897605,52.3397949,3.8255436,-0.4097764,-0.87002826,0.24248028,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,cfc606ae-91cf-44a6-ae38-60df8df1d367,1633166407247,14.1897605,52.3397949,3.8255436,0.16330187,-1.0406759,-0.10000992,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,7781ff51-8ad0-4f4c-b061-99e32b2e9284,1633166407297,14.1896656,52.3396911,3.7969022,-0.28542334,-0.63505054,-0.17510223,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,7cbea9f5-6d42-4fe8-bd75-a9010b1f991f,1633166407347,14.1896656,52.3396911,3.7969022,-0.5353253,-0.48047423,-0.3077736,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,a296fac9-8ce2-44cf-8b1d-fe940560819a,1633166407397,14.1896656,52.3396911,3.7969022,0.4213827,-0.22148705,0.53474045,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,0e8161cb-3cdb-4f17-bbb6-2a959442e874,1633166407446,14.1896656,52.3396911,3.7969022,-0.95860684,-0.52340174,0.8523073,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,e4df0201-fb87-41f6-a7a6-18a19c4b0b98,1633166407497,14.1896656,52.3396911,3.7969022,-0.14822565,-0.26582026,-0.2688837,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,dbf2f48f-fcae-4847-a8a5-73f0e68cede5,1633166407548,14.1896656,52.3396911,3.7969022,-0.07554194,-0.012479544,1.1491251,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,709d69fe-9bb6-48b5-acb1-8f7903927d12,1633166407597,14.1896656,52.3396911,3.7969022,0.5726054,0.023537397,-0.11593437,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,5c05b20a-5a47-406f-b3a2-142bd74b4938,1633166407648,14.1896656,52.3396911,3.7969022,-0.039495647,-0.83132243,2.0862494,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,b9fb46c7-ca66-4ae2-babc-cffa2e024084,1633166407698,14.1896656,52.3396911,3.7969022,0.0023192167,0.23672295,-0.41050625,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,7caab27d-2582-440c-99f8-e10250def3a1,1633166407748,14.1896656,52.3396911,3.7969022,1.208396,1.1729822,0.3330164,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,6cd39edf-97af-4772-93b8-352c4dc8725f,1633166407798,14.1896656,52.3396911,3.7969022,-0.5333527,-0.8606539,-0.18560123,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,8f7d54d2-f023-42a7-91f0-e0f284e01311,1633166407848,14.1896656,52.3396911,3.7969022,0.060300052,-0.21895885,-0.54789066,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,58632fc4-f882-49cd-b099-9a41b5caf652,1633166407898,14.1896656,52.3396911,3.7969022,0.9002324,0.63611054,-0.49282932,on bike mount,cyclo cross,False,asphalt,excellent
eaeae29f-50c4-4e19-bf20-ebbe471ffbd9,74c676b6-4061-47cf-81de-eecebdd31708,d5956a25-a896-44f5-bc99-c90c275d3e98,1633166407948,14.1896656,52.3396911,3.7969022,0.110194296,-0.08320618,0.61443615,on bike mount,cyclo cross,False,asphalt,excellent
