bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,3fcd4e26-0448-41bb-83e6-51f9ab68ff80,1629265471948,0.0,0.0,0.0,-0.51373357,-1.8642913,2.4680147,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,e7752da3-0bbd-4077-a46e-1e734cc7fd59,1629265472015,0.0,0.0,0.0,-1.2776289,-3.817338,3.7426186,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,506e430e-e60d-47a6-92a3-d3661dbde07b,1629265472065,0.0,0.0,0.0,-0.9893031,-2.674138,3.1260214,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,c3610ec3-f59b-4921-ab79-45d733f7cc5b,1629265472115,0.0,0.0,0.0,0.17339721,-2.793149,-0.77643585,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,09a2edbf-ab80-4a7c-8ba6-e742dc0fc8f0,1629265472182,0.0,0.0,0.0,-0.20724833,-2.7813244,2.3938656,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,a14b568f-e091-439a-b85d-51f1e52f1ad1,1629265472248,0.0,0.0,0.0,-2.8660572,2.263344,5.0601654,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,d91a8680-97af-4784-b58b-b89d5e10a474,1629265472298,0.0,0.0,0.0,-0.09239292,2.0604947,-2.9715776,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,3bba72db-63ea-4168-822c-195ed6603cd2,1629265472349,0.0,0.0,0.0,-0.60485023,-4.2303934,0.72151566,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,e948e690-fa1b-41dd-9111-85e7b1197225,1629265472416,0.0,0.0,0.0,0.07737937,0.76081085,-2.0593152,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,888c1bf5-759f-45d1-b43b-d115f9d317e8,1629265472466,0.0,0.0,0.0,-2.0541797,1.3752718,-1.1908445,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,817dcb3b-b945-4ab4-afb1-5606a57ec345,1629265472516,0.0,0.0,0.0,-0.09147955,2.6175573,-6.298011,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,646f8b3c-2d6a-468f-b302-55bc92cb1dc0,1629265472583,0.0,0.0,0.0,2.2234268,-4.9245653,-0.62519836,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,0090d014-fb1d-4298-9621-71d02d1ffa8d,1629265472649,0.0,0.0,0.0,0.2969535,-4.046229,6.6206055,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,63e7927e-e34c-4959-845d-0ea06cc5322d,1629265472716,0.0,0.0,0.0,-3.1213136,3.9775734,5.0708666,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,c54bd91d-6cf2-406d-b850-82c9c3ee70b7,1629265472783,0.0,0.0,0.0,-1.6316466,-1.3849877,-5.417123,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,6ee7c788-204f-4aaa-8198-8669aae32651,1629265472850,0.0,0.0,0.0,-0.33029583,-0.5481858,0.82801247,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,798191b9-8159-42a7-9a3c-c3e7e2e65158,1629265472900,0.0,0.0,0.0,-1.9251256,0.8568239,2.4612808,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,d109eaae-342c-4fd8-af36-10bbb5a4e0d0,1629265472967,0.0,0.0,0.0,-0.058843136,0.41594315,-5.869326,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,e8865d69-1541-4eaf-8d92-dd08d3afd30e,1629265473033,0.0,0.0,0.0,-1.0869038,0.737514,3.651785,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,dba3a616-e561-451f-aa26-e5b1bfc609c0,1629265473084,0.0,0.0,0.0,1.7988496,0.25908327,1.1751556,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,719a4d30-b466-44c1-84b5-ede62b2be62a,1629265473134,0.0,0.0,0.0,0.65512896,-0.5650294,-5.643299,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,791688d9-1761-4325-ab71-3e36280d0f1a,1629265473184,0.0,0.0,0.0,0.56988716,-2.5843844,2.0304108,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,994b07bd-7f85-4f0c-b451-1509dfa106f9,1629265473251,0.0,0.0,0.0,-0.2726245,-3.0827353,-2.3211617,on bike mount,cyclo cross,False,paving stones,good
d81721a1-c774-44e8-beb3-51789bef4e1d,b0c83e1e-037d-4a33-af79-2f51c22e3801,548a06c6-8eaf-4952-8659-134e2459ea7f,1629265473301,0.0,0.0,0.0,0.59935766,1.8964462,-0.41268826,on bike mount,cyclo cross,False,paving stones,good
