bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,221547e1-b8dd-4bc9-a34f-9ec506925fdc,1633257215823,14.3638149,52.3103921,9.476019,-1.0584632,-1.7586312,-0.7730055,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,fe2ea89d-ad60-490f-964f-23ccd963d114,1633257215874,14.3638149,52.3103921,9.476019,0.20557724,0.080317736,-5.106447,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,f5f6fdd4-e899-45db-90df-f02e67d8ded8,1633257215941,14.3638149,52.3103921,9.476019,-0.868618,0.44291162,-0.34800625,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,ddd30998-6abb-48e0-bc08-f280357761b8,1633257216006,14.3638149,52.3103921,9.476019,0.79577667,-1.1548426,0.15715694,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,44a42d3a-c4e1-45e3-9f7a-05c97927e7b3,1633257216058,14.3638149,52.3103921,9.476019,-0.3991781,-0.9764333,1.471796,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,5043334b-45e8-4dd1-9f60-642ae889beee,1633257216116,14.3638149,52.3103921,9.476019,0.7818519,-1.2043482,4.086398,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,c3fc5619-d2a7-4b7e-adcb-cf268ec9171f,1633257216175,14.3636727,52.3104207,9.592874,1.2154626,-3.0660043,12.883668,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,2363a094-1d16-456a-9396-641f5d1a912c,1633257216227,14.3636727,52.3104207,9.592874,0.34731358,2.0892272,-0.028390884,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,039154eb-98f4-4cac-af2b-be6d55673abd,1633257216291,14.3636727,52.3104207,9.592874,0.11457047,1.4779153,3.2531614,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,a0cb17db-2ab3-42d7-a66d-cc59c1e62fdb,1633257216342,14.3636727,52.3104207,9.592874,-2.096833,0.75268364,-1.2680287,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,40956dea-562e-4a3d-8a84-bdc9c33bf349,1633257216392,14.3636727,52.3104207,9.592874,-1.9988824,2.1085417,0.065057755,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,3806f1e2-083b-40ea-ac1b-002837c74647,1633257216461,14.3636727,52.3104207,9.592874,1.9433451,-2.242177,-1.9439621,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,81142c72-91a4-4906-ba4e-3b1ee6421542,1633257216513,14.3636727,52.3104207,9.592874,1.82212,0.058051348,-2.5320697,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,47f9431e-9020-4e85-9748-9478f1f7805d,1633257216575,14.3636727,52.3104207,9.592874,0.48012415,1.8949122,-1.7941427,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,eac8ba46-ffd7-4aac-8a17-c09dd6199abc,1633257216625,14.3636727,52.3104207,9.592874,-0.07863736,-1.7421222,-0.7842169,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,84a1cd1d-40d9-4017-a17a-15c05065b158,1633257216675,14.3636727,52.3104207,9.592874,-1.6829112,-2.649129,-1.1578531,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,85e1b591-25e4-41d9-96f0-db81a89b665d,1633257216725,14.3636727,52.3104207,9.592874,0.12143516,0.51389074,-3.2557511,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,793f4447-d4c6-48c9-8050-9055c708610f,1633257216776,14.3636727,52.3104207,9.592874,1.3767086,-0.47837377,0.5163641,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,55055651-23b0-4b8f-adbd-a5c3ff213a9c,1633257216841,14.3636727,52.3104207,9.592874,-2.5716603,1.388031,-2.4627886,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,664a7fa2-dbe6-4968-8734-8b1216b7ce04,1633257216892,14.3636727,52.3104207,9.592874,-0.87004876,-0.2742386,-1.3300142,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,cf64a239-71e1-4fe5-ac88-a51463050b7e,1633257216942,14.3636727,52.3104207,9.592874,-1.8924578,1.2374985,-0.0006504059,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,9e440926-70d5-4193-a558-f1a3773e4740,1633257217007,14.3636727,52.3104207,9.592874,-0.27143443,-1.3128664,-0.20589924,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,5a49f513-c76d-430d-811f-62b60cedf578,1633257217057,14.3636727,52.3104207,9.592874,-0.26223868,1.0414095,-2.1579852,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,e4247b87-e3c1-4505-83c1-eabf59b96cf4,1633257217108,14.3636727,52.3104207,9.592874,1.694488,-1.3933415,4.6903534,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,e7cfc51a-1210-4af1-8502-8833777e2de5,1633257217160,14.3635375,52.3104546,9.655749,0.6297471,-1.6567287,-1.1538897,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,b0f132d7-9fb6-4542-9f1b-6be376bdaae2,1633257217224,14.3635375,52.3104546,9.655749,-0.17658588,1.4922388,-1.3926525,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,914325ad-ad94-4a39-b001-5ca79420ac5d,1633257217275,14.3635375,52.3104546,9.655749,0.20282486,-1.5481929,1.5510044,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,c597c566-8efc-4412-8793-2ae99cd87c74,1633257217325,14.3635375,52.3104546,9.655749,0.84603786,-1.046972,-0.6815653,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,97bed092-d51a-4d43-b44d-67f4c8a9c147,1633257217376,14.3635375,52.3104546,9.655749,0.12996796,-1.1580236,0.7211218,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,0d53b17e-39be-40d1-b02d-705828ee3c20,1633257217443,14.3635375,52.3104546,9.655749,-0.78353226,3.8012486,-5.637398,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,048b3588-3e9b-40b7-811e-98b3e5eccb43,1633257217493,14.3635375,52.3104546,9.655749,-0.6549599,2.1883333,1.018817,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,389396c2-9ae9-4883-8b7f-3e21aae676e6,1633257217544,14.3635375,52.3104546,9.655749,-0.54661894,-1.1764538,0.13661003,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,f3b3b831-c6c1-41a5-96b8-c34e79433172,1633257217597,14.3635375,52.3104546,9.655749,-1.7528572,-2.1388493,0.519639,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,918de99d-4b9f-4184-8794-c78cc9f5fd5d,1633257217660,14.3635375,52.3104546,9.655749,-0.33567053,-0.20018816,1.6286783,on bike mount,cyclo cross,True,asphalt,excellent
f2970292-7c15-4bce-997c-d34ea8cf21d0,15bbacc4-006b-4860-a71b-276cc0ebdfee,bf6f55ef-0648-4306-9b4f-2a6d91ef6393,1633257217728,14.3635375,52.3104546,9.655749,0.8581267,0.32238078,-0.31477928,on bike mount,cyclo cross,True,asphalt,excellent
