bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,3734f074-c83b-4311-b224-c549e654c72a,1632057979486,13.5949516,52.4492723,5.0977554,-3.489542,13.200081,-14.19733,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,030e95a7-e38a-481c-88da-9e18d786dff0,1632057979537,13.5949516,52.4492723,5.0977554,3.5064666,-8.91833,-2.0570388,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,83aadd7d-7a72-4834-a6d6-1ca28db3d9cb,1632057979603,13.5949516,52.4492723,5.0977554,0.57895344,0.022405863,-0.6714115,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,d417373a-8170-439d-84c7-df4e0c8c8c1e,1632057979669,13.5949516,52.4492723,5.0977554,-0.8454693,-3.8247738,1.4652042,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,05381e55-a41b-4888-b607-5a9fe2e87755,1632057979736,13.5949516,52.4492723,5.0977554,1.7319204,1.2720702,-2.2320437,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,8e5d64d2-15f2-4b74-90e7-a1eaaaef89f4,1632057979803,13.5949516,52.4492723,5.0977554,1.2126296,-1.3974937,2.0060482,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,837f1629-d7d6-4aef-a9cb-93e5180b4c2c,1632057979854,13.5949516,52.4492723,5.0977554,1.1713494,1.0600467,1.7314854,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,021ca98d-cfe4-4723-8b6a-d1c6feb846bb,1632057979927,13.5949516,52.4492723,5.0977554,0.73826855,-0.7773957,1.8782578,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,cb924a0c-9304-4b07-ad9c-dbe1b69987a3,1632057979988,13.5949516,52.4492723,5.0977554,0.69403785,3.0478702,1.5384617,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,b6252da1-2d8d-4503-a014-19a351cf40d1,1632057980054,13.5949516,52.4492723,5.0977554,-1.0685594,3.9796457,-5.2210684,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,f8112fcb-9ac1-4447-bed5-c61f437d3b23,1632057980104,13.5949516,52.4492723,5.0977554,0.6379315,1.2325978,2.6530657,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,8b5bc1bf-23cd-4c22-a8db-bf8597265699,1632057980154,13.5949516,52.4492723,5.0977554,0.40208006,-3.0677018,2.0062685,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,0b76eda7-f99b-48e9-8fbf-eedb386c4a42,1632057980205,13.5949516,52.4492723,5.0977554,0.076070726,-0.9660697,0.24401951,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,06457447-d615-4529-b9e7-92a15549ccef,1632057980271,13.5949516,52.4492723,5.0977554,-2.9397788,4.57889,4.245986,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,51c9a383-5083-4f42-afe6-0d81236e6c51,1632057980321,13.5949516,52.4492723,5.0977554,0.42911398,0.7052133,-9.4990225,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,27dc2f36-1516-4918-be64-8bfe22b74fd3,1632057980371,13.5949516,52.4492723,5.0977554,-2.3337898,1.5754833,-6.4323244,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,0ac8e6bd-8f51-46e1-a585-d4eaf621f8ea,1632057980421,13.5949516,52.4492723,5.0977554,1.7348312,-2.1154394,2.3256207,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,a5d8e693-27de-4b76-a573-e36529dd2250,1632057980472,13.5949516,52.4492723,5.0977554,-0.071962655,2.8660808,0.008600235,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,94f29fff-38fa-493e-af2e-c071f47656f1,1632057980539,13.5949516,52.4492723,5.0977554,0.28213522,1.4790976,-4.389429,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,af2300af-3a8e-42df-b148-ccfcef7479cc,1632057980605,13.5950757,52.4493173,4.9284196,-0.3992899,4.158453,0.56745625,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,f6fa0843-2661-4c2b-ad75-f3772e3278af,1632057980672,13.5950757,52.4493173,4.9284196,-1.8584864,-2.7835867,0.10653496,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,6411cb49-b84e-445b-9367-b15578cb0fd8,1632057980739,13.5950757,52.4493173,4.9284196,0.39218187,0.78247166,-1.9360576,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,f8035126-1ee1-44aa-a915-d665510712bc,1632057980806,13.5950757,52.4493173,4.9284196,-0.42517072,-4.454029,0.020555496,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,5d38e002-2754-4ee6-bd0d-bad34525e09f,1632057980872,13.5950757,52.4493173,4.9284196,-1.6531191,-1.4727042,0.98962307,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,a94dc811-90d1-4c2b-a3a1-057cf0ce15d9,1632057980923,13.5950757,52.4493173,4.9284196,0.50209916,4.889865,-0.44477654,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,9c296f11-8055-432c-a8e3-a47ee869f031,1632057980990,13.5950757,52.4493173,4.9284196,0.87274075,2.3651729,-1.591126,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,11f05e01-2774-4cf6-b7be-12c343f33316,1632057981056,13.5950757,52.4493173,4.9284196,2.7458346,3.6000881,-9.344447,on bike mount,cyclo cross,True,fine gravel,good
45932fbb-b1e0-4c03-a5b6-7ddc2ef6dd91,0579b1c9-f8c5-448e-95b8-81dbad0522e3,3fb10186-fcad-492c-8130-89f1ef145fa8,1632057981106,13.5950757,52.4493173,4.9284196,0.17961158,4.3225074,2.316515,on bike mount,cyclo cross,True,fine gravel,good
