bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,748dbac9-bb3e-4745-af5d-57aff92db38a,1633098854567,0.0,0.0,0.0,0.17209119,1.8711562,6.0737844,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,bb193d60-7d0f-4be0-b532-a62d7aef91a8,1633098854731,13.422952,52.497368,0.0,0.067970365,0.0013730526,0.002743721,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,ea917910-5111-49b3-938d-e765149baf21,1633098854791,13.4243159,52.4966093,0.038917616,0.026282042,-0.03036666,-0.046941757,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,b4ad3af9-45d8-4a03-b28f-96a5e5183f81,1633098854858,13.4243159,52.4966093,0.038917616,0.07671192,-0.040918827,0.016625404,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,1cf5ef08-0be6-446e-a31e-714fd2dcad22,1633098854924,13.4243159,52.4966093,0.038917616,0.0058134347,-0.02980256,-0.032154083,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,27fc19f5-a1df-4c97-a0d5-303faf6863dd,1633098854974,13.4243159,52.4966093,0.038917616,-0.036560625,-0.0017576218,0.010316849,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,3f8b6b8e-aef7-4856-b2d9-4757054a987d,1633098855025,13.4243159,52.4966093,0.038917616,-0.06388615,-0.019206524,0.0064058304,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,11cae7b5-967a-4362-9c74-b65e0f78e175,1633098855091,13.4243159,52.4966093,0.038917616,-0.046341047,-0.034393787,-0.03577137,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,a7b20f46-d15d-4019-b78a-cba5d98b8faa,1633098855141,13.4243159,52.4966093,0.038917616,0.02779314,-0.016182184,0.018231392,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,88fd51fc-6865-4988-a32d-93fd152cd68e,1633098855191,13.4243159,52.4966093,0.038917616,0.05240786,-0.034670353,0.04127407,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,4bf276a5-6147-4fe7-af18-13dcf4ee95b6,1633098855242,13.4243159,52.4966093,0.038917616,0.00025981665,-0.004998684,-0.012242317,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,18ac3393-bbb7-4036-84c2-4d083687b7c0,1633098855292,13.4243159,52.4966093,0.038917616,0.022375494,-0.049456596,-0.0072603226,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,7d29cb0b-50e0-4664-91e4-b15b8bc8f9ae,1633098855355,13.4243159,52.4966093,0.038917616,0.019501626,-0.04235649,-0.025242805,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,0e9c257a-5039-4fae-8276-63b34b67ceda,1633098855483,13.4243159,52.4966093,0.038917616,0.027234465,-0.0013859272,0.00415802,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,83f61e08-a6d2-4f0b-8e2d-6a1f32428d07,1633098855553,13.4241921,52.4966685,0.0,0.03714305,0.009322882,0.054864883,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,d080eaba-6ede-43f4-a2b2-fd313438d4a6,1633098855615,13.4241921,52.4966685,0.0,-0.043024138,0.061813116,-0.074801445,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,8a817643-7fdf-4e5c-bce8-a1d3500cd7b1,1633098855680,13.4241921,52.4966685,0.0,-0.09250802,0.08425307,-0.024567604,on bike mount,cyclo cross,True,sett,intermediate
3dac0a69-c190-48f3-bff8-b9ca65151940,048fce59-e8d9-4057-9b68-6d571c67b29b,0a789a1b-a6a2-4ca4-a7e3-482578931555,1633098855746,13.4241921,52.4966685,0.0,0.07101852,0.040870667,0.006924629,on bike mount,cyclo cross,True,sett,intermediate
