bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,87935557-3015-4281-a59e-cc789676933c,1633625271099,13.4234752,52.4959107,3.193037,-2.8443494,-8.569818,9.029163,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,4d0fa056-2354-48e3-8c67-8bc50415ffd1,1633625271149,13.4234928,52.4959196,3.0109868,3.6907437,-0.3076973,11.178415,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,c2be61c0-1383-401f-b992-543a123abdd4,1633625271200,13.4234928,52.4959196,3.0109868,3.69936,-4.3732586,13.524675,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,532eeb6d-9a81-46cd-ba6a-470325e8602b,1633625271264,13.4234928,52.4959196,3.0109868,-3.146707,8.988099,-4.3550835,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,de0d5cc8-7d9d-461e-b32c-b09586576adc,1633625271314,13.4234928,52.4959196,3.0109868,3.9359517,-18.132362,5.8008957,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,54d9985e-3787-47f9-add6-5762e6d9199b,1633625271366,13.4234928,52.4959196,3.0109868,0.72965276,-4.128264,12.164467,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,32501893-d8f5-4f2a-a787-b003012b1a88,1633625271416,13.4234928,52.4959196,3.0109868,3.7049625,-19.048931,9.208059,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,ce9397a1-4be8-469d-9540-fd644c20de07,1633625271467,13.4234928,52.4959196,3.0109868,1.5783392,-11.196515,-3.8543293,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,9df4348b-944f-4248-b872-ca29fa66ee60,1633625271534,13.4234928,52.4959196,3.0109868,-3.5058732,2.8674064,-8.853605,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,a66f0a95-1a9b-4f44-91e9-cdc648eb3475,1633625271599,13.4234928,52.4959196,3.0109868,-1.6263567,-5.040692,1.7980394,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,de8e4582-228c-4268-b890-0c7bc614f970,1633625271665,13.4234928,52.4959196,3.0109868,-1.2941587,-3.5007472,8.373186,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,99a9d271-69fd-416c-be6f-0bf7412c36ed,1633625271716,13.4234928,52.4959196,3.0109868,-0.117128715,9.3148155,-16.927914,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,84a2be32-75db-40c4-9d3b-4a7cf334101d,1633625271766,13.4234928,52.4959196,3.0109868,1.971618,4.5565805,-8.325629,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,15da2af0-cbf3-4421-a602-a5a2e4c29a2d,1633625271817,13.4234928,52.4959196,3.0109868,0.72607696,5.5072694,1.1778278,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,31369135-a94f-4bdc-a7c7-64ea7b0510e9,1633625271883,13.4234928,52.4959196,3.0109868,-1.3707067,-9.389929,0.7783308,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,056ee5d6-f21d-49fb-8b0f-567bbdf41c44,1633625271951,13.4234928,52.4959196,3.0109868,-0.8219847,-16.504911,23.163597,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,befdd15b-87ad-4bdc-8529-876b5a84e67a,1633625272001,13.4234928,52.4959196,3.0109868,-0.78957593,6.5966463,-11.603073,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,1767e705-236f-401b-8d6c-9d0052ab2819,1633625272051,13.4234928,52.4959196,3.0109868,-2.6816926,-1.7799461,-13.293315,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,e5028ca6-4df0-4fe4-b3e8-e6769e8d21a1,1633625272118,13.4234928,52.4959196,3.0109868,-3.4092445,-2.7381272,4.2517824,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,edfa299c-b899-4897-890c-0f26f69992b2,1633625272184,13.4234928,52.4959196,3.0109868,7.470366,-18.159977,20.20359,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,a843121e-baf7-4f47-a63d-300189d7285e,1633625272233,13.4234928,52.4959196,3.0109868,-2.0055535,5.169792,-6.5107203,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,04f23b36-abda-487d-91da-19a8a487d7d9,1633625272284,13.4234928,52.4959196,3.0109868,-1.3470745,-5.682227,-10.144303,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,d83df4cc-bdd4-449d-9c15-20ce22a56697,1633625272335,13.4234928,52.4959196,3.0109868,6.326979,-23.618364,-12.700563,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,b2ab029b-da42-4805-aa5a-dad8fad65ad8,1633625272400,13.4234928,52.4959196,3.0109868,7.217103,-20.362625,2.9647732,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,d80e4247-3b9f-48c3-a340-50c6cb9aa0d9,1633625272449,13.4234928,52.4959196,3.0109868,-0.6717969,-2.0990565,11.977476,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,8b51874f-48a3-4910-87b2-f02e5c16dc70,1633625272501,13.4234928,52.4959196,3.0109868,-4.5959897,15.679159,8.674875,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,026aad4b-3561-4c39-95b0-f519d5915a30,1633625272567,13.4235594,52.4959876,3.3002698,-2.8208773,-14.378814,17.487309,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,d55ecea9-83c1-4b85-9625-349511aed415,1633625272618,13.4235594,52.4959876,3.3002698,0.3415888,-1.7521052,3.933588,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,eec31096-0ae7-4228-8be4-fbaf1282d93c,1633625272668,13.4235594,52.4959876,3.3002698,3.204683,4.9187193,-19.417551,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,056f3695-5e74-4ee3-b229-3f74040937e2,1633625272718,13.4235594,52.4959876,3.3002698,2.1449623,-9.840251,-14.842464,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,55baed6e-3b63-4207-9b01-9becb1fbb8ec,1633625272768,13.4235594,52.4959876,3.3002698,4.400654,0.2651949,2.0444164,on bike mount,cyclo cross,True,sett,intermediate
a78b398a-7992-49c3-bdeb-325a57e1e32a,14da794b-83c0-4d03-b037-4d99fb5f37fb,7636c031-e8cf-4723-b5af-f6972d46c9c8,1633625272834,13.4235594,52.4959876,3.3002698,-8.744662,-13.331073,16.362003,on bike mount,cyclo cross,True,sett,intermediate
