bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,f79eb39c-ccb0-4f99-8ff7-740abc52e2c9,1643973372152,0.0,0.0,0.0,-0.23818192,-0.42498899,-0.21452236,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,b6a45374-a48a-4d38-8645-0f837e2a43ae,1643973372205,13.4026089,52.4724252,1.4044585,0.71525645,-0.16074276,-0.53053474,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,ca3afeae-984c-403f-a79d-cb2c63972157,1643973372260,13.4026089,52.4724252,1.4044585,0.53309685,0.048231363,0.26789284,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,0dab4fab-d307-4d24-9d8e-5414eb3dd68b,1643973372315,13.4026089,52.4724252,1.4044585,0.69669914,-0.042345047,-0.8824711,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,e17274b5-1226-468a-8822-8207ee331456,1643973372371,13.4026089,52.4724252,1.4044585,-0.036443666,-0.439476,1.3986406,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,0a3a1d8a-2e78-4e38-82ab-1e25bacac3d3,1643973372428,13.4026089,52.4724252,1.4044585,0.75942194,0.32819796,-1.8177328,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,93f75ee9-fc8e-4186-8f33-55a4a2fea508,1643973372485,13.4026089,52.4724252,1.4044585,0.8894944,-2.5397341,3.2882023,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,9a130b0d-7a9a-459f-b498-f1639915fe6c,1643973372540,13.4026089,52.4724252,1.4044585,1.3348625,0.77442265,3.3312664,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,0b862dd1-c4d2-47fc-bb90-4cfbd7c31164,1643973372601,13.4026089,52.4724252,1.4044585,0.18092144,-0.5300791,-0.62023926,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,54553080-f146-418c-9dba-75ff7ba742f1,1643973372661,13.4026089,52.4724252,1.4044585,-0.5916033,-1.2886853,0.71836376,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,3aff2d68-bcd8-44ed-90ab-70ebdc728c7a,1643973372715,13.4026089,52.4724252,1.4044585,0.4878609,-0.17178822,-0.02954483,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,6b54f5c3-8c26-4f07-b179-b587c086970b,1643973372771,13.4026089,52.4724252,1.4044585,-0.9241322,-0.7314522,-0.31997108,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,57aee9fd-6da3-4d28-a241-ca30103c7d9d,1643973372826,13.4025837,52.4724272,1.6807514,0.24384743,0.47836876,-1.0357432,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,40afaa8f-f5f6-4b80-a9be-d41f8c84f031,1643973372882,13.4025837,52.4724272,1.6807514,0.4842715,0.52600384,-0.3165655,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,59df3cff-2cbb-42b3-94be-bdb9dfce88b2,1643973372938,13.4025837,52.4724272,1.6807514,-1.2094433,-2.2893372,-0.5573597,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,c4f95c75-fe86-4514-866a-0af9f02a5482,1643973372996,13.4025837,52.4724272,1.6807514,0.10481799,0.089357376,-2.3175135,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,99da4e1c-0029-4e13-aed7-bd4e8dcf3219,1643973373049,13.4025837,52.4724272,1.6807514,0.54991555,1.0596807,-0.47300243,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,178bdf58-39b4-4b05-9e3b-250282ec58cc,1643973373105,13.4025837,52.4724272,1.6807514,0.053466648,-2.57792,0.08434296,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,695b984d-1403-4fea-b5b9-542476c58dab,1643973373160,13.4025837,52.4724272,1.6807514,-1.3821877,1.9517298,0.22183704,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,bb18b212-2b8a-46f2-bf2c-0ba0d747d7a5,1643973373215,13.4025837,52.4724272,1.6807514,-0.0796943,-1.4114136,1.4172497,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,e614ec47-bbd8-4fd1-b3c7-8878639f76d5,1643973373271,13.4025837,52.4724272,1.6807514,0.11696124,0.7113857,-2.3569365,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,f880169a-6e38-477c-bf5b-3e2c476dfc11,1643973373328,13.4025837,52.4724272,1.6807514,-0.13810122,1.5765254,0.44885445,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,aec51cf9-483a-44ad-8cb2-fdac3b406655,1643973373383,13.4025837,52.4724272,1.6807514,0.21682143,0.91083145,1.864914,on bike mount,cyclo cross,True,paving stones,good
b1f33563-e825-41d9-adbf-78b895f43c5a,a7806e14-f700-4b4a-afc3-1fd7a8d678c7,7906b890-dd4c-42db-b518-e2002382ee16,1643973373438,13.4025837,52.4724272,1.6807514,-0.5855527,0.93579674,0.8889952,on bike mount,cyclo cross,True,paving stones,good
