bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,0c34fdd1-e086-4595-b15b-6322bbf82469,1636127189644,13.3975956,52.4726277,6.009611,0.93546236,-3.4055855,-5.82385,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,c2a2e95c-95c6-412a-8cba-e37d9cd41eea,1636127189708,13.3975956,52.4726277,6.009611,0.23320597,-2.0920374,0.6321802,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,7236cbf5-2a88-4c97-83d3-19d5e6924cd8,1636127189760,13.3975956,52.4726277,6.009611,-0.11385256,-3.4768052,-2.896223,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,24039921-ffa2-4ef3-94d7-c88ee5793b4c,1636127189810,13.3975956,52.4726277,6.009611,-0.45085144,0.68095255,0.43828297,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,6765feae-1b17-4d00-b1d3-d8f8dc0c65a4,1636127189860,13.3975956,52.4726277,6.009611,-0.029212385,-1.6563656,2.8597984,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,9afa27cf-2b11-49e5-aacd-983c224fb1ce,1636127189910,13.3975956,52.4726277,6.009611,0.46866786,1.4945927,0.459404,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,a027ed6f-99db-402c-9495-935dd35b89f2,1636127189961,13.3975956,52.4726277,6.009611,0.27152425,8.737713,1.5083675,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,060ac98c-b661-45d7-b308-8e3160053c77,1636127190011,13.3975956,52.4726277,6.009611,-0.0011307001,-2.8264246,2.6725712,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,4d9d6e3d-a2fb-40e5-b666-a1bc806120da,1636127190062,13.3975956,52.4726277,6.009611,-1.6218581,2.009665,-1.6097808,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,176aae1d-65ee-4581-8865-2e492e49080e,1636127190126,13.3975956,52.4726277,6.009611,0.27551275,-0.31364822,3.843069,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,d4e1aec8-5c51-4531-89f1-6002fa87c07a,1636127190178,13.3975956,52.4726277,6.009611,0.014545441,-0.8956952,-0.2311039,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,f804c52e-799b-45cf-8547-15503d19a0d4,1636127190243,13.3975956,52.4726277,6.009611,-0.044764854,3.8545308,2.8597088,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,3d44c195-5743-4071-ab46-ac32070a9c24,1636127190295,13.3975956,52.4726277,6.009611,-0.26116237,-5.044112,1.2142677,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,c28cee1b-2c5a-4843-888e-b15eab2d3086,1636127190360,13.3975956,52.4726277,6.009611,0.83200526,3.1746812,2.7789974,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,d85e06c8-b4dd-4be2-b2d5-5423681985cc,1636127190413,13.3975956,52.4726277,6.009611,0.06300479,-0.6812079,2.5047016,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,efc72531-3d2f-4b78-afc9-63719cd56f39,1636127190478,13.3975956,52.4726277,6.009611,-1.7310448,1.2545891,0.8093052,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,81eaa0b6-638b-448b-88db-ee55f1e19749,1636127190529,13.3975232,52.4726562,5.9000177,0.33750924,-4.9425573,0.74780846,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,ab3cc5db-819b-4a54-8c6d-f736a8167dab,1636127190580,13.3975232,52.4726562,5.9000177,-0.12448332,1.107214,1.3376207,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,eb42e383-2e17-42bc-a696-f6b6226616ac,1636127190630,13.3975232,52.4726562,5.9000177,-0.19061083,0.3298385,-2.279326,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,68f5481b-4b02-4c7a-9220-73169c6a24ee,1636127190695,13.3975232,52.4726562,5.9000177,-0.18990964,-2.3612335,2.9454165,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,184eb5bc-28e4-4c07-9b48-f1ef27e9fba1,1636127190745,13.3975232,52.4726562,5.9000177,1.0817604,-1.513887,0.68672276,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,0b1039a1-b881-4670-b6dd-91e535ac348c,1636127190797,13.3975232,52.4726562,5.9000177,-0.5123955,0.33946967,-2.7912674,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,fec4e45b-0724-4cc0-a9b1-518866ffcc49,1636127190862,13.3975232,52.4726562,5.9000177,-0.021430552,-1.5937054,-2.5507274,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,0e44390f-5590-4fca-be72-9ee93114832f,1636127190913,13.3975232,52.4726562,5.9000177,-1.0568255,0.32282925,-1.3303323,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,cb7927ef-6877-4f19-8dcb-f8270e5be099,1636127190963,13.3975232,52.4726562,5.9000177,0.19365409,-3.525148,-0.56056595,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,175a539e-9396-4ab5-8bed-b88d584a0988,1636127191014,13.3975232,52.4726562,5.9000177,2.4127467,2.1204607,1.4820328,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,e392e6d4-5daf-4d65-8892-e5caa6be63b0,1636127191080,13.3975232,52.4726562,5.9000177,-0.19700682,-0.8743613,-3.7651072,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,83fecc7b-3961-466c-b447-c60db4987fb9,1636127191131,13.3975232,52.4726562,5.9000177,0.31757802,-0.78616333,-4.6160746,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,ac501796-a778-49e1-98d8-48a7f72313a1,1636127191181,13.3975232,52.4726562,5.9000177,-0.17570686,0.98865557,3.7877579,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,3bd238a0-c785-4ceb-bc27-9b30c8b78dab,1636127191234,13.3975232,52.4726562,5.9000177,-0.6305551,-0.8418343,-1.112349,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,94dca85c-0d36-4469-8903-641735b3f011,1636127191285,13.3975232,52.4726562,5.9000177,0.46067244,-3.0514321,-0.8046398,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,7c5f4e28-b04d-4b78-a31b-0d4cedb6417a,1636127191348,13.3975232,52.4726562,5.9000177,-1.1861763,6.477829,2.0886316,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,c28fb7da-24f3-41f6-b151-7ff578685cb9,1636127191399,13.3975232,52.4726562,5.9000177,0.2163876,-3.0515323,1.5734406,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,c5067448-8d04-4d74-b8c2-9d4188c5a582,1636127191450,13.3975232,52.4726562,5.9000177,2.090041,-1.1946659,1.2572298,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,b7718612-65e9-40ea-aab6-e13ada46d2ca,1636127191517,13.3974465,52.4726861,6.019935,-1.8693438,-0.36419964,2.6120367,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,e1e6c351-363e-4239-8590-2ba0f9747993,1636127191582,13.3974465,52.4726861,6.019935,0.34864002,0.70846844,-1.0192542,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,6d66f6f7-d30a-4e81-b76c-e968d92fc74c,1636127191647,13.3974465,52.4726861,6.019935,0.20845509,2.240013,-4.3885655,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,e5810703-49dc-4f36-ad2f-0df14a2106d0,1636127191699,13.3974465,52.4726861,6.019935,-1.706407,4.173597,3.5573263,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,a4cb108a-b050-4d56-b1f0-abb72c137188,1636127191749,13.3974465,52.4726861,6.019935,1.7409694,1.7293301,-3.4633389,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,da8f9f72-7b5b-46fd-911f-7158afff4064,1636127191799,13.3974465,52.4726861,6.019935,0.5357158,-0.11821079,-2.5332265,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,06c762e8-4b6b-4c09-8121-bef8b6c75229,1636127191849,13.3974465,52.4726861,6.019935,0.04836556,1.1912358,2.477909,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,7b513e86-174f-4c01-9e77-7cba85819fa5,1636127191899,13.3974465,52.4726861,6.019935,0.25976318,-1.7502952,2.9352245,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,c0197b79-2839-422f-af11-e682de769845,1636127191949,13.3974465,52.4726861,6.019935,0.40360722,-2.9925146,0.7902765,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,558cbe62-fbc5-4a52-9ba4-53789d499ab3,1636127191999,13.3974465,52.4726861,6.019935,0.6564689,0.49753165,-2.7583175,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,5ecec7b2-a68c-4eb9-9f22-607f1e0ca9c6,1636127192049,13.3974465,52.4726861,6.019935,0.04842686,1.4019401,1.7233715,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,36926251-e3db-4e48-8ff9-ce10b7174299,1636127192099,13.3974465,52.4726861,6.019935,0.56589067,1.6303592,1.2133408,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,6958af72-0e6f-4104-9a77-da8c7b234805,1636127192150,13.3974465,52.4726861,6.019935,-0.32305175,-0.0396955,1.7967253,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,d93e9a85-92b9-402b-b9fd-ccc2ad9b199d,1636127192201,13.3974465,52.4726861,6.019935,0.4165398,-1.5769571,-0.031466484,on bike mount,cyclo cross,True,paving stones,good
9f7be42c-d051-49df-93eb-2b10526cf822,4353055e-3880-4b29-b779-46b9d9b58f40,3bffbee9-78dc-434a-b4c9-5a08679a392a,1636127192251,13.3974465,52.4726861,6.019935,0.58442116,-3.536604,-0.9454584,on bike mount,cyclo cross,True,paving stones,good
