bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,b30c5808-3d63-4f3f-9b41-25067d5557f6,1633625685739,13.4332795,52.49466,5.114422,-3.1479266,17.075928,3.4100962,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,a55a72bf-c1ca-4874-bf40-965ece4ea534,1633625685789,13.4332795,52.49466,5.114422,1.494597,7.206275,-2.8676124,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,23bc3f56-e382-4612-82d2-bc969d396d9a,1633625685839,13.4332795,52.49466,5.114422,-1.0915935,33.331207,20.467642,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,3e95b651-2b6e-4695-aa31-45e077d18e65,1633625685889,13.4332795,52.49466,5.114422,2.6308753,-8.931303,55.736855,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,3a27b3e6-cdb4-42f1-85f3-990d4f348d99,1633625685941,13.4332795,52.49466,5.114422,-2.307569,-2.1301415,46.069466,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,a331e831-57a2-4b52-b18f-c001be5a950b,1633625686006,13.4332795,52.49466,5.114422,13.15928,-4.2057834,-0.08873558,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,41ce173c-43fc-4235-bc87-1bc4c5e6ac8f,1633625686057,13.4332795,52.49466,5.114422,8.924673,-17.614525,6.473114,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,09f30a99-d7f4-423c-b684-f39083b12aaf,1633625686108,13.4332795,52.49466,5.114422,1.9770073,-8.93203,14.328777,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,0afaa6f6-54e4-421f-a8fd-d6ced820174f,1633625686173,13.4332795,52.49466,5.114422,0.08628777,-18.558578,21.285412,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,e036266a-f369-4fd7-b5a9-205fbe7df18c,1633625686223,13.4332795,52.49466,5.114422,2.28793,-2.9981592,16.215317,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,c7e30041-c5d8-4df6-b523-213b7e8243b7,1633625686273,13.4332795,52.49466,5.114422,-1.8945918,-17.082039,5.958933,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,5a863019-30f0-47a5-80d2-bd0e4c0752ab,1633625686324,13.4332795,52.49466,5.114422,7.7964363,21.618078,25.683748,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,ee3686a7-e899-408f-baef-142b76c54c28,1633625686375,13.4332795,52.49466,5.114422,-1.7935587,17.74891,-9.61334,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,1bfc9c26-4f43-42a0-852e-f879244f349b,1633625686425,13.4332795,52.49466,5.114422,-0.56999314,6.617816,-28.404045,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,83e7a2b9-4879-426e-ae38-0740106574d5,1633625686475,13.4332795,52.49466,5.114422,1.4276154,-8.54722,4.9610243,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,2b83e169-a4c8-43da-bb10-aef302f89a7e,1633625686541,13.4332795,52.49466,5.114422,-3.3911905,21.72102,-20.534418,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,81eaac69-8d49-46c5-9f19-f08177fc75db,1633625686591,13.4332173,52.4946749,4.98709,4.4829307,10.413691,3.1959372,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,47eda8fe-abd0-4e1b-ac9d-6a9f7dc55528,1633625686641,13.4332173,52.4946749,4.98709,4.0345125,-13.661404,12.462889,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,5d7c2a24-c66a-4d75-981a-46230eb598b6,1633625686691,13.4332173,52.4946749,4.98709,-3.003878,-2.1692953,6.23131,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,85c28264-2789-4bb5-8308-8495b25daaa2,c3322655-18b2-43da-af20-5b681548cc64,1633625686741,13.4332173,52.4946749,4.98709,-0.47374257,0.30420685,3.4044628,on bike mount,cyclo cross,True,sett,intermediate
