bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,05d488ee-f85d-43b8-b7ea-6a0d243c2713,1633625626270,0.0,0.0,0.0,-2.1862133,-4.1305356,10.4885025,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,e75752e3-d834-40cb-9454-43433ecbee58,1633625626328,13.4376116,52.4933716,2.1341915,1.7004486,0.4872861,1.7326841,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,10180958-cec2-4b48-955b-1c33814e806a,1633625626379,13.4376116,52.4933716,2.1341915,2.6932294,3.0674005,-6.354657,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,881fa6ea-3199-432c-b4e4-2763457f0a80,1633625626428,13.4376116,52.4933716,2.1341915,-5.668314,0.3976407,3.010254,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,f148a7fa-2d3a-4109-b236-073f994ba186,1633625626478,13.4376116,52.4933716,2.1341915,0.6847451,-1.5826843,6.6015987,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,d77acc16-33a2-4a0b-ae35-326843ba6acb,1633625626529,13.4376116,52.4933716,2.1341915,3.362258,-2.742147,-3.275557,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,c15b576f-d588-4ad5-bb2d-44628953ba29,1633625626581,13.4375641,52.4933833,3.1105776,-4.9082885,-8.59035,17.451372,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,1ecda23b-6dee-40ed-b8a1-8e4caef38567,1633625626630,13.4375641,52.4933833,3.1105776,4.5811625,5.6794834,-5.1910496,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,70af2529-9da2-4466-ae1a-e8600f1e8673,1633625626694,13.4375641,52.4933833,3.1105776,2.1328082,-8.349855,3.9682865,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,79b753b5-6899-467a-a2c5-df0716ee2391,1633625626745,13.4375641,52.4933833,3.1105776,-0.10881963,-2.152048,-0.86419773,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,00689e47-18c9-4fdd-9fc8-b66d6845694a,1633625626795,13.4375641,52.4933833,3.1105776,0.1998809,3.783619,-5.547427,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,9356ac57-af71-4288-940f-40655b3300c1,1633625626845,13.4375641,52.4933833,3.1105776,-1.77343,4.35234,0.11393356,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,1f4181b6-ab97-40ca-906b-ef2999f4d4e7,1633625626895,13.4375641,52.4933833,3.1105776,0.60397637,-0.44693613,7.611595,on bike mount,cyclo cross,True,sett,intermediate
375cd3de-11ce-4a01-ad36-8ebc61cba6f9,ea34f78b-2c52-40af-8417-21911f6e9346,c9e01417-ec2c-4356-87d6-f49f9e6b8f5c,1633625626945,13.4375641,52.4933833,3.1105776,-0.07797167,-1.1220334,4.834239,on bike mount,cyclo cross,True,sett,intermediate
