bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,35c2956a-f605-49f5-8a64-49cf3e44c9c2,1633859808265,0.0,0.0,0.0,0.29526567,6.445973,-3.521614,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,20041f2d-6069-4b3c-9d8c-4e5c64cb544b,1633859808415,13.4298149,52.4956705,4.642746,-2.3705585,1.3322091,5.0959177,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,229a8a0f-1d34-4eec-89a1-3e148ba4d019,1633859808466,13.4298663,52.4956669,4.695233,-0.50729346,4.0833473,9.3125515,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,76413044-5bae-419f-b235-0b254512b935,1633859808516,13.4298663,52.4956669,4.695233,0.43176216,-0.6104145,-6.907442,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,7e186656-38d5-44c9-9dc6-a52bb48329bb,1633859808566,13.4298663,52.4956669,4.695233,0.08279952,-0.3042736,-11.830045,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,28bd6ea5-2e55-4548-8644-4a257de5d3d7,1633859808616,13.4298663,52.4956669,4.695233,0.22958815,3.2087088,-5.478757,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,0ce2f391-6d79-4cf6-b554-541c7ec39281,1633859808666,13.4298663,52.4956669,4.695233,0.54070854,3.443912,13.549567,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,cf92b1e0-3f50-436a-8879-1f81c9ce776e,1633859808717,13.4298663,52.4956669,4.695233,3.303843,-18.271416,20.058203,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,63ae87e7-b29b-4cba-86c9-024618dd0bee,1633859808767,13.4298663,52.4956669,4.695233,-2.8775406,-7.675899,8.305049,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,e8f6bba8-8a5b-4a59-9602-b62f332a0d0c,1633859808818,13.4298663,52.4956669,4.695233,2.046186,-3.2146757,3.2216606,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,0bea0be0-86f7-49a4-985b-77c0d92c8c49,1633859808868,13.4298663,52.4956669,4.695233,-0.0071981847,-8.36623,2.6603994,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,2a825cc0-6357-490b-868e-8980d0b17a5f,1633859808918,13.4298663,52.4956669,4.695233,-2.565833,-1.1143541,-7.075178,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,1dbbe577-12c7-45a1-9638-84c7f5c039d8,1633859808968,13.4298663,52.4956669,4.695233,-1.9380256,9.4447565,-11.017027,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,193a4d61-8247-4d46-8eff-442da247a965,1633859809018,13.4298663,52.4956669,4.695233,-2.2040718,-3.704887,7.2002144,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,1d78212f-81d3-4835-b34a-b12f2bcbba91,1633859809068,13.4298663,52.4956669,4.695233,1.0201968,-5.344379,1.1768112,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,f4493feb-5ff0-4a55-b3a3-02ac7093879c,1633859809117,13.4298663,52.4956669,4.695233,1.218903,2.6905541,7.4634895,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,3ef530fe-43f4-4fec-9ce2-d87dd3bbaed3,1633859809167,13.4298663,52.4956669,4.695233,-0.3198682,1.3510804,-5.1151342,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,faa507e9-248f-4d64-bbfc-64a70fc6cd55,1633859809219,13.4298663,52.4956669,4.695233,-2.0754735,-0.20294619,8.2453785,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,27c073c1-3351-450c-9a06-568c5b65e1e9,1633859809268,13.4298663,52.4956669,4.695233,-2.4112632,6.8367224,-5.7375197,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,8aa41150-016f-47b4-ab85-dbda43c30187,1633859809319,13.4298663,52.4956669,4.695233,-0.32056478,-2.6748905,10.153377,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,2f8607af-15fe-4e2e-a217-4f0fecea69ef,1633859809369,13.4298663,52.4956669,4.695233,-0.21077257,0.43965673,-4.465487,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,d39e6568-0589-4880-beea-b61ae08a933c,1633859809418,13.4298663,52.4956669,4.695233,-1.4071487,-16.354416,15.247515,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,2ee03aa5-56ee-4110-8b0c-9b33155cb550,1633859809469,13.4298663,52.4956669,4.695233,-3.9692016,5.073472,-9.44646,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,d085135c-9ccd-4eed-81b2-421d2adf3ca9,1633859809518,13.4298663,52.4956669,4.695233,-2.6763911,8.403061,-2.5642037,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,8bb621c2-6cc5-4fc3-8037-7adee05eca57,1633859809568,13.4298663,52.4956669,4.695233,-0.025324583,-13.231295,7.830167,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,f3f9bdef-0786-4884-b984-b62744bd11f1,1633859809618,13.4298663,52.4956669,4.695233,0.58009565,-6.669426,-0.5017524,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,fc93dd50-f94c-4b05-8e23-4e8f37abeb8d,1633859809668,13.4298663,52.4956669,4.695233,-1.2696965,-1.0501864,-5.554463,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,710275cc-4463-438f-9087-43fda46adbdd,1633859809718,13.4298663,52.4956669,4.695233,1.3033621,10.284039,-5.1728168,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,d3852f4e-cded-4492-a2ab-95c8ca302e1c,1633859809768,13.4298663,52.4956669,4.695233,-3.1923182,-0.3935418,16.527954,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,5a56fe66-3bf2-4dd4-9874-0d33fec0918b,1633859809817,13.4298663,52.4956669,4.695233,3.3948004,-10.284985,2.5804024,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,dd712753-54a0-432c-a265-fb07164b4e87,1633859809867,13.4298663,52.4956669,4.695233,8.904228,-17.32687,-5.6668377,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,0141649d-b704-4bf1-9cef-29bd91e4ee8a,1633859809918,13.4302284,52.4954975,3.04,-2.2783933,-3.8816051,-5.5986185,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,02df7fb8-ce5f-4e9e-9c3f-58f17973f6db,1633859809968,13.4302284,52.4954975,3.04,-1.0258713,-11.302323,11.839415,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,2142b0b5-6529-40b4-adc9-b274ed90874f,1633859810019,13.4302284,52.4954975,3.04,-4.4585924,-5.38377,4.857313,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,b433289f-3b32-4237-9c9d-605b00a8fdcc,1633859810069,13.4302284,52.4954975,3.04,-3.3803697,12.065366,-10.304348,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,08568b7e-e26a-4bf4-95e2-3354fd15a572,1633859810119,13.4302284,52.4954975,3.04,0.44213116,9.553772,4.9715033,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,e932c0e2-fa8b-496f-a28a-68c108f8bfcb,1633859810169,13.4302284,52.4954975,3.04,-0.33625722,-8.283809,-5.8064256,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,37fc23fc-1cbb-423e-9efb-5702975f5cda,1633859810220,13.4302284,52.4954975,3.04,1.3163625,-13.735352,10.363946,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,e311fe75-4c35-442e-8a7c-7d18a3b1faaa,1633859810270,13.4302284,52.4954975,3.04,-0.89705825,-9.596827,2.5048075,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,0d9cc519-d63d-489c-8f1c-c5ab50a9f41e,1633859810321,13.4302284,52.4954975,3.04,-2.9057462,-3.972821,-10.144677,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,9c21e2e8-b268-4dd7-931b-510aa36df742,1633859810371,13.4302284,52.4954975,3.04,1.8083531,7.434265,4.16992,on bike mount,cyclo cross,True,sett,intermediate
1fcf81f2-b692-47a9-9e31-e97c644fa9f6,01be3371-396a-4702-8877-77961aaf20fe,2330b5f6-6637-45a2-8419-33f14efe9497,1633859810422,13.4302284,52.4954975,3.04,0.054334998,-6.209048,1.729394,on bike mount,cyclo cross,True,sett,intermediate
