bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,69acec00-500b-4994-a3ab-b9b6dc748308,1644075648194,0.0,0.0,0.0,0.06945509,0.27653623,-0.12483692,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,f3d34832-6381-49a8-89c4-e50131e82bb9,1644075648252,13.4241456,52.4967278,0.0027312513,-0.60436535,-0.25008726,0.6874094,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,65be9a67-0036-450e-8a5d-c34248ca627c,1644075648307,13.4241456,52.4967278,0.0027312513,-0.42732537,0.045041084,-0.40830708,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,17febed4-715d-488b-b816-4bc49247e88e,1644075648362,13.4241456,52.4967278,0.0027312513,0.30730388,0.105267525,-0.33244133,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,5c024a12-85a7-4376-bb23-42f7752555a0,1644075648419,13.4241456,52.4967278,0.0027312513,0.0019525886,0.5885575,-0.11744022,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,9c6dbfeb-3266-41bc-bb2a-9231be09c751,1644075648475,13.4241456,52.4967278,0.0027312513,-0.3185581,0.2919855,-0.00067043304,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,697354d8-de81-4883-843d-0b9613e357fb,1644075648530,13.4241456,52.4967278,0.0027312513,-0.6435777,0.3499663,-0.22051907,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,32c15319-1fdb-457d-9727-d6a788a76bf4,1644075648586,13.4241456,52.4967278,0.0027312513,-0.61282396,0.58744574,-0.17161274,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,2de504db-b84d-43c7-bf1e-1bdb81b06bb5,1644075648640,13.4241456,52.4967278,0.0027312513,-0.026436567,0.7473526,-0.30970383,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,e63310a4-35d6-4b69-8aa3-645dc8c78a4e,1644075648696,13.4241456,52.4967278,0.0027312513,0.50034285,0.6957896,-0.6544647,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,cccc8538-3de3-4b25-a3f5-2bd84d7736e7,1644075648752,13.4241456,52.4967278,0.0027312513,-0.4059533,0.8359127,0.051042557,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,17a5c7a7-45f5-4828-a5b3-b2a4d0df81c3,1644075648807,13.4241456,52.4967278,0.0027312513,-0.5249777,-0.7316549,0.76838684,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,af8c911f-c190-4ffe-9b8e-6c9abb28bfc6,1644075648862,13.4241456,52.4967278,0.0027312513,-0.7034868,0.6775634,-1.3444877,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,82bff2b8-bfc2-49cf-8ef1-0190f100d07e,1644075648917,13.4241456,52.4967278,0.0027312513,-0.077593505,0.45564723,0.109622955,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,f88ba931-8974-4756-b1ef-53cb9ebcd5eb,1644075648974,13.4241456,52.4967278,0.0027312513,0.09462771,2.0177019,-0.66544247,on bike mount,cyclo cross,True,sett,intermediate
be9bfe25-fac4-478a-879a-b2f75aaada6f,f8edf235-43c1-4263-b296-568caf4d50b3,32185698-3332-409a-8945-6f78c4c0aca2,1644075649029,13.4241456,52.4967278,0.0027312513,-0.16690111,1.5466673,-1.7543464,on bike mount,cyclo cross,True,sett,intermediate
