bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,bc96e22f-aa5e-45d3-8d9a-2e22edb6542d,1643975809329,0.0,0.0,0.0,-2.4344535,-3.2497406,3.2311783,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,beb4880e-6b03-4fa1-a00a-a63e37a318b7,1643975809384,13.4162512,52.4910651,3.990095,-1.5028452,6.907749,0.25088978,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,c7ac89d2-1577-47cb-b814-567f1555b855,1643975809439,13.4162512,52.4910651,3.990095,2.68389,6.93199,-1.0187712,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,f654238b-2f0e-457f-9269-6f8eaf50e7e8,1643975809496,13.4162512,52.4910651,3.990095,1.2218199,5.6600914,-19.029268,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,6383e799-eec7-4147-a6fe-4b4ca6ae6437,1643975809552,13.4162512,52.4910651,3.990095,4.6808157,9.130142,-11.339469,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,916918f4-200c-447a-b7a9-a660680f0855,1643975809607,13.4162512,52.4910651,3.990095,-2.8635771,-11.641076,26.106659,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,e32d7700-1942-4a1c-a864-842e3b57adf8,1643975809663,13.4162512,52.4910651,3.990095,8.468304,5.839528,-4.5972366,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,a5497c97-d9a3-4cd6-99ed-3cb586b2d94b,1643975809719,13.4162512,52.4910651,3.990095,-7.1593657,-19.554081,24.834967,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,73625454-5830-4bac-b2e0-7e2d15dc2172,1643975809773,13.4162512,52.4910651,3.990095,-2.7040193,-18.436901,21.429813,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,d0fe8f60-be7d-42aa-9173-5dafbb037a32,1643975809831,13.4162512,52.4910651,3.990095,7.0167875,-9.396743,37.824574,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,f360ee0c-1b20-439e-bbf1-3565b3e364ec,1643975809885,13.4162828,52.4911078,3.5555372,-5.4693136,-2.2053125,-5.267297,on bike mount,cyclo cross,True,sett,intermediate
90b432d6-dbf8-4740-b557-00697d51fd21,fc88b73e-e760-4108-95c2-edba26be40fc,700dc2ed-9299-41ee-b6c5-ac453477609e,1643975809941,13.4162828,52.4911078,3.5555372,7.941289,19.949646,-18.620094,on bike mount,cyclo cross,True,sett,intermediate
