bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,d430c0d3-90c1-4dbe-bca5-bc0816dfc3ae,1627365830895,13.4070996,52.4819524,5.5514703,0.51553357,-1.4347017,-1.4770737,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,1d11e076-3ca6-4f6e-98c6-a97735eea0b1,1627365830954,13.4070996,52.4819524,5.5514703,-0.03281775,-1.1716783,-1.4807782,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,5e4b2edc-2bd5-4ad4-baec-e9304ac17449,1627365831005,13.4070996,52.4819524,5.5514703,-3.2997134,-1.7775584,3.5919828,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,4f05e488-b3b2-4cde-b137-5632d0eab78c,1627365831054,13.4070996,52.4819524,5.5514703,1.9785175,1.4738026,1.6654634,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,60409e08-4ce6-49ee-8596-5d74ca36daad,1627365831105,13.4070753,52.4819016,5.503331,1.4925687,0.35017228,-0.53294754,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,3d7776b6-0d3e-4e78-8df6-ea0964b369a1,1627365831155,13.4070753,52.4819016,5.503331,-0.98998505,-1.1183639,2.3913803,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,d331a52a-762c-4c1a-9e00-084d24b0d750,1627365831205,13.4070753,52.4819016,5.503331,0.3815411,0.5626428,-2.6591706,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,6b3b3f0b-3416-4f78-97a7-30dd159441e9,1627365831256,13.4070753,52.4819016,5.503331,0.13136947,1.1467755,-4.0472984,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,700166c8-67b7-4782-b425-501bec449e65,1627365831307,13.4070753,52.4819016,5.503331,0.2467072,-4.5259333,0.280509,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,fc0defb9-4598-45fd-9866-d5b1822573e5,1627365831358,13.4070753,52.4819016,5.503331,-0.3336307,-2.740445,-1.7307034,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,bbab3947-55f5-4c7d-992c-bfe0868f2a15,1627365831409,13.4070753,52.4819016,5.503331,-0.1489324,2.1871529,0.43508148,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,253ea68d-7011-4eaf-b636-28f9920cc441,1627365831460,13.4070753,52.4819016,5.503331,2.1301074,0.6462412,-1.8452206,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,51017cc5-acb9-45ea-ba64-12caa6519612,1627365831510,13.4070753,52.4819016,5.503331,-1.6336586,-0.15580869,-0.1616888,on bike mount,cyclo cross,False,asphalt,good
fc38e0a0-2fb7-48fa-9428-e23d1df12e25,552e2941-efcc-4c95-901b-1764cd33d545,51309c15-2817-4efa-a1c8-dc5a532ffbea,1627365831561,13.4070753,52.4819016,5.503331,0.5444552,0.7523651,-1.5197544,on bike mount,cyclo cross,False,asphalt,good
