bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,2206d86c-0e45-439d-807d-71b4fee894a5,1634373327240,13.3601523,52.5099841,5.329544,-0.2366792,1.4114473,0.4277315,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,bb2e19d5-4756-499a-b026-5e506c7e279a,1634373327290,13.3601523,52.5099841,5.329544,-3.089535,1.6246052,-3.1490912,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,60a99aab-a1ee-401f-9b3e-477b0ea0a2b7,1634373327340,13.3601523,52.5099841,5.329544,-1.2051712,-0.44923663,10.338175,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,00262226-b81f-4f27-9e3d-a34a9a1dc7aa,1634373327391,13.3601523,52.5099841,5.329544,-1.006771,0.5245204,-4.818022,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,c3b27174-b106-4886-928d-8081ba27fadf,1634373327442,13.3601523,52.5099841,5.329544,-1.2730874,1.2321496,3.5714626,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,cb0c95ce-fb64-4782-853a-930e95f1e82a,1634373327493,13.3601523,52.5099841,5.329544,-0.12731844,0.5152309,-2.2791004,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,04ef5dfc-0840-47d7-abeb-b6d7d8303919,1634373327543,13.3601523,52.5099841,5.329544,-1.522121,0.13725352,6.2088585,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,476ab567-e2b5-4930-89d7-112682cbedeb,1634373327962,13.3601523,52.5099841,5.329544,-0.016711414,-3.5150604,1.1723804,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,28a2f1b0-c78b-4486-860e-9eb6bab3c47f,1634373328012,13.3600709,52.509994,4.993723,0.5580672,1.3751512,0.6095247,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,4d28f8d9-39dc-4605-be62-3d376908e9ae,1634373328062,13.3600709,52.509994,4.993723,-1.1905409,-2.7637253,-0.65667915,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,982f3615-366d-4900-bd99-af82615cab6a,1634373328965,13.3600709,52.509994,4.993723,1.6347852,2.3297677,3.670001,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,9a6e6c01-9870-45b9-a5c1-23cd3e38a3d9,1634373329014,13.3600197,52.5099986,5.002273,-0.7808185,-2.3551989,1.6900969,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,7b12ba80-5fb4-4305-93c8-b7593c1b8226,1634373329064,13.3600197,52.5099986,5.002273,0.890276,1.409306,-0.8756995,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,9e5c1584-9ea4-4e6d-8522-67cc63fc06f6,1634373329381,13.3600197,52.5099986,5.002273,1.3134716,-1.2275553,4.9707365,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,eb6e395c-a6ee-42b1-a960-a0cec2d2acc1,1634373329431,13.3600197,52.5099986,5.002273,-0.42616898,-1.0235033,-5.9792523,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,94c9d297-7571-48fc-9665-d4a5aa301be2,1634373329481,13.3600197,52.5099986,5.002273,-0.8943302,-1.3960354,-3.8910856,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,a0077eb6-3d70-43db-8684-edba2c9dc782,1634373329959,13.3600197,52.5099986,5.002273,-0.56838757,-0.5511086,2.4753876,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,198e9cfd-087e-4db9-97e6-85e7fbcf2821,1634373330009,13.3599417,52.510009,5.246618,-1.3374217,3.4654894,1.2780809,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,b976790f-50cb-432a-9f9a-71c78838d9d4,1634373330059,13.3599417,52.510009,5.246618,-1.5634159,-3.1426568,-2.7998447,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,7df01c58-705c-4527-95ca-dbea36ae2635,1634373330957,13.3599417,52.510009,5.246618,0.11188769,4.3598146,-3.3076987,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,e2bb748e-f9fb-4b7f-9927-29a6b295a09b,1634373331007,13.3598558,52.5100214,5.3276763,-1.238554,-5.770543,-6.555189,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,84952b3f-ce44-42f8-8e0e-1ff91951579a,1634373331056,13.3598558,52.5100214,5.3276763,-0.94150615,2.1834383,-1.2269387,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,7828fe59-3cfe-439e-b92e-60252497317a,1634373331955,13.3598558,52.5100214,5.3276763,-0.8572804,0.07396293,-3.779241,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,3baa22d9-921d-4255-bbb5-a211c3b99438,1634373332004,13.3597611,52.5100284,6.468047,6.7701187,-2.5886087,10.954228,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,39a57d62-89c6-43e4-9f23-c20362062a00,1634373332054,13.3597611,52.5100284,6.468047,-0.8977948,5.9806013,8.6037,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,103a2d82-a788-4bfe-abcb-2a4619a4559e,1634373332966,13.3597611,52.5100284,6.468047,0.19880171,-4.1532354,-1.1540651,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,26c50ba3-0285-48f1-96d6-80b65cd97410,1634373333015,13.3596575,52.5100332,5.7284193,-0.9105915,0.32587934,2.4354906,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,ca31c6c2-0d91-4e9e-8e0f-0086eb9e7e5e,1634373333065,13.3596575,52.5100332,5.7284193,-2.1633244,2.6979704,1.770772,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,399a3a6d-0832-470a-a9a2-a5e182817226,1634373333958,13.3596575,52.5100332,5.7284193,-0.31505096,-1.4909931,5.288748,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,ffac4944-01f2-4060-9ab5-4e68e8de8711,1634373334009,13.3595684,52.5100382,6.0037813,-0.66037023,-1.2635494,5.2655106,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,8578a247-fac8-41b2-8e9a-b7db3cf95c33,1634373334060,13.3595684,52.5100382,6.0037813,-1.3973155,2.525752,1.2261496,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,a3d6b8d7-215a-42f0-96c9-2b311de0fd77,1634373334963,13.3595684,52.5100382,6.0037813,0.5680989,1.1786869,-0.015069962,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,fb72bb33-1cd5-4562-8ad8-310f54fadd45,1634373335013,13.3595684,52.5100382,6.0037813,-0.6289477,-1.2415408,-4.901853,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,f4590bed-cbe8-436d-8bcc-a7609a43f23f,1634373335064,13.3594752,52.5100442,5.5759125,1.2165887,-3.070502,1.32405,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,98d19ed0-cd6c-4dd5-8701-bf5729fee974,1634373335271,13.3594752,52.5100442,5.5759125,1.0206132,5.830789,-4.8464193,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,78a7f729-6743-46f4-bbbd-c5c99d4f0a4d,1634373335321,13.3594752,52.5100442,5.5759125,-0.72581977,-3.1122065,-2.679204,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,ef959c1a-79f9-42ee-843b-733055057b37,1634373335371,13.3594752,52.5100442,5.5759125,-1.0140269,-2.6211643,-1.8033953,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,61639015-7b6b-4b5b-9c0d-e6895e83828e,1634373335421,13.3594752,52.5100442,5.5759125,-1.5122855,2.188819,13.548231,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,7a9a8572-d6c3-4527-a6c3-308a51a47885,1634373335472,13.3594752,52.5100442,5.5759125,0.85859346,-7.019054,-0.9175558,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,2fd34f0c-4f19-4f6b-8d95-77ccb52d8c59,1634373335523,13.3594752,52.5100442,5.5759125,-1.5574275,-1.9660836,1.5868149,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,266922ee-2d12-4185-a783-4246f2ecc007,1634373335708,13.3594752,52.5100442,5.5759125,-1.5574275,-1.9660836,1.5868149,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,9c108e77-9db8-48eb-86db-e02dd2d63bc9,1634373335759,13.3594752,52.5100442,5.5759125,0.08623406,-0.9727479,-0.39438248,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,274b4fc5-b84a-4aa1-b5f3-b48ce753afd5,1634373335809,13.3594752,52.5100442,5.5759125,0.87640035,0.43074083,-7.3515797,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,c41cac9e-02a6-4296-ae18-edccc9fd7181,1634373335859,13.3594752,52.5100442,5.5759125,0.900056,-3.5017986,-4.5665016,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,d5bf70e7-1437-4dc9-977e-759b70913e38,1634373335909,13.3594752,52.5100442,5.5759125,1.9705727,0.53374743,0.14461327,on bike mount,cyclo cross,True,fine gravel,good
a643a461-c11e-4623-a22c-3b161a652bee,ce625c27-19ff-4c6b-a077-e6d70f933fa9,f8f2140d-0f83-4a1f-b6e3-91088bba70cb,1634373335961,13.3594752,52.5100442,5.5759125,-0.25140458,4.925383,-5.4372983,on bike mount,cyclo cross,True,fine gravel,good
