bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,cfa4e918-7721-4528-a585-06f56276a727,1644075774865,0.0,0.0,0.0,-3.3524399,-2.099608,7.3752794,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,7b4e194d-0cb0-4749-9a1c-a3630b6fd0a1,1644075774916,13.4288392,52.4938563,4.4846077,-2.982685,-5.88882,-6.426673,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,2387518d-3103-4b49-a6ec-8e66e6059710,1644075774981,13.4288392,52.4938563,4.4846077,4.6021023,10.108451,1.0507927,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,3f6613fc-75ec-499f-af09-5a42f9ceef33,1644075775040,13.4288392,52.4938563,4.4846077,2.3142133,1.8906512,5.9140577,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,afd5e2a3-c0c6-4258-b387-22b424149bc6,1644075775095,13.4288392,52.4938563,4.4846077,0.63095826,3.7413883,-2.721283,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,28266a42-b6f1-4ca6-80b2-a6f884a870ab,1644075775149,13.4288392,52.4938563,4.4846077,-2.682035,-0.5496788,0.89279556,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,7e5a9d14-a380-47ed-a13d-9b974ab7b07d,1644075775207,13.4288392,52.4938563,4.4846077,0.011894286,3.3933015,-7.679308,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,b4c23aa8-214f-499f-8914-998e54d0b41f,1644075775261,13.4288692,52.4938479,4.4879193,-1.4128659,-3.4299054,-8.353424,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,7cdfcfba-a013-42f1-873b-1460c9febdf4,1644075775317,13.4288692,52.4938479,4.4879193,1.2061015,-3.1260972,6.7725105,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,7cbda105-5cfd-4092-82c5-355c2c55fc96,1644075775372,13.4288692,52.4938479,4.4879193,1.7160418,1.9515643,-18.17884,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,0c6cd598-7e57-445f-ba6a-e5743724fbb8,1644075775429,13.4288692,52.4938479,4.4879193,0.64969796,-6.0247436,-3.8869615,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,eaf4993f-99ed-42c6-9c44-ac16ef03366d,1644075775484,13.4288692,52.4938479,4.4879193,-0.8759089,-3.710561,5.695879,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,da879c93-9872-41d8-bbc2-57a5ce722781,1644075775538,13.4288692,52.4938479,4.4879193,-0.45074686,-2.651627,-1.4579597,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,15cc1b13-aaa5-4680-99f9-546f2d9f7e37,1644075775593,13.4288692,52.4938479,4.4879193,-3.7773304,-5.035618,3.3335161,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,53fd72b2-f88e-4316-a053-5642a10c0289,1644075775650,13.4288692,52.4938479,4.4879193,3.4427738,-3.977279,-5.174144,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,0acf6da0-e05f-4272-8c6f-b80a16002498,1644075775705,13.4288692,52.4938479,4.4879193,0.45564586,-2.4934244,-3.0484667,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,8608e811-38da-4c88-9c82-488dc318d0c1,1644075775761,13.4288692,52.4938479,4.4879193,1.6486584,-2.1633263,-5.997481,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,8cfe37e5-61e4-4198-9269-79d653746dea,1644075775816,13.4288692,52.4938479,4.4879193,3.5687902,7.4947844,-2.711401,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,00a1f2fb-702e-422c-99d2-8999ec73368b,1644075775873,13.4288692,52.4938479,4.4879193,1.1478091,4.8592577,-5.7953877,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,028ffdd9-e212-44fb-be44-7a03d32c23c4,1644075775929,13.4288692,52.4938479,4.4879193,-1.8590845,-0.55274606,-0.41158676,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,da58b9f6-49e4-41b8-acdc-e01c667fd9cc,1644075775989,13.4289204,52.4938312,4.456515,0.31515318,0.8501563,-4.875651,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,c7f75cd2-8e12-4cb7-a0cf-206b3799a9d3,1644075776048,13.4289204,52.4938312,4.456515,-0.69989306,-3.2535508,-0.60885525,on bike mount,cyclo cross,True,sett,intermediate
2fa212f8-f3a2-471d-81ac-5feeeb675448,902ce6df-8252-4106-900e-23d0f7f5681a,1973e975-9de3-4586-b861-9c433656c968,1644075776104,13.4289204,52.4938312,4.456515,-1.0404416,2.5684757,0.22549248,on bike mount,cyclo cross,True,sett,intermediate
