bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,38becc36-d221-4f9a-97ee-b6345cdfeb09,1644074629634,0.0,0.0,0.0,0.6842271,6.5084896,-4.2547665,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,198c69bb-efb0-4ad3-8990-24e04bb08ff7,1644074629687,13.4287949,52.4938604,4.5523744,-1.1620691,-1.8782828,4.499037,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,14251a0d-4c1c-4e68-9f2b-2ed6367f77b8,1644074629742,13.4287949,52.4938604,4.5523744,-3.6377282,2.0397723,-5.9951267,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,5aa7dfb9-2cd1-4331-9796-f031ecfe8511,1644074629797,13.4287949,52.4938604,4.5523744,-10.191372,6.575136,0.12851906,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,2ce1c801-0ec0-4576-b6ce-aec1c4652a3e,1644074629852,13.4287949,52.4938604,4.5523744,2.6254807,-0.6289213,3.8644524,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,87e49ab8-820e-4dde-8121-a408bb1b86a5,1644074629908,13.4287949,52.4938604,4.5523744,2.3354738,-5.521932,4.9847193,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,3aefe580-a01d-4732-9cc3-e2d89c177312,1644074629965,13.4287949,52.4938604,4.5523744,2.3963237,-2.753948,0.9681492,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,23f5b8c1-0f9a-42ba-9fb9-c2807c5573fe,1644074630020,13.4287949,52.4938604,4.5523744,3.5840943,6.013532,-3.0975504,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,9475c7d4-6f09-4423-9c4f-1aa3538b8c74,1644074630075,13.4287949,52.4938604,4.5523744,-1.250797,-5.911298,-1.6243653,on bike mount,cyclo cross,True,sett,intermediate
6d575ab7-62fd-4aa7-a502-cd1747588524,a31730d7-2975-414a-825a-5f6d97079a82,481ee63c-e662-42cd-ac39-24b724b4945a,1644074630130,13.4287949,52.4938604,4.5523744,1.5973895,4.2844253,-1.1601801,on bike mount,cyclo cross,True,sett,intermediate
