bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,5fcbb4f5-9108-4a79-898d-05d0646713d7,1633624430155,0.0,0.0,0.0,-1.3381144,3.2822847,12.380312,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,eb737d42-5e92-4b2d-afd4-21bb40b1f1f8,1633624430219,13.401282,52.4799207,2.9413831,2.6717324,0.47349072,6.1203003,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,08eea140-06dd-4cc2-a202-61c2b61737e4,1633624430270,13.401282,52.4799207,2.9413831,-0.30057973,1.3140621,-0.84727,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,5f6b0e70-a1af-4a5e-94a9-15a20591e5d2,1633624430338,13.401282,52.4799207,2.9413831,-0.18768755,1.3011961,-0.8056493,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,f1d17df4-4e56-480a-b079-4c9c5fde6102,1633624430402,13.40131,52.4799198,2.9393942,-1.078591,-1.5770906,2.1161718,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,e97e1e31-afbf-4ab0-8037-ebd6fc350e18,1633624430454,13.40131,52.4799198,2.9393942,0.86866844,-4.01035,-0.045850754,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,94e122f7-574d-4b78-a92a-d7ab3f9f344d,1633624430503,13.40131,52.4799198,2.9393942,-0.15274249,-0.28915858,0.9099016,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,1bfd8e05-ff35-4422-af63-2e6795c08d31,1633624430553,13.40131,52.4799198,2.9393942,-0.2866348,0.4685917,-2.8848696,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,f0b1ef7c-8cc6-4449-894a-2440f806c851,1633624430603,13.40131,52.4799198,2.9393942,0.33561388,-3.80433,0.88935184,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,61f36926-6896-4800-931c-76a40ba6267d,1633624430653,13.40131,52.4799198,2.9393942,0.090233564,1.9098487,-0.3223219,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,a0bd18a2-51cd-4626-bade-7f3f8dd83ac6,1633624430703,13.40131,52.4799198,2.9393942,-0.5359926,-0.043194532,0.05656624,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,9d28dab5-fbd7-4530-8bb2-92f86cef72e2,1633624430753,13.40131,52.4799198,2.9393942,0.98435104,1.0026052,-1.3065162,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,213ff5be-fa0b-4d7a-9435-c908599e925d,1633624430804,13.40131,52.4799198,2.9393942,-0.1548813,-2.757383,2.6033497,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,728dc273-5452-46c2-a526-d0598e4f29ec,1633624430853,13.40131,52.4799198,2.9393942,0.9393923,-1.2317157,1.3997431,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,578905f3-d0fc-47e5-a615-8dec3693daf9,1633624430904,13.40131,52.4799198,2.9393942,0.7060714,0.44162297,1.7441816,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,2dfb8347-d097-4a90-a1d3-8277542d0b54,1633624430954,13.40131,52.4799198,2.9393942,-1.87023,-0.20310736,0.7771225,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,d1e60c7a-7ff7-4a0c-9eb5-bb5fc2e8e91b,1633624431004,13.40131,52.4799198,2.9393942,0.39817083,-2.4218817,1.0643597,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,2cd54569-e3c7-468e-a7b8-35a84a0ba492,1633624431055,13.40131,52.4799198,2.9393942,1.0816851,-2.349244,1.4639273,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,ff7f2995-a0d1-4c82-b22e-ccd48e17a710,1633624431105,13.40131,52.4799198,2.9393942,-0.1351147,3.024806,0.22843933,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,cd85bcc0-929a-407d-99aa-86723d586a76,1633624431156,13.40131,52.4799198,2.9393942,-1.0649687,0.046960354,2.407116,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,672df17e-48ca-4688-9caa-e1f38f0265d3,1633624431206,13.40131,52.4799198,2.9393942,-1.2402201,0.69755983,-0.73206425,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,38c59483-27cf-46c8-8804-81501de85e28,1633624431257,13.40131,52.4799198,2.9393942,-0.8186715,2.6924758,-0.9143343,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,486d0200-135d-4eef-976b-88a73822f145,1633624431322,13.40131,52.4799198,2.9393942,1.714232,-0.9512863,2.5200233,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,cedfce5f-598b-4cb2-9cde-5da2ac7be629,1633624431372,13.40131,52.4799198,2.9393942,-0.58332694,-0.32640386,-2.9361944,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,ea304717-8c17-4121-8190-1ced0fa77b7e,1633624431422,13.40131,52.4799198,2.9393942,0.12706482,2.5433617,1.0316982,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,51766549-5061-495e-9659-cda5c090c20e,1633624431472,13.40131,52.4799198,2.9393942,2.879936,-0.69082975,0.34448147,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,2efd15a0-fc07-4d92-93c2-c1873bdfc55e,1633624431522,13.40131,52.4799198,2.9393942,0.2822373,0.07069278,-0.49181366,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,737341a0-87b4-4e1e-b478-0c427c3cb02f,1633624431573,13.4013905,52.4799161,3.8788538,-0.5660693,0.5526366,1.2759161,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,0c6b3864-9e7a-491d-b004-b3a9e02188a8,1633624431623,13.4013905,52.4799161,3.8788538,0.1685859,-0.67222214,0.5189123,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,d781a9e7-ae45-4df4-91ec-457dcb91d7f8,1633624431672,13.4013905,52.4799161,3.8788538,-0.10069862,-0.26718736,-0.364501,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,fb7074ef-7146-48b2-8cb5-2bda59016bd7,1633624431724,13.4013905,52.4799161,3.8788538,-0.5877525,-0.21774435,2.9817686,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,893c1967-9212-4990-9256-15f18d0192e8,1633624431775,13.4013905,52.4799161,3.8788538,-0.35385114,0.15934038,-1.6070619,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,5df2247d-e73a-4714-928c-ee4a22d9d0cb,1633624431840,13.4013905,52.4799161,3.8788538,1.1772999,0.44447565,-2.6693692,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,bc541b9f-5461-40e1-bed9-d8b51ee4e77c,1633624431890,13.4013905,52.4799161,3.8788538,-0.6452307,-0.08825755,0.6529875,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,cb6adf2e-149e-4d9e-bc35-e2dc3b2090c8,1633624431941,13.4013905,52.4799161,3.8788538,-0.49805924,-3.4021642,-0.18085575,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,1f4a45d1-aa78-488f-b0ee-b10db02d8e3d,1633624431992,13.4013905,52.4799161,3.8788538,0.874981,2.3765664,-3.3152246,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,3a1337e1-5bbc-4f6e-b3a1-932bce894a7f,1633624432056,13.4013905,52.4799161,3.8788538,-0.39416096,-1.4885877,0.967227,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,31ba1ac9-1872-4eeb-bad5-f8a0b4a97569,1633624432108,13.4013905,52.4799161,3.8788538,-0.4146633,0.8951578,0.68006134,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,ad8f1bed-cb20-40f9-848d-ec5e0b5f8a67,1633624432159,13.4013905,52.4799161,3.8788538,0.32930696,2.2495637,-0.5600319,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,58378e26-cd0c-4aa6-88db-77ae5941db3e,1633624432210,13.4013905,52.4799161,3.8788538,-0.7344199,0.5460954,0.24201298,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,573d7ae8-6de2-44ed-9a00-9548edb269f5,1633624432275,13.4013905,52.4799161,3.8788538,-0.04090208,1.9537387,-2.4161925,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,c79b71a7-cd1c-47fd-93ce-8c0b23fc0a2d,1633624432325,13.4013905,52.4799161,3.8788538,0.25855768,-0.69052553,2.534419,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,e6f0e9c1-c989-456b-90d2-d72e4ca81faa,1633624432375,13.4013905,52.4799161,3.8788538,-0.56860214,-0.09823036,1.4209576,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,7759d9f2-5fca-4d6d-a018-de4b8246d32e,1633624432425,13.4013905,52.4799161,3.8788538,-0.030700624,0.7306256,0.2955408,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,0c7bde00-7c37-42d4-bc90-7b25532544ff,1633624432475,13.4013905,52.4799161,3.8788538,0.15038264,0.63632154,1.4265223,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,2403f3bb-9517-4248-b439-608fc1751025,1633624432525,13.4013905,52.4799161,3.8788538,0.122594535,-1.3370421,1.7736397,on bike mount,cyclo cross,True,concrete plates,good
33ed0c74-1504-4365-8aff-0a70c2230ea9,dd233b90-762e-4348-90aa-62cd91b7e361,fe1efb38-04ce-4c16-9732-b561b355799d,1633624432575,13.4014523,52.4799142,4.269309,-0.02492442,-0.4359014,-0.45411777,on bike mount,cyclo cross,True,concrete plates,good
